dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.863781,7.406532,0.000199,0.019931,0.996544,49.827215,0.000000
0.020000,0.864578,7.406532,0.000997,0.039862,0.996544,0.000000,0.000000
0.020000,0.866372,7.406532,0.002790,0.089689,2.491361,74.740822,0.000000
0.020000,0.869362,7.406532,0.005780,0.149482,2.989633,24.913607,0.000000
0.020000,0.873547,7.406532,0.009965,0.209274,2.989633,0.000000,0.000000
0.020000,0.878928,7.406532,0.015347,0.269067,2.989633,-0.000000,0.000000
0.020000,0.885506,7.406532,0.021924,0.328860,2.989633,0.000000,0.000000
0.020000,0.893279,7.406532,0.029697,0.388652,2.989633,-0.000000,0.000000
0.020000,0.902248,7.406532,0.038666,0.448445,2.989633,0.000000,0.000000
0.020000,0.912412,7.406532,0.048831,0.508238,2.989633,0.000000,0.000000
0.020000,0.923773,7.406532,0.060191,0.568030,2.989633,-0.000000,0.000000
0.020000,0.936329,7.406532,0.072748,0.627823,2.989633,-0.000000,0.000000
0.020000,0.950082,7.406532,0.086500,0.687616,2.989633,0.000000,0.000000
0.020000,0.965030,7.406532,0.101448,0.747408,2.989633,-0.000000,0.000000
0.020000,0.981174,7.406532,0.117592,0.807201,2.989633,0.000000,0.000000
0.020000,0.998514,7.406532,0.134932,0.866994,2.989633,0.000000,0.000000
0.020000,1.017050,7.406532,0.153468,0.926786,2.989633,-0.000000,0.000000
0.020000,1.036781,7.406532,0.173199,0.986579,2.989633,-0.000000,0.000000
0.020000,1.057709,7.406532,0.194127,1.046372,2.989633,-0.000000,0.000000
0.020000,1.079832,7.406532,0.216250,1.106164,2.989633,0.000000,0.000000
0.020000,1.103151,7.406532,0.239569,1.165957,2.989633,-0.000000,0.000000
0.020000,1.127666,7.406532,0.264084,1.225749,2.989633,-0.000000,0.000000
0.020000,1.153377,7.406532,0.289795,1.285542,2.989633,0.000000,0.000000
0.020000,1.180283,7.406532,0.316702,1.345335,2.989633,-0.000000,0.000000
0.020000,1.208386,7.406532,0.344804,1.405127,2.989633,0.000000,0.000000
0.020000,1.237684,7.406532,0.374103,1.464920,2.989633,0.000000,0.000000
0.020000,1.268179,7.406532,0.404597,1.524713,2.989633,-0.000000,0.000000
0.020000,1.299869,7.406532,0.436287,1.584505,2.989633,0.000000,0.000000
0.020000,1.332755,7.406532,0.469173,1.644298,2.989633,0.000000,0.000000
0.020000,1.366837,7.406532,0.503255,1.704091,2.989633,-0.000000,0.000000
0.020000,1.402114,7.406532,0.538533,1.763883,2.989633,0.000000,0.000000
0.020000,1.438588,7.406532,0.575006,1.823676,2.989633,-0.000000,0.000000
0.020000,1.476257,7.406532,0.612675,1.883469,2.989633,0.000000,0.000000
0.020000,1.515122,7.406532,0.651541,1.943261,2.989633,0.000000,0.000000
0.020000,1.555183,7.406532,0.691602,2.003054,2.989633,0.000000,0.000000
0.020000,1.596440,7.406532,0.732859,2.062847,2.989633,-0.000000,0.000000
0.020000,1.638893,7.406532,0.775311,2.122639,2.989633,0.000000,0.000000
0.020000,1.682542,7.406532,0.818960,2.182432,2.989633,-0.000000,0.000000
0.020000,1.727386,7.406532,0.863805,2.242225,2.989633,0.000000,0.000000
0.020000,1.773427,7.406532,0.909845,2.302017,2.989633,0.000000,0.000000
0.020000,1.820663,7.406532,0.957081,2.361810,2.989633,0.000000,0.000000
0.020000,1.869095,7.406532,1.005513,2.421603,2.989633,-0.000000,0.000000
0.020000,1.918723,7.406532,1.055141,2.481395,2.989633,-0.000000,0.000000
0.020000,1.969547,7.406532,1.105965,2.541188,2.989633,0.000000,0.000000
0.020000,2.021566,7.406532,1.157984,2.600981,2.989633,-0.000000,0.000000
0.020000,2.074782,7.406532,1.211200,2.660773,2.989633,0.000000,0.000000
0.020000,2.129193,7.406532,1.265611,2.720566,2.989633,-0.000000,0.000000
0.020000,2.184800,7.406532,1.321218,2.780359,2.989633,0.000000,0.000000
0.020000,2.241603,7.406532,1.378021,2.840151,2.989633,-0.000000,0.000000
0.020000,2.299602,7.406532,1.436020,2.899944,2.989633,0.000000,0.000000
0.020000,2.358797,7.406532,1.495215,2.959737,2.989633,-0.000000,0.000000
0.020000,2.419187,7.406532,1.555606,3.019529,2.989633,0.000000,0.000000
0.020000,2.480774,7.406532,1.617192,3.079322,2.989633,0.000000,0.000000
0.020000,2.543556,7.406532,1.679974,3.139115,2.989633,-0.000000,0.000000
0.020000,2.607534,7.406532,1.743953,3.198907,2.989633,0.000000,0.000000
0.020000,2.672708,7.406532,1.809127,3.258700,2.989633,0.000000,0.000000
0.020000,2.735401,7.406757,1.871819,3.134647,-6.202652,-459.614256,0.010097
0.020000,2.798783,7.407769,1.935210,3.169517,1.743512,397.308205,0.021081
0.020000,2.864184,7.409400,2.000631,3.271074,5.077829,166.715861,0.028107
0.020000,2.931045,7.411406,2.067523,3.344565,3.674558,-70.163573,0.031238
0.020000,2.998803,7.413522,2.135313,3.389544,2.248961,-71.279848,0.030566
0.020000,3.067030,7.415479,2.203569,3.412763,1.160941,-54.400993,0.026191
0.020000,3.135444,7.417018,2.272000,3.421552,0.439454,-36.074348,0.018193
0.020000,3.203979,7.417888,2.340540,3.427006,0.272697,-8.337824,0.006589
0.020000,3.272648,7.417837,2.409209,3.433468,0.323091,2.519682,6.274509
0.020000,3.341479,7.416606,2.478051,3.442097,0.431455,5.418215,6.255462
0.020000,3.410506,7.413920,2.547130,3.453938,0.592081,8.031283,6.232455
0.020000,3.479762,7.409483,2.616528,3.469902,0.798163,10.304077,6.205260
0.020000,3.549271,7.402973,2.686342,3.490699,1.039877,12.085730,6.173610
0.020000,3.619036,7.394037,2.756677,3.516738,1.301923,13.102317,6.137215
0.020000,3.689016,7.382292,2.827636,3.547948,1.560529,12.930293,6.095788
0.020000,3.759108,7.367328,2.899307,3.583554,1.780286,10.987855,6.049086
0.020000,3.829114,7.348723,2.971743,3.621791,1.911829,6.577133,5.996962
0.020000,3.898714,7.326075,3.044935,3.659637,1.892340,-0.974460,5.939438
0.020000,3.967443,7.299045,3.118789,3.692672,1.651752,-12.029376,5.876779
0.020000,4.034680,7.267417,3.193093,3.715218,1.127293,-26.222982,5.809565
0.020000,4.099673,7.231166,3.267512,3.720939,0.286059,-42.061699,5.738727
0.020000,4.161601,7.190515,3.341590,3.703922,-0.850858,-56.845832,5.665522
0.020000,4.219671,7.145948,3.414791,3.660009,-2.195647,-67.239473,5.591440
0.020000,4.273219,7.098179,3.486549,3.587907,-3.605099,-70.472579,5.518039
0.020000,4.321801,7.048074,3.556340,3.489568,-4.916964,-65.593236,5.446772
0.020000,4.365233,6.996543,3.623733,3.369653,-5.995731,-53.938370,5.378832
0.020000,4.403574,6.944443,3.688420,3.234349,-6.765235,-38.475176,5.315070
0.020000,4.437078,6.892512,3.750221,3.090046,-7.215129,-22.494732,5.255983
0.020000,4.466129,6.841335,3.809068,2.942346,-7.385033,-8.495184,5.201759
0.020000,4.491175,6.791348,3.864979,2.795549,-7.339844,2.259445,5.152346
0.020000,4.512680,6.742851,3.918031,2.652583,-7.148287,9.577847,5.107533
0.020000,4.531092,6.696037,3.968334,2.515184,-6.869924,13.918169,5.067010
0.020000,4.546822,6.651023,4.016018,2.384182,-6.550130,15.989691,5.030425
0.020000,4.560238,6.607865,4.061213,2.259777,-6.220218,16.495593,4.997411
0.020000,4.571664,6.566581,4.104049,2.141779,-5.899917,16.015045,4.967615
0.020000,4.581379,6.527165,4.144644,2.029771,-5.600427,14.974528,4.940705
0.020000,4.589625,6.489595,4.183109,1.923228,-5.327137,13.664473,4.916379
0.020000,4.596609,6.453839,4.219541,1.821593,-5.081746,12.269568,4.894366
0.020000,4.602510,6.419861,4.254027,1.724318,-4.863748,10.899900,4.874425
0.020000,4.607479,6.387624,4.286645,1.630889,-4.671438,9.615499,4.856342
0.020000,4.611647,6.357091,4.317462,1.540838,-4.502547,8.444557,4.839932
0.020000,4.615129,6.328225,4.346537,1.453746,-4.354627,7.395977,4.825030
0.020000,4.618022,6.300993,4.373921,1.369240,-4.225272,6.467766,4.811494
0.020000,4.620411,6.275364,4.399661,1.286996,-4.112236,5.651783,4.799199
0.020000,4.622368,6.251309,4.423796,1.206726,-4.013485,4.937533,4.788035
0.020000,4.623959,6.228802,4.446360,1.128182,-3.927218,4.313381,4.777908
0.020000,4.625239,6.207818,4.467382,1.051144,-3.851855,3.768135,4.768733
0.020000,4.626256,6.188336,4.486891,0.975424,-3.786029,3.291322,4.760439
0.020000,4.627054,6.170337,4.504908,0.900853,-3.728560,2.873444,4.752961
0.020000,4.627669,6.153802,4.521454,0.827284,-3.678438,2.506113,4.746244
0.020000,4.628135,6.138718,4.536545,0.754588,-3.634799,2.181928,4.740241
0.020000,4.628478,6.125069,4.550198,0.682650,-3.596908,1.894537,4.734909
0.020000,4.628725,6.112844,4.562426,0.611367,-3.564142,1.638327,4.730211
0.020000,4.628895,6.102033,4.573239,0.540647,-3.535973,1.408444,4.726118
0.020000,4.629008,6.092625,4.582647,0.470408,-3.511957,1.200810,4.722601
0.020000,4.629078,6.084614,4.590658,0.400574,-3.491725,1.011594,4.719640
0.020000,4.629118,6.077993,4.597280,0.331074,-3.474970,0.837731,4.717215
0.020000,4.629138,6.072756,4.602517,0.261846,-3.461444,0.676307,4.715311
0.020000,4.629147,6.068899,4.606373,0.192827,-3.450949,0.524747,4.713917
0.020000,4.629149,6.066420,4.608852,0.123960,-3.443332,0.380833,4.713025
0.020000,4.629150,6.065157,4.610116,0.063173,-3.039354,20.198921,4.712571
0.020000,4.629150,6.064719,4.610553,0.021864,-2.065445,48.695445,4.712414
0.020000,4.629150,6.064650,4.610623,0.003470,-0.919684,57.288051,4.712389
0.020000,4.629150,6.064650,4.610623,0.000000,-0.173514,37.308508,4.712389
