dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.863808,3.567176,0.000199,0.019937,0.996834,49.841716,0.000119
0.020000,0.864813,3.567176,0.001205,0.050266,1.516477,25.982157,0.000693
0.020000,0.867075,3.567179,0.003467,0.113116,3.142492,81.300729,0.001986
0.020000,0.870847,3.567191,0.007239,0.188579,3.773144,31.532607,0.004144
0.020000,0.876129,3.567221,0.012521,0.264119,3.777009,0.193235,0.007171
0.020000,0.882924,3.567283,0.019316,0.339766,3.782323,0.265705,0.011073
0.020000,0.891235,3.567395,0.027627,0.415545,3.788986,0.333131,0.015858
0.020000,0.901062,3.567579,0.037457,0.491483,3.796861,0.393749,0.021534
0.020000,0.912411,3.567860,0.048809,0.567598,3.805773,0.445632,0.028111
0.020000,0.925283,3.568270,0.061687,0.643908,3.815502,0.486459,0.035599
0.020000,0.939680,3.568844,0.076095,0.720424,3.825778,0.513784,0.044011
0.020000,0.955604,3.569620,0.092038,0.797149,3.836270,0.524617,0.053357
0.020000,0.973055,3.570642,0.109520,0.874081,3.846586,0.515775,0.063650
0.020000,0.992034,3.571958,0.128544,0.951206,3.856259,0.483663,0.074899
0.020000,1.012536,3.573623,0.149114,1.028501,3.864745,0.424298,0.087115
0.020000,1.034558,3.575692,0.171233,1.105929,3.871418,0.333642,0.100304
0.020000,1.058090,3.578229,0.194902,1.183440,3.875565,0.207327,0.114471
0.020000,1.083122,3.581299,0.220121,1.260968,3.876388,0.041165,0.129618
0.020000,1.109638,3.584973,0.246889,1.338428,3.873012,-0.168771,0.145740
0.020000,1.137616,3.589324,0.275204,1.415718,3.864497,-0.425779,0.162828
0.020000,1.167030,3.594429,0.305058,1.492715,3.849853,-0.732167,0.180866
0.020000,1.197849,3.600367,0.336444,1.569277,3.828079,-1.088747,0.199829
0.020000,1.230032,3.607219,0.369349,1.645241,3.798189,-1.494468,0.219686
0.020000,1.263535,3.615065,0.403757,1.720426,3.759274,-1.945754,0.240392
0.020000,1.298301,3.623985,0.439650,1.794637,3.710548,-2.436311,0.261894
0.020000,1.334271,3.634057,0.477003,1.867666,3.651415,-2.956665,0.284127
0.020000,1.371375,3.645356,0.515789,1.939296,3.581530,-3.494241,0.307013
0.020000,1.409537,3.657950,0.555975,2.009313,3.500859,-4.033544,0.330463
0.020000,1.448674,3.671902,0.597525,2.077508,3.409724,-4.556720,0.354377
0.020000,1.488700,3.687268,0.640399,2.143684,3.308832,-5.044635,0.378643
0.020000,1.529522,3.704092,0.684553,2.207670,3.199272,-5.477977,0.403140
0.020000,1.571047,3.722412,0.729939,2.269320,3.082494,-5.838906,0.427738
0.020000,1.613180,3.742252,0.776509,2.328525,2.960243,-6.112533,0.452303
0.020000,1.655828,3.763625,0.824214,2.385214,2.834476,-6.288363,0.476696
0.020000,1.698902,3.786534,0.873001,2.439359,2.707248,-6.361397,0.500775
0.020000,1.742317,3.810971,0.922820,2.490971,2.580594,-6.332724,0.524402
0.020000,1.785994,3.836916,0.973622,2.540099,2.456403,-6.209537,0.547438
0.020000,1.829864,3.864341,1.025359,2.586825,2.336311,-6.004579,0.569751
0.020000,1.873866,3.893206,1.077984,2.631257,2.221610,-5.735084,0.591215
0.020000,1.917949,3.923467,1.131454,2.673521,2.113182,-5.421396,0.611708
0.020000,1.962074,3.955071,1.185729,2.713751,2.011472,-5.085487,0.631119
0.020000,2.006211,3.987957,1.240771,2.752080,1.916482,-4.749490,0.649343
0.020000,2.050341,4.022061,1.296544,2.788636,1.827792,-4.434535,0.666282
0.020000,2.094456,4.057314,1.353014,2.823528,1.744595,-4.159826,0.681844
0.020000,2.138558,4.093641,1.410151,2.856843,1.665752,-3.942153,0.695942
0.020000,2.182657,4.130964,1.467924,2.888640,1.589838,-3.795711,0.708491
0.020000,2.226773,4.169198,1.526303,2.918944,1.515194,-3.732200,0.719410
0.020000,2.270934,4.208256,1.585258,2.947743,1.439971,-3.761125,0.728614
0.020000,2.315173,4.248045,1.644757,2.974986,1.362167,-3.890217,0.736020
0.020000,2.359532,4.288463,1.704769,3.000579,1.279652,-4.125769,0.741534
0.020000,2.403910,4.329266,1.765054,3.014264,0.684242,-29.770504,0.745050
0.020000,2.448071,4.370073,1.825182,3.006385,-0.393959,-53.910038,0.746479
0.020000,2.491701,4.410419,1.884607,2.971275,-1.755517,-68.077891,0.745779
0.020000,2.534502,4.449859,1.942809,2.910088,-3.059348,-65.191542,0.742974
0.020000,2.576276,4.488058,1.999415,2.830305,-3.989118,-46.488520,0.738138
0.020000,2.616916,4.524790,2.054195,2.739005,-4.565023,-28.795216,0.731375
0.020000,2.656449,4.559974,2.107117,2.646070,-4.646728,-4.085272,0.722781
0.020000,2.694936,4.593579,2.158211,2.554719,-4.567588,3.956989,0.712444
0.020000,2.732430,4.625587,2.207509,2.464884,-4.491738,3.792532,0.700449
0.020000,2.768972,4.655982,2.255040,2.376541,-4.417128,3.730464,0.686877
0.020000,2.804594,4.684760,2.300834,2.289704,-4.341856,3.763609,0.671812
0.020000,2.839322,4.711921,2.344922,2.204420,-4.264193,3.883138,0.655340
