dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.863725,3.567176,0.000199,0.019870,0.993521,49.676067,6.283071
0.020000,0.864323,3.567176,0.000796,0.029883,0.500651,-24.643535,6.282526
0.020000,0.865668,3.567174,0.002141,0.067230,1.867334,68.334171,6.281300
0.020000,0.867908,3.567168,0.004382,0.112027,2.239848,18.625678,6.279256
0.020000,0.871044,3.567151,0.007517,0.156790,2.238167,-0.084033,6.276391
0.020000,0.875074,3.567116,0.011548,0.201509,2.235923,-0.112187,6.272703
0.020000,0.879997,3.567053,0.016471,0.246173,2.233228,-0.134779,6.268189
0.020000,0.885812,3.566950,0.022287,0.290778,2.230226,-0.150061,6.262846
0.020000,0.892516,3.566793,0.028993,0.335320,2.227103,-0.156173,6.256671
0.020000,0.900109,3.566565,0.036589,0.379802,2.224080,-0.151159,6.249659
0.020000,0.908587,3.566248,0.045074,0.424230,2.221421,-0.132923,6.241808
0.020000,0.917950,3.565819,0.054446,0.468619,2.219436,-0.099258,6.233117
0.020000,0.928194,3.565257,0.064706,0.512988,2.218478,-0.047923,6.223583
0.020000,0.939318,3.564535,0.075853,0.557367,2.218947,0.023449,6.213207
0.020000,0.951320,3.563626,0.087889,0.601793,2.221289,0.117124,6.201993
0.020000,0.964197,3.562500,0.100815,0.646313,2.225995,0.235292,6.189944
0.020000,0.977948,3.561125,0.114635,0.690985,2.233593,0.379896,6.177070
0.020000,0.992572,3.559466,0.129352,0.735878,2.244644,0.552555,6.163383
0.020000,1.008067,3.557487,0.144974,0.781072,2.259729,0.754260,6.148899
0.020000,1.024434,3.555148,0.161507,0.826661,2.279437,0.985378,6.133641
0.020000,1.041673,3.552410,0.178962,0.872748,2.304342,1.245269,6.117635
0.020000,1.059785,3.549227,0.197351,0.919448,2.334987,1.532238,6.100916
0.020000,1.078771,3.545557,0.216689,0.966885,2.371853,1.843286,6.083525
0.020000,1.098634,3.541350,0.236993,1.015191,2.415333,2.174001,6.065508
0.020000,1.119378,3.536559,0.258283,1.064505,2.465704,2.518576,6.046923
0.020000,1.141007,3.531132,0.280582,1.114967,2.523100,2.869787,6.027833
0.020000,1.163526,3.525017,0.303916,1.166717,2.587484,3.219211,6.008308
0.020000,1.186940,3.518160,0.328314,1.219890,2.658636,3.557572,5.988427
