dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.500078,2.400166,0.000199,0.019904,0.995217,49.760839,1.134285
0.020000,2.500415,2.400888,0.000995,0.059713,1.990434,49.760839,1.133509
0.020000,2.501175,2.402510,0.002787,0.119426,2.985650,49.760839,1.131758
0.020000,2.502448,2.405211,0.005772,0.179139,2.985650,0.000000,1.128826
0.020000,2.504243,2.408985,0.009952,0.238852,2.985650,-0.000000,1.124694
0.020000,2.506575,2.413827,0.015326,0.298565,2.985650,-0.000000,1.119331
0.020000,2.509460,2.419728,0.021895,0.358278,2.985650,0.000000,1.112702
0.020000,2.512921,2.426677,0.029657,0.417991,2.985650,-0.000000,1.104761
0.020000,2.516983,2.434660,0.038614,0.477704,2.985650,0.000000,1.095451
0.020000,2.521676,2.443660,0.048766,0.537417,2.985650,-0.000000,1.084711
0.020000,2.527038,2.453659,0.060111,0.597130,2.985650,-0.000000,1.072465
0.020000,2.533107,2.464632,0.072651,0.656843,2.985650,0.000000,1.058631
0.020000,2.539930,2.476551,0.086385,0.716556,2.985650,0.000000,1.043117
0.020000,2.547557,2.489384,0.101313,0.776269,2.985650,-0.000000,1.025823
0.020000,2.556046,2.503090,0.117436,0.835982,2.985650,0.000000,1.006641
0.020000,2.565459,2.517625,0.134752,0.895695,2.985650,0.000000,0.985456
0.020000,2.575864,2.532934,0.153263,0.955408,2.985650,0.000000,0.962152
0.020000,2.587335,2.548956,0.172969,1.015121,2.985650,0.000000,0.936615
0.020000,2.599950,2.565618,0.193868,1.074834,2.985650,-0.000000,0.908735
0.020000,2.613793,2.582836,0.215962,1.134547,2.985650,0.000000,0.878420
0.020000,2.628950,2.600516,0.239250,1.194260,2.985650,-0.000000,0.845600
0.020000,2.645508,2.618548,0.263732,1.253973,2.985650,0.000000,0.810243
0.020000,2.663554,2.636811,0.289409,1.313686,2.985650,-0.000000,0.772367
0.020000,2.683172,2.655170,0.316280,1.373399,2.985650,0.000000,0.732056
0.020000,2.704440,2.673479,0.344345,1.433112,2.985650,0.000000,0.689471
0.020000,2.727423,2.691583,0.373604,1.492825,2.985650,-0.000000,0.644864
0.020000,2.752177,2.709318,0.404058,1.552538,2.985650,-0.000000,0.598583
0.020000,2.778737,2.726521,0.435706,1.612251,2.985650,0.000000,0.551067
0.020000,2.807123,2.743032,0.468548,1.671964,2.985650,-0.000000,0.502834
0.020000,2.837334,2.758703,0.502584,1.731677,2.985650,0.000000,0.454459
0.020000,2.869350,2.773398,0.537815,1.791390,2.985650,-0.000000,0.406543
0.020000,2.902948,2.786934,0.574041,1.831199,1.990434,-49.760839,0.359927
0.020000,2.937691,2.799126,0.610864,1.851103,0.995217,-49.760839,0.315574
0.020000,2.972991,2.809841,0.647757,1.838200,-0.645179,-82.019791,0.274370
0.020000,3.008243,2.819044,0.684193,1.805392,-1.640396,-49.760839,0.236921
0.020000,3.042965,2.826806,0.719774,1.752679,-2.635613,-49.760839,0.203454
0.020000,3.076810,2.833261,0.754230,1.692966,-2.985650,-17.501887,0.173908
0.020000,3.109643,2.838584,0.787492,1.633253,-2.985650,-0.000000,0.147979
0.020000,3.141412,2.842946,0.819560,1.573540,-2.985650,0.000000,0.125302
0.020000,3.172080,2.846497,0.850434,1.513827,-2.985650,0.000000,0.105535
0.020000,3.201621,2.849365,0.880113,1.454114,-2.985650,-0.000000,0.088362
0.020000,3.230013,2.851664,0.908599,1.394401,-2.985650,0.000000,0.073499
0.020000,3.257242,2.853491,0.935889,1.334688,-2.985650,-0.000000,0.060685
0.020000,3.283299,2.854928,0.961986,1.274975,-2.985650,0.000000,0.049688
0.020000,3.308176,2.856046,0.986888,1.215262,-2.985650,-0.000000,0.040302
0.020000,3.331869,2.856905,1.010597,1.155549,-2.985650,0.000000,0.032337
