dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.863781,0.823468,0.000199,0.019931,0.996544,49.827215,0.000000
0.020000,0.864578,0.823468,0.000997,0.039862,0.996544,0.000000,0.000000
0.020000,0.866372,0.823468,0.002790,0.089689,2.491361,74.740822,0.000000
0.020000,0.869362,0.823468,0.005780,0.149482,2.989633,24.913607,0.000000
0.020000,0.873547,0.823468,0.009965,0.209274,2.989633,0.000000,0.000000
0.020000,0.878928,0.823468,0.015347,0.269067,2.989633,-0.000000,0.000000
0.020000,0.885506,0.823468,0.021924,0.328860,2.989633,0.000000,0.000000
0.020000,0.893279,0.823468,0.029697,0.388652,2.989633,-0.000000,0.000000
0.020000,0.902248,0.823468,0.038666,0.448445,2.989633,0.000000,0.000000
0.020000,0.912412,0.823468,0.048831,0.508238,2.989633,0.000000,0.000000
0.020000,0.923773,0.823468,0.060191,0.568030,2.989633,-0.000000,0.000000
0.020000,0.936329,0.823468,0.072748,0.627823,2.989633,-0.000000,0.000000
0.020000,0.950082,0.823468,0.086500,0.687616,2.989633,0.000000,0.000000
0.020000,0.965030,0.823468,0.101448,0.747408,2.989633,-0.000000,0.000000
0.020000,0.981174,0.823468,0.117592,0.807201,2.989633,0.000000,0.000000
0.020000,0.998514,0.823468,0.134932,0.866994,2.989633,0.000000,0.000000
0.020000,1.017050,0.823468,0.153468,0.926786,2.989633,-0.000000,0.000000
0.020000,1.036781,0.823468,0.173199,0.986579,2.989633,-0.000000,0.000000
0.020000,1.057709,0.823468,0.194127,1.046372,2.989633,-0.000000,0.000000
0.020000,1.079832,0.823468,0.216250,1.106164,2.989633,0.000000,0.000000
0.020000,1.103151,0.823468,0.239569,1.165957,2.989633,-0.000000,0.000000
0.020000,1.127666,0.823468,0.264084,1.225749,2.989633,-0.000000,0.000000
0.020000,1.153377,0.823468,0.289795,1.285542,2.989633,0.000000,0.000000
0.020000,1.180283,0.823468,0.316702,1.345335,2.989633,-0.000000,0.000000
0.020000,1.208386,0.823468,0.344804,1.405127,2.989633,0.000000,0.000000
0.020000,1.237684,0.823468,0.374103,1.464920,2.989633,0.000000,0.000000
0.020000,1.268179,0.823468,0.404597,1.524713,2.989633,-0.000000,0.000000
0.020000,1.299869,0.823468,0.436287,1.584505,2.989633,0.000000,0.000000
0.020000,1.332755,0.823468,0.469173,1.644298,2.989633,0.000000,0.000000
0.020000,1.366837,0.823468,0.503255,1.704091,2.989633,-0.000000,0.000000
0.020000,1.402114,0.823468,0.538533,1.763883,2.989633,0.000000,0.000000
0.020000,1.438588,0.823468,0.575006,1.823676,2.989633,-0.000000,0.000000
0.020000,1.476257,0.823468,0.612675,1.883469,2.989633,0.000000,0.000000
0.020000,1.515122,0.823468,0.651541,1.943261,2.989633,0.000000,0.000000
0.020000,1.555183,0.823468,0.691602,2.003054,2.989633,0.000000,0.000000
0.020000,1.596440,0.823468,0.732859,2.062847,2.989633,-0.000000,0.000000
0.020000,1.638893,0.823468,0.775311,2.122639,2.989633,0.000000,0.000000
0.020000,1.682542,0.823468,0.818960,2.182432,2.989633,-0.000000,0.000000
0.020000,1.727386,0.823468,0.863805,2.242225,2.989633,0.000000,0.000000
0.020000,1.773427,0.823468,0.909845,2.302017,2.989633,0.000000,0.000000
0.020000,1.820663,0.823468,0.957081,2.361810,2.989633,0.000000,0.000000
0.020000,1.869095,0.823468,1.005513,2.421603,2.989633,-0.000000,0.000000
0.020000,1.918723,0.823468,1.055141,2.481395,2.989633,-0.000000,0.000000
0.020000,1.969547,0.823468,1.105965,2.541188,2.989633,0.000000,0.000000
0.020000,2.021566,0.823468,1.157984,2.600981,2.989633,-0.000000,0.000000
0.020000,2.074782,0.823468,1.211200,2.660773,2.989633,0.000000,0.000000
0.020000,2.129193,0.823468,1.265611,2.720566,2.989633,-0.000000,0.000000
0.020000,2.184800,0.823468,1.321218,2.780359,2.989633,0.000000,0.000000
0.020000,2.241603,0.823468,1.378021,2.840151,2.989633,-0.000000,0.000000
0.020000,2.299602,0.823468,1.436020,2.899944,2.989633,0.000000,0.000000
0.020000,2.358797,0.823468,1.495215,2.959737,2.989633,-0.000000,0.000000
0.020000,2.419187,0.823468,1.555606,3.019529,2.989633,0.000000,0.000000
0.020000,2.480774,0.823468,1.617192,3.079322,2.989633,0.000000,0.000000
0.020000,2.543556,0.823468,1.679974,3.139115,2.989633,-0.000000,0.000000
0.020000,2.607534,0.823468,1.743953,3.198907,2.989633,0.000000,0.000000
0.020000,2.672708,0.823468,1.809127,3.258700,2.989633,0.000000,0.000000
0.020000,2.735401,0.823243,1.871819,3.134647,-6.202652,-459.614256,6.273088
0.020000,2.798783,0.822231,1.935210,3.169517,1.743512,397.308205,6.262104
0.020000,2.864184,0.820600,2.000631,3.271074,5.077829,166.715861,6.255079
0.020000,2.931045,0.818594,2.067523,3.344565,3.674558,-70.163573,6.251947
0.020000,2.998803,0.816478,2.135313,3.389544,2.248961,-71.279848,6.252620
0.020000,3.067030,0.814521,2.203569,3.412763,1.160941,-54.400993,6.256995
0.020000,3.135444,0.812982,2.272000,3.421552,0.439454,-36.074348,6.264992
0.020000,3.203979,0.812112,2.340540,3.427006,0.272697,-8.337824,6.276596
0.020000,3.272648,0.812163,2.409209,3.433468,0.323091,2.519682,0.008676
0.020000,3.341479,0.813394,2.478051,3.442097,0.431455,5.418215,0.027724
0.020000,3.410506,0.816080,2.547130,3.453938,0.592081,8.031283,0.050731
0.020000,3.479762,0.820517,2.616528,3.469902,0.798163,10.304077,0.077925
0.020000,3.549271,0.827027,2.686342,3.490699,1.039877,12.085730,0.109575
0.020000,3.619036,0.835963,2.756677,3.516738,1.301923,13.102317,0.145970
0.020000,3.689016,0.847708,2.827636,3.547948,1.560529,12.930293,0.187397
0.020000,3.759108,0.862672,2.899307,3.583554,1.780286,10.987855,0.234099
0.020000,3.829114,0.881277,2.971743,3.621791,1.911829,6.577133,0.286223
0.020000,3.898714,0.903925,3.044935,3.659637,1.892340,-0.974460,0.343747
0.020000,3.967443,0.930955,3.118789,3.692672,1.651752,-12.029376,0.406406
0.020000,4.034680,0.962583,3.193093,3.715218,1.127293,-26.222982,0.473620
0.020000,4.099673,0.998834,3.267512,3.720939,0.286059,-42.061699,0.544458
0.020000,4.161601,1.039485,3.341590,3.703922,-0.850858,-56.845832,0.617663
0.020000,4.219671,1.084052,3.414791,3.660009,-2.195647,-67.239473,0.691746
0.020000,4.273219,1.131821,3.486549,3.587907,-3.605099,-70.472579,0.765146
0.020000,4.321801,1.181926,3.556340,3.489568,-4.916964,-65.593236,0.836414
0.020000,4.365233,1.233457,3.623733,3.369653,-5.995731,-53.938370,0.904354
0.020000,4.403574,1.285557,3.688420,3.234349,-6.765235,-38.475176,0.968115
0.020000,4.437078,1.337488,3.750221,3.090046,-7.215129,-22.494732,1.027202
0.020000,4.466129,1.388665,3.809068,2.942346,-7.385033,-8.495184,1.081427
0.020000,4.491175,1.438652,3.864979,2.795549,-7.339844,2.259445,1.130839
0.020000,4.512680,1.487149,3.918031,2.652583,-7.148287,9.577847,1.175653
0.020000,4.531092,1.533963,3.968334,2.515184,-6.869924,13.918169,1.216175
0.020000,4.546822,1.578977,4.016018,2.384182,-6.550130,15.989691,1.252761
0.020000,4.560238,1.622135,4.061213,2.259777,-6.220218,16.495593,1.285774
0.020000,4.571664,1.663419,4.104049,2.141779,-5.899917,16.015045,1.315570
0.020000,4.581379,1.702835,4.144644,2.029771,-5.600427,14.974528,1.342480
0.020000,4.589625,1.740405,4.183109,1.923228,-5.327137,13.664473,1.366806
0.020000,4.596609,1.776161,4.219541,1.821593,-5.081746,12.269568,1.388819
0.020000,4.602510,1.810139,4.254027,1.724318,-4.863748,10.899900,1.408761
0.020000,4.607479,1.842376,4.286645,1.630889,-4.671438,9.615499,1.426843
0.020000,4.611647,1.872909,4.317462,1.540838,-4.502547,8.444557,1.443254
0.020000,4.615129,1.901775,4.346537,1.453746,-4.354627,7.395977,1.458155
0.020000,4.618022,1.929007,4.373921,1.369240,-4.225272,6.467766,1.471691
0.020000,4.620411,1.954636,4.399661,1.286996,-4.112236,5.651783,1.483987
0.020000,4.622368,1.978691,4.423796,1.206726,-4.013485,4.937533,1.495150
0.020000,4.623959,2.001198,4.446360,1.128182,-3.927218,4.313381,1.505278
0.020000,4.625239,2.022182,4.467382,1.051144,-3.851855,3.768135,1.514452
0.020000,4.626256,2.041664,4.486891,0.975424,-3.786029,3.291322,1.522747
0.020000,4.627054,2.059663,4.504908,0.900853,-3.728560,2.873444,1.530224
0.020000,4.627669,2.076198,4.521454,0.827284,-3.678438,2.506113,1.536941
0.020000,4.628135,2.091282,4.536545,0.754588,-3.634799,2.181928,1.542944
0.020000,4.628478,2.104931,4.550198,0.682650,-3.596908,1.894537,1.548277
0.020000,4.628725,2.117156,4.562426,0.611367,-3.564142,1.638327,1.552974
0.020000,4.628895,2.127967,4.573239,0.540647,-3.535973,1.408444,1.557068
0.020000,4.629008,2.137375,4.582647,0.470408,-3.511957,1.200810,1.560584
0.020000,4.629078,2.145386,4.590658,0.400574,-3.491725,1.011594,1.563545
0.020000,4.629118,2.152007,4.597280,0.331074,-3.474970,0.837731,1.565971
0.020000,4.629138,2.157244,4.602517,0.261846,-3.461444,0.676307,1.567874
0.020000,4.629147,2.161101,4.606373,0.192827,-3.450949,0.524747,1.569268
0.020000,4.629149,2.163580,4.608852,0.123960,-3.443332,0.380833,1.570161
0.020000,4.629150,2.164843,4.610116,0.063173,-3.039354,20.198921,1.570615
0.020000,4.629150,2.165281,4.610553,0.021864,-2.065445,48.695445,1.570771
0.020000,4.629150,2.165350,4.610623,0.003470,-0.919684,57.288051,1.570796
