dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.863781,1.185418,0.000199,0.019931,0.996544,49.827215,0.000000
0.020000,0.864578,1.185418,0.000997,0.059793,1.993089,49.827215,0.000000
0.020000,0.866372,1.185418,0.002790,0.119585,2.989633,49.827215,0.000000
0.020000,0.869362,1.185418,0.005780,0.179378,2.989633,0.000000,0.000000
0.020000,0.873547,1.185418,0.009965,0.239171,2.989633,0.000000,0.000000
0.020000,0.878928,1.185418,0.015347,0.298963,2.989633,0.000000,0.000000
0.020000,0.885506,1.185418,0.021924,0.358756,2.989633,0.000000,0.000000
0.020000,0.893279,1.185418,0.029697,0.418549,2.989633,0.000000,0.000000
0.020000,0.902248,1.185418,0.038666,0.478341,2.989633,0.000000,0.000000
0.020000,0.912412,1.185418,0.048831,0.538134,2.989633,0.000000,0.000000
0.020000,0.923773,1.185418,0.060191,0.597927,2.989633,0.000000,0.000000
0.020000,0.936329,1.185418,0.072748,0.657719,2.989633,0.000000,0.000000
0.020000,0.950082,1.185418,0.086500,0.717512,2.989633,-0.000000,0.000000
0.020000,0.965030,1.185418,0.101448,0.777305,2.989633,0.000000,0.000000
0.020000,0.981174,1.185418,0.117592,0.837097,2.989633,-0.000000,0.000000
0.020000,0.998514,1.185418,0.134932,0.896890,2.989633,0.000000,0.000000
0.020000,1.017050,1.185418,0.153468,0.956683,2.989633,0.000000,0.000000
0.020000,1.036781,1.185418,0.173199,1.016475,2.989633,0.000000,0.000000
0.020000,1.057709,1.185418,0.194127,1.076268,2.989633,-0.000000,0.000000
0.020000,1.079832,1.185418,0.216250,1.136061,2.989633,0.000000,0.000000
0.020000,1.103151,1.185418,0.239569,1.195853,2.989633,-0.000000,0.000000
0.020000,1.127666,1.185418,0.264084,1.255646,2.989633,0.000000,0.000000
0.020000,1.153377,1.185418,0.289795,1.315438,2.989633,-0.000000,0.000000
0.020000,1.180283,1.185418,0.316702,1.375231,2.989633,0.000000,0.000000
0.020000,1.208386,1.185418,0.344804,1.435024,2.989633,0.000000,0.000000
0.020000,1.237684,1.185418,0.374103,1.494816,2.989633,0.000000,0.000000
0.020000,1.268179,1.185418,0.404597,1.554609,2.989633,-0.000000,0.000000
0.020000,1.299869,1.185418,0.436287,1.614402,2.989633,0.000000,0.000000
0.020000,1.332755,1.185418,0.469173,1.674194,2.989633,0.000000,0.000000
0.020000,1.366837,1.185418,0.503255,1.733987,2.989633,0.000000,0.000000
0.020000,1.402114,1.185418,0.538533,1.793780,2.989633,-0.000000,0.000000
0.020000,1.438588,1.185418,0.575006,1.853572,2.989633,0.000000,0.000000
0.020000,1.476257,1.185418,0.612675,1.913365,2.989633,-0.000000,0.000000
0.020000,1.515122,1.185418,0.651541,1.973158,2.989633,0.000000,0.000000
0.020000,1.555183,1.185418,0.691602,2.032950,2.989633,-0.000000,0.000000
0.020000,1.596440,1.185418,0.732859,2.092743,2.989633,0.000000,0.000000
0.020000,1.638893,1.185418,0.775311,2.152536,2.989633,0.000000,0.000000
0.020000,1.682542,1.185418,0.818960,2.212328,2.989633,0.000000,0.000000
0.020000,1.727386,1.185418,0.863805,2.272121,2.989633,-0.000000,0.000000
0.020000,1.773427,1.185418,0.909845,2.331914,2.989633,0.000000,0.000000
0.020000,1.820663,1.185418,0.957081,2.391706,2.989633,0.000000,0.000000
0.020000,1.869095,1.185418,1.005513,2.451499,2.989633,0.000000,0.000000
0.020000,1.918723,1.185418,1.055141,2.511292,2.989633,0.000000,0.000000
0.020000,1.969547,1.185418,1.105965,2.571084,2.989633,-0.000000,0.000000
0.020000,2.021566,1.185418,1.157984,2.630877,2.989633,0.000000,0.000000
0.020000,2.074782,1.185418,1.211200,2.690670,2.989633,-0.000000,0.000000
0.020000,2.129193,1.185418,1.265611,2.750462,2.989633,0.000000,0.000000
0.020000,2.184800,1.185418,1.321218,2.810255,2.989633,-0.000000,0.000000
0.020000,2.241603,1.185418,1.378021,2.870048,2.989633,0.000000,0.000000
0.020000,2.299602,1.185418,1.436020,2.929840,2.989633,0.000000,0.000000
0.020000,2.358797,1.185418,1.495215,2.989633,2.989633,0.000000,0.000000
0.020000,2.419187,1.185418,1.555606,3.049426,2.989633,-0.000000,0.000000
0.020000,2.480774,1.185418,1.617192,3.109218,2.989633,0.000000,0.000000
0.020000,2.543556,1.185418,1.679974,3.169011,2.989633,-0.000000,0.000000
0.020000,2.607534,1.185418,1.743953,3.228804,2.989633,0.000000,0.000000
0.020000,2.672708,1.185418,1.809127,3.288596,2.989633,-0.000000,0.000000
0.020000,2.739055,1.185174,1.875496,3.348389,2.989633,0.000000,6.273088
0.020000,2.806413,1.184101,1.942863,3.388251,1.993089,-49.827215,6.262104
0.020000,2.874356,1.182407,2.010827,3.408182,0.996544,-49.827215,6.255079
0.020000,2.942350,1.180367,2.078852,3.394290,-0.694566,-84.555538,6.251947
0.020000,3.009865,1.178259,2.146399,3.360468,-1.691111,-49.827215,6.252620
0.020000,3.076509,1.176347,2.213071,3.306715,-2.687655,-49.827215,6.256995
0.020000,3.142029,1.174872,2.278608,3.246922,-2.989633,-15.098892,6.264992
0.020000,3.206364,1.174054,2.342948,3.187130,-2.989633,0.000000,6.276596
0.020000,3.269508,1.174099,2.406093,3.127337,-2.989633,-0.000000,0.008676
0.020000,3.331446,1.175205,2.468042,3.067544,-2.989633,0.000000,0.027724
0.020000,3.392151,1.177564,2.528795,3.007752,-2.989633,0.000000,0.050731
0.020000,3.451585,1.181369,2.588352,2.947959,-2.989633,-0.000000,0.077925
0.020000,3.509690,1.186806,2.646713,2.888166,-2.989633,0.000000,0.109575
0.020000,3.566390,1.194063,2.703878,2.828374,-2.989633,0.000000,0.145970
0.020000,3.621584,1.203321,2.759848,2.768581,-2.989633,0.000000,0.187397
0.020000,3.675147,1.214750,2.814622,2.708788,-2.989633,0.000000,0.234099
0.020000,3.726924,1.228502,2.868199,2.648996,-2.989633,-0.000000,0.286223
0.020000,3.776731,1.244700,2.920581,2.589203,-2.989633,0.000000,0.343747
0.020000,3.824361,1.263423,2.971767,2.529410,-2.989633,0.000000,0.406406
0.020000,3.869591,1.284691,3.021758,2.469618,-2.989633,-0.000000,0.473620
0.020000,3.912199,1.308449,3.070552,2.409825,-2.989633,0.000000,0.544458
0.020000,3.951985,1.334559,3.118151,2.350032,-2.989633,0.000000,0.617663
0.020000,3.988789,1.362802,3.164553,2.290240,-2.989633,0.000000,0.691746
0.020000,4.022517,1.392888,3.209760,2.230447,-2.989633,-0.000000,0.765146
0.020000,4.053146,1.424479,3.253771,2.170654,-2.989633,0.000000,0.836414
0.020000,4.080731,1.457213,3.296587,2.110862,-2.989633,0.000000,0.904354
0.020000,4.105393,1.490730,3.338206,2.051069,-2.989633,0.000000,0.968115
0.020000,4.127301,1.524694,3.378629,1.991276,-2.989633,-0.000000,1.027202
0.020000,4.146661,1.558806,3.417857,1.931484,-2.989633,0.000000,1.081427
0.020000,4.163693,1.592807,3.455889,1.871691,-2.989633,0.000000,1.130839
0.020000,4.178621,1.626479,3.492725,1.811898,-2.989633,0.000000,1.175653
0.020000,4.191663,1.659644,3.528365,1.752106,-2.989633,-0.000000,1.216175
0.020000,4.203023,1.692159,3.562809,1.692313,-2.989633,0.000000,1.252761
