dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.860120,4.291950,0.000196,0.019643,0.982158,49.107879,0.000111
0.020000,0.860708,4.291950,0.000785,0.029409,0.488316,-24.692064,0.000657
0.020000,0.862031,4.291952,0.002108,0.066155,1.837261,67.447225,0.001886
0.020000,0.864235,4.291958,0.004312,0.110207,2.202608,18.267339,0.003937
0.020000,0.867319,4.291975,0.007396,0.154183,2.198823,-0.189242,0.006814
0.020000,0.871280,4.292009,0.011357,0.198055,2.193601,-0.261088,0.010523
0.020000,0.876115,4.292071,0.016193,0.241796,2.187024,-0.328837,0.015072
0.020000,0.881822,4.292173,0.021900,0.285380,2.179201,-0.391140,0.020468
0.020000,0.888396,4.292328,0.028476,0.328785,2.170275,-0.446327,0.026722
0.020000,0.895832,4.292553,0.035916,0.371994,2.160423,-0.492576,0.033845
0.020000,0.904126,4.292867,0.044216,0.414991,2.149868,-0.527750,0.041848
0.020000,0.913272,4.293291,0.053371,0.457769,2.138880,-0.549420,0.050744
0.020000,0.923263,4.293847,0.063377,0.500324,2.127784,-0.554811,0.060544
0.020000,0.934093,4.294562,0.074231,0.542664,2.116967,-0.540847,0.071261
0.020000,0.945754,4.295462,0.085927,0.584801,2.106885,-0.504065,0.082906
0.020000,0.958239,4.296579,0.098462,0.626763,2.098070,-0.440758,0.095489
0.020000,0.971541,4.297944,0.111834,0.668585,2.091130,-0.346998,0.109016
0.020000,0.985652,4.299591,0.126040,0.710321,2.086756,-0.218731,0.123494
0.020000,1.000563,4.301559,0.141081,0.752035,2.085715,-0.052041,0.138923
0.020000,1.016268,4.303886,0.156957,0.793812,2.088850,0.156744,0.155299
0.020000,1.032759,4.306614,0.173672,0.835753,2.097062,0.410587,0.172614
0.020000,1.050029,4.309788,0.191232,0.877979,2.111292,0.711534,0.190852
0.020000,1.068073,4.313453,0.209644,0.920629,2.132495,1.060147,0.209990
0.020000,1.086886,4.317660,0.228921,0.963861,2.161599,1.455175,0.229994
0.020000,1.106463,4.322460,0.249078,1.007850,2.199459,1.893021,0.250825
0.020000,1.126802,4.327906,0.270134,1.052786,2.246808,2.367431,0.272428
0.020000,1.147902,4.334056,0.292112,1.098870,2.304192,2.869237,0.294741
0.020000,1.169761,4.340968,0.315038,1.146308,2.371919,3.386312,0.317689
0.020000,1.192381,4.348703,0.338944,1.195308,2.449995,3.903826,0.341185
0.020000,1.215764,4.357323,0.363865,1.246070,2.538092,4.404841,0.365132
