dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.860208,3.568050,0.000200,0.019963,0.998156,49.907783,0.000118
0.020000,0.861214,3.568050,0.001206,0.050302,1.516967,25.940590,0.000692
0.020000,0.863478,3.568053,0.003470,0.113197,3.144752,81.389207,0.001983
0.020000,0.867252,3.568065,0.007244,0.188714,3.775844,31.554613,0.004137
0.020000,0.872538,3.568095,0.012530,0.264308,3.779687,0.192173,0.007160
0.020000,0.879338,3.568157,0.019330,0.340008,3.784972,0.264246,0.011055
0.020000,0.887654,3.568269,0.027647,0.415840,3.791598,0.331277,0.015832
0.020000,0.897489,3.568452,0.037484,0.491828,3.799428,0.391520,0.021499
0.020000,0.908845,3.568734,0.048843,0.567994,3.808290,0.443068,0.028065
0.020000,0.921726,3.569143,0.061731,0.644353,3.817962,0.483620,0.035540
0.020000,0.936133,3.569716,0.076149,0.720917,3.828176,0.510694,0.043938
0.020000,0.952068,3.570491,0.092103,0.797689,3.838603,0.521382,0.053268
0.020000,0.969531,3.571512,0.109596,0.874666,3.848853,0.512491,0.063542
0.020000,0.988523,3.572828,0.128633,0.951835,3.858461,0.480393,0.074772
0.020000,1.009039,3.574490,0.149216,1.029173,3.866887,0.421286,0.086965
0.020000,1.031075,3.576558,0.171349,1.106643,3.873506,0.330957,0.100130
0.020000,1.054623,3.579092,0.195033,1.184195,3.877611,0.205245,0.114272
0.020000,1.079671,3.582158,0.220268,1.261763,3.878409,0.039886,0.129390
0.020000,1.106204,3.585828,0.247053,1.339264,3.875029,-0.168958,0.145481
0.020000,1.134200,3.590174,0.275385,1.416595,3.866537,-0.424603,0.162537
0.020000,1.163635,3.595273,0.305258,1.493634,3.851951,-0.729322,0.180540
0.020000,1.194474,3.601204,0.336663,1.570239,3.830272,-1.083940,0.199467
0.020000,1.226680,3.608048,0.369588,1.646250,3.800524,-1.487385,0.219285
0.020000,1.260206,3.615885,0.404017,1.721486,3.761801,-1.936191,0.239951
0.020000,1.294998,3.624794,0.439932,1.795752,3.713319,-2.424062,0.261412
0.020000,1.330996,3.634854,0.477309,1.868842,3.654486,-2.941653,0.283602
0.020000,1.368130,3.646140,0.516120,1.940541,3.584956,-3.476533,0.306445
0.020000,1.406324,3.658720,0.556333,2.010635,3.504690,-4.013280,0.329853
0.020000,1.445497,3.672657,0.597911,2.078915,3.414005,-4.534278,0.353724
0.020000,1.485561,3.688006,0.640815,2.145187,3.313595,-5.020478,0.377948
0.020000,1.526425,3.704814,0.685000,2.209277,3.204540,-5.452737,0.402404
0.020000,1.567995,3.723116,0.730421,2.271043,3.088274,-5.813307,0.426964
0.020000,1.610177,3.742938,0.777029,2.330373,2.966527,-6.087342,0.451493
0.020000,1.652879,3.764294,0.824773,2.387198,2.841240,-6.264345,0.475853
0.020000,1.696010,3.787186,0.873602,2.441487,2.714456,-6.339240,0.499903
0.020000,1.739486,3.811607,0.923467,2.493251,2.588196,-6.312986,0.523505
0.020000,1.783228,3.837537,0.974318,2.542538,2.464344,-6.192603,0.546520
0.020000,1.827168,3.864948,1.026107,2.589429,2.344531,-5.990627,0.568817
0.020000,1.871243,3.893803,1.078787,2.634030,2.230050,-5.724072,0.590270
0.020000,1.915404,3.924056,1.132317,2.676465,2.121788,-5.413092,0.610757
0.020000,1.959610,3.955653,1.186654,2.716869,2.020199,-5.079459,0.630168
0.020000,2.003831,3.988537,1.241762,2.755375,1.925295,-4.745187,0.648396
0.020000,2.048048,4.022642,1.297604,2.792109,1.836669,-4.431281,0.665345
0.020000,2.092253,4.057900,1.354147,2.827179,1.753532,-4.156892,0.680923
0.020000,2.136447,4.094235,1.411361,2.860674,1.674756,-3.938768,0.695041
0.020000,2.180641,4.131570,1.469214,2.892653,1.598934,-3.791100,0.707618
0.020000,2.224853,4.169822,1.527677,2.923142,1.524422,-3.725589,0.718569
0.020000,2.269111,4.208902,1.586719,2.952129,1.449387,-3.751755,0.727812
0.020000,2.313450,4.248717,1.646311,2.979566,1.371840,-3.877340,0.735263
0.020000,2.357910,4.289167,1.706418,3.005360,1.289668,-4.108649,0.740829
0.020000,2.402388,4.330008,1.766803,3.019237,0.693850,-29.790890,0.744404
0.020000,2.446650,4.370857,1.827033,3.011525,-0.385596,-53.972277,0.745898
0.020000,2.490389,4.411259,1.886577,2.977197,-1.716404,-66.540433,0.745270
0.020000,2.533315,4.450778,1.944924,2.917370,-2.991316,-63.745570,0.742541
0.020000,2.575231,4.489076,2.001702,2.838866,-3.925194,-46.693894,0.737783
0.020000,2.616018,4.525918,2.056665,2.748145,-4.536083,-30.544467,0.731096
0.020000,2.655695,4.561212,2.109767,2.655140,-4.650252,-5.708442,0.722580
0.020000,2.694323,4.594930,2.161042,2.563717,-4.571109,3.957141,0.712321
0.020000,2.731956,4.627050,2.210518,2.473811,-4.495319,3.789491,0.700404
0.020000,2.768634,4.657558,2.258226,2.385394,-4.420841,3.723910,0.686910
0.020000,2.804390,4.686449,2.304195,2.298479,-4.345775,3.753309,0.671924
0.020000,2.839251,4.713722,2.348458,2.213111,-4.268396,3.868967,0.655529
0.020000,2.873236,4.739388,2.391045,2.129367,-4.187193,4.060121,0.637817
0.020000,2.906358,4.763463,2.431992,2.047349,-4.100921,4.313634,0.618883
0.020000,2.938628,4.785969,2.471335,1.967176,-4.008644,4.613804,0.598827
0.020000,2.970053,4.806940,2.509115,1.888980,-3.909796,4.942419,0.577760
0.020000,3.000639,4.826412,2.545373,1.812895,-3.804213,5.279140,0.555799
0.020000,3.030389,4.844430,2.580154,1.739052,-3.692168,5.602239,0.533066
0.020000,3.059307,4.861045,2.613505,1.667565,-3.574375,5.889672,0.509693
0.020000,3.087396,4.876313,2.645476,1.598525,-3.451966,6.120439,0.485814
0.020000,3.114661,4.890293,2.676116,1.531996,-3.326445,6.276064,0.461568
0.020000,3.141105,4.903049,2.705476,1.468004,-3.199604,6.342027,0.437095
0.020000,3.166734,4.914645,2.733607,1.406536,-3.073425,6.308955,0.412535
0.020000,3.191554,4.925149,2.760557,1.347537,-2.949958,6.173383,0.388024
0.020000,3.215569,4.934628,2.786376,1.290913,-2.831198,5.937964,0.363693
0.020000,3.238786,4.943148,2.811106,1.236533,-2.718977,5.611093,0.339667
0.020000,3.261209,4.950776,2.834791,1.184236,-2.614857,5.205997,0.316060
0.020000,3.282842,4.957576,2.857468,1.133835,-2.520068,4.739430,0.292977
0.020000,3.303688,4.963611,2.879170,1.085125,-2.435465,4.230174,0.270512
0.020000,3.323750,4.968940,2.899928,1.037895,-2.361515,3.697463,0.248746
0.020000,3.343029,4.973623,2.919767,0.991929,-2.298322,3.159667,0.227750
0.020000,3.361522,4.977713,2.938707,0.947015,-2.245658,2.633192,0.207581
0.020000,3.379228,4.981264,2.956766,0.902955,-2.203024,2.131723,0.188286
0.020000,3.396145,4.984327,2.973957,0.859561,-2.169705,1.665914,0.169903
0.020000,3.412266,4.986948,2.990290,0.816664,-2.144840,1.243260,0.152458
0.020000,3.427588,4.989173,3.005773,0.774115,-2.127473,0.868342,0.135972
0.020000,3.442103,4.991044,3.020408,0.731782,-2.116610,0.543163,0.120456
0.020000,3.455806,4.992601,3.034200,0.689557,-2.111257,0.267630,0.105915
0.020000,3.468690,4.993883,3.047147,0.647348,-2.110459,0.039947,0.092352
0.020000,3.480747,4.994923,3.059248,0.605082,-2.113314,-0.142752,0.079762
0.020000,3.491970,4.995754,3.070502,0.562702,-2.118998,-0.284202,0.068140
0.020000,3.502353,4.996407,3.080906,0.520166,-2.126767,-0.388464,0.057477
0.020000,3.511888,4.996909,3.090454,0.477447,-2.135964,-0.459850,0.047762
0.020000,3.520571,4.997286,3.099145,0.434527,-2.146013,-0.502479,0.038985
0.020000,3.528394,4.997560,3.106973,0.391399,-2.156421,-0.520397,0.031134
0.020000,3.535352,4.997753,3.113934,0.348063,-2.166767,-0.517300,0.024198
0.020000,3.541442,4.997882,3.120025,0.304529,-2.176698,-0.496537,0.018165
0.020000,3.546657,4.997963,3.125241,0.260811,-2.185921,-0.461146,0.013026
0.020000,3.550996,4.998011,3.129580,0.216927,-2.194197,-0.413804,0.008772
0.020000,3.554453,4.998035,3.133038,0.172900,-2.201334,-0.356834,0.005394
0.020000,3.557029,4.998046,3.135613,0.128757,-2.207180,-0.292331,0.002886
0.020000,3.558719,4.998049,3.137303,0.084524,-2.211623,-0.222114,0.001243
0.020000,3.559611,4.998050,3.138195,0.044608,-1.995830,10.789645,0.000377
0.020000,3.559940,4.998050,3.138524,0.016426,-1.409084,29.337280,0.000058
0.020000,3.560000,4.998050,3.138584,0.003013,-0.670651,36.921672,6.283185
0.020000,3.560000,4.998050,3.138584,0.000000,-0.150640,26.000523,6.283185
