dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.863765,3.929126,0.000199,0.019937,0.996834,49.841716,0.000119
0.020000,0.864562,3.929126,0.000997,0.059810,1.993669,49.841716,0.000693
0.020000,0.866357,3.929129,0.002791,0.119620,2.990503,49.841716,0.001986
0.020000,0.869347,3.929138,0.005782,0.179430,2.990503,-0.000000,0.004144
0.020000,0.873534,3.929162,0.009968,0.239240,2.990503,0.000000,0.007171
0.020000,0.878916,3.929211,0.015351,0.299050,2.990503,-0.000000,0.011073
0.020000,0.885495,3.929299,0.021930,0.358860,2.990503,0.000000,0.015858
0.020000,0.893269,3.929445,0.029706,0.418670,2.990503,-0.000000,0.021534
0.020000,0.902238,3.929667,0.038677,0.478480,2.990503,0.000000,0.028111
0.020000,0.912400,3.929991,0.048845,0.538291,2.990503,-0.000000,0.035599
0.020000,0.923755,3.930443,0.060209,0.598101,2.990503,-0.000000,0.044011
0.020000,0.936300,3.931054,0.072769,0.657911,2.990503,0.000000,0.053357
0.020000,0.950033,3.931859,0.086525,0.717721,2.990503,-0.000000,0.063650
0.020000,0.964950,3.932894,0.101478,0.777531,2.990503,0.000000,0.074899
0.020000,0.981045,3.934200,0.117626,0.837341,2.990503,-0.000000,0.087115
0.020000,0.998314,3.935823,0.134971,0.897151,2.990503,0.000000,0.100304
0.020000,1.016748,3.937810,0.153512,0.956961,2.990503,0.000000,0.114471
0.020000,1.036338,3.940213,0.173250,1.016771,2.990503,0.000000,0.129618
0.020000,1.057074,3.943086,0.194183,1.076581,2.990503,-0.000000,0.145740
0.020000,1.078940,3.946487,0.216313,1.136391,2.990503,-0.000000,0.162828
0.020000,1.101922,3.950475,0.239639,1.196201,2.990503,0.000000,0.180866
0.020000,1.126001,3.955115,0.264161,1.256011,2.990503,0.000000,0.199829
0.020000,1.151155,3.960470,0.289879,1.315821,2.990503,0.000000,0.219686
0.020000,1.177360,3.966607,0.316794,1.375631,2.990503,-0.000000,0.240392
0.020000,1.204589,3.973593,0.344905,1.435441,2.990503,0.000000,0.261894
0.020000,1.232809,3.981495,0.374212,1.495251,2.990503,-0.000000,0.284127
0.020000,1.261989,3.990381,0.404715,1.555062,2.990503,0.000000,0.307013
0.020000,1.292091,4.000315,0.436414,1.614872,2.990503,0.000000,0.330463
0.020000,1.323075,4.011361,0.469310,1.674682,2.990503,-0.000000,0.354377
0.020000,1.354901,4.023580,0.503401,1.734492,2.990503,0.000000,0.378643
0.020000,1.387526,4.037026,0.538689,1.794302,2.990503,-0.000000,0.403140
0.020000,1.420905,4.051753,0.575173,1.854112,2.990503,0.000000,0.427738
0.020000,1.454994,4.067805,0.612854,1.913922,2.990503,0.000000,0.452303
0.020000,1.489749,4.085223,0.651730,1.973732,2.990503,-0.000000,0.476696
0.020000,1.525128,4.104041,0.691803,2.033542,2.990503,0.000000,0.500775
0.020000,1.561090,4.124284,0.733072,2.093352,2.990503,-0.000000,0.524402
0.020000,1.597598,4.145971,0.775537,2.153162,2.990503,0.000000,0.547438
0.020000,1.634620,4.169115,0.819198,2.212972,2.990503,0.000000,0.569751
0.020000,1.672126,4.193721,0.864056,2.272782,2.990503,-0.000000,0.591215
0.020000,1.710093,4.219784,0.910110,2.332592,2.990503,0.000000,0.611708
0.020000,1.748506,4.247297,0.957360,2.392402,2.990503,0.000000,0.631119
0.020000,1.787353,4.276243,1.005806,2.452212,2.990503,0.000000,0.649343
0.020000,1.826632,4.306599,1.055448,2.512022,2.990503,-0.000000,0.666282
0.020000,1.866346,4.338337,1.106287,2.571833,2.990503,0.000000,0.681844
0.020000,1.906509,4.371420,1.158321,2.631643,2.990503,0.000000,0.695942
0.020000,1.947141,4.405809,1.211552,2.691453,2.990503,-0.000000,0.708491
0.020000,1.988270,4.441455,1.265980,2.751263,2.990503,0.000000,0.719410
0.020000,2.029934,4.478307,1.321603,2.811073,2.990503,0.000000,0.728614
0.020000,2.072180,4.516303,1.378422,2.870883,2.990503,0.000000,0.736020
0.020000,2.115064,4.555377,1.436438,2.930693,2.990503,-0.000000,0.741534
0.020000,2.158505,4.595319,1.495451,2.970566,1.993669,-49.841716,0.745050
0.020000,2.202286,4.635775,1.555062,2.990503,0.996834,-49.841716,0.746479
0.020000,2.246102,4.676293,1.614740,2.977379,-0.656200,-82.651738,0.745779
0.020000,2.289650,4.716421,1.673957,2.944318,-1.653035,-49.841716,0.742974
0.020000,2.332715,4.755801,1.732314,2.891321,-2.649869,-49.841716,0.738138
0.020000,2.375172,4.794174,1.789542,2.831511,-2.990503,-17.031693,0.731375
0.020000,2.417028,4.831425,1.845574,2.771701,-2.990503,-0.000000,0.722781
0.020000,2.458335,4.867491,1.900410,2.711891,-2.990503,0.000000,0.712444
0.020000,2.499131,4.902316,1.954050,2.652081,-2.990503,0.000000,0.700449
0.020000,2.539450,4.935853,2.006493,2.592271,-2.990503,-0.000000,0.686877
0.020000,2.579314,4.968056,2.057741,2.532460,-2.990503,-0.000000,0.671812
0.020000,2.618739,4.998890,2.107792,2.472650,-2.990503,0.000000,0.655340
0.020000,2.657732,5.028323,2.156647,2.412840,-2.990503,0.000000,0.637550
0.020000,2.696292,5.056330,2.204305,2.353030,-2.990503,-0.000000,0.618539
0.020000,2.734412,5.082894,2.250768,2.293220,-2.990503,0.000000,0.598408
0.020000,2.772076,5.108001,2.296034,2.233410,-2.990503,0.000000,0.577269
0.020000,2.809264,5.131647,2.340104,2.173600,-2.990503,0.000000,0.555238
0.020000,2.845949,5.153835,2.382978,2.113790,-2.990503,-0.000000,0.532439
0.020000,2.882100,5.174573,2.424656,2.053980,-2.990503,0.000000,0.509004
0.020000,2.917680,5.193879,2.465137,1.994170,-2.990503,0.000000,0.485069
0.020000,2.952651,5.211775,2.504423,1.934360,-2.990503,-0.000000,0.460772
0.020000,2.986971,5.228294,2.542512,1.874550,-2.990503,0.000000,0.436254
0.020000,3.020596,5.243472,2.579405,1.814740,-2.990503,0.000000,0.411655
0.020000,3.053481,5.257354,2.615101,1.754930,-2.990503,-0.000000,0.387112
0.020000,3.085584,5.269990,2.649602,1.695120,-2.990503,-0.000000,0.362756
0.020000,3.116859,5.281434,2.682906,1.635310,-2.990503,0.000000,0.338712
0.020000,3.147266,5.291745,2.715014,1.575500,-2.990503,0.000000,0.315093
0.020000,3.176764,5.300986,2.745926,1.515690,-2.990503,-0.000000,0.292005
0.020000,3.205315,5.309220,2.775642,1.455879,-2.990503,0.000000,0.269541
0.020000,3.232885,5.316515,2.804161,1.396069,-2.990503,-0.000000,0.247782
0.020000,3.259442,5.322938,2.831485,1.336259,-2.990503,-0.000000,0.226798
0.020000,3.284958,5.328556,2.857612,1.276449,-2.990503,0.000000,0.206647
0.020000,3.309406,5.333436,2.882543,1.216639,-2.990503,-0.000000,0.187374
0.020000,3.332764,5.337643,2.906277,1.156829,-2.990503,0.000000,0.169016
0.020000,3.355014,5.341241,2.928816,1.097019,-2.990503,-0.000000,0.151601
0.020000,3.376137,5.344290,2.950158,1.037209,-2.990503,0.000000,0.135148
0.020000,3.396119,5.346850,2.970304,0.977399,-2.990503,0.000000,0.119667
0.020000,3.414949,5.348976,2.989254,0.917589,-2.990503,0.000000,0.105164
0.020000,3.432617,5.350720,3.007008,0.857779,-2.990503,-0.000000,0.091640
0.020000,3.449114,5.352131,3.023565,0.797969,-2.990503,0.000000,0.079092
0.020000,3.464434,5.353256,3.038926,0.738159,-2.990503,0.000000,0.067513
0.020000,3.478572,5.354137,3.053091,0.678349,-2.990503,0.000000,0.056894
0.020000,3.491523,5.354811,3.066060,0.618539,-2.990503,-0.000000,0.047225
0.020000,3.503285,5.355316,3.077833,0.558729,-2.990503,0.000000,0.038494
0.020000,3.513855,5.355682,3.088409,0.498919,-2.990503,0.000000,0.030691
0.020000,3.523232,5.355937,3.097790,0.439108,-2.990503,0.000000,0.023803
0.020000,3.531414,5.356107,3.105974,0.379298,-2.990503,0.000000,0.017820
0.020000,3.538401,5.356214,3.112962,0.319488,-2.990503,0.000000,0.012732
0.020000,3.544192,5.356276,3.118753,0.259678,-2.990503,-0.000000,0.008528
0.020000,3.548788,5.356307,3.123349,0.199868,-2.990503,0.000000,0.005203
0.020000,3.552187,5.356321,3.126748,0.140058,-2.990503,0.000000,0.002748
0.020000,3.554390,5.356325,3.128951,0.080248,-2.990503,0.000000,0.001160
0.020000,3.555528,5.356326,3.130089,0.033562,-2.334302,32.810022,0.000340
0.020000,3.555932,5.356326,3.130493,0.006813,-1.337468,49.841716,0.000049
