dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000020,0.361950,0.000195,0.019526,0.976288,48.814386,0.000551
0.020000,-0.000104,0.361950,0.000280,0.004230,-0.764775,-87.053153,0.002942
0.020000,-0.000294,0.361949,0.000469,0.009478,0.262387,51.358135,0.008321
0.020000,-0.000607,0.361945,0.000782,0.015650,0.308612,2.311251,0.017278
0.020000,-0.001037,0.361935,0.001213,0.021525,0.293742,-0.743514,0.029796
0.020000,-0.001573,0.361914,0.001750,0.026829,0.265221,-1.426070,0.045844
0.020000,-0.002195,0.361880,0.002372,0.031141,0.215589,-2.481609,0.065367
0.020000,-0.002870,0.361828,0.003049,0.033857,0.135769,-3.990990,0.088277
0.020000,-0.003550,0.361759,0.003733,0.034171,0.015718,-6.002531,0.114441
0.020000,-0.004167,0.361679,0.004354,0.031080,-0.154551,-8.513437,0.143670
0.020000,-0.004629,0.361606,0.004823,0.023409,-0.383557,-11.450336,0.175713
0.020000,-0.004823,0.361569,0.005020,0.009876,-0.676655,-14.654888,0.210245
0.020000,-0.004613,0.361619,0.005236,0.010811,0.046780,36.171780,0.246870
0.020000,-0.003845,0.361831,0.006033,0.039829,1.450864,70.204186,0.285129
0.020000,-0.002355,0.362302,0.007595,0.078107,1.913916,23.152615,0.324509
0.020000,0.000019,0.363158,0.010119,0.126213,2.405284,24.568393,0.364467
0.020000,0.003434,0.364544,0.013805,0.184272,2.902985,24.885027,0.404454
0.020000,0.008025,0.366623,0.018844,0.251956,3.384186,24.060080,0.443938
0.020000,0.013900,0.369564,0.025414,0.328523,3.828370,22.209175,0.482427
0.020000,0.021141,0.373536,0.033673,0.412922,4.219932,19.578109,0.519489
0.020000,0.029796,0.378698,0.043751,0.503916,4.549683,16.487522,0.554760
0.020000,0.039890,0.385196,0.055756,0.600217,4.815073,13.269535,0.587946
0.020000,0.051423,0.393154,0.069768,0.700605,5.019371,10.214908,0.618822
0.020000,0.064382,0.402674,0.085848,0.804009,5.170214,7.542130,0.647222
0.020000,0.078747,0.413836,0.104039,0.909569,5.278004,5.389494,0.673025
0.020000,0.094493,0.426700,0.124372,1.016659,5.354504,3.825023,0.696147
0.020000,0.111602,0.441309,0.146870,1.124896,5.411824,2.865981,0.716526
0.020000,0.130066,0.457690,0.171553,1.234133,5.461847,2.501146,0.734106
0.020000,0.149890,0.475856,0.198442,1.344454,5.516077,2.711517,0.748826
0.020000,0.171099,0.495815,0.227565,1.456171,5.585832,3.487734,0.760611
0.020000,0.193742,0.517565,0.258962,1.569825,5.682725,4.844674,0.769353
0.020000,0.217895,0.541101,0.292686,1.686214,5.819422,6.834827,0.774900
0.020000,0.243674,0.566413,0.328815,1.806427,6.010676,9.562705,0.777041
0.020000,0.271236,0.593493,0.367453,1.931922,6.274734,13.202917,0.775485
0.020000,0.300794,0.622327,0.408746,2.064627,6.635232,18.024859,0.769833
0.020000,0.332636,0.652898,0.452888,2.207102,7.123763,24.426566,0.759545
0.020000,0.367144,0.685182,0.500143,2.362768,7.783328,32.978249,0.743890
0.020000,0.404829,0.719134,0.550868,2.536222,8.672687,44.467970,0.721887
0.020000,0.446378,0.754671,0.605540,2.733642,9.871013,59.916269,0.692209
0.020000,0.492502,0.791463,0.664541,2.950037,10.819714,47.435072,0.653267
0.020000,0.543803,0.828792,0.727986,3.172230,11.109650,14.496816,0.603428
0.020000,0.600696,0.865510,0.795699,3.385656,10.671329,-21.916064,0.541326
0.020000,0.663497,0.900183,0.867436,3.586842,10.059299,-30.601533,0.466014
0.020000,0.732457,0.931169,0.943037,3.780067,9.661229,-19.903482,0.377076
0.020000,0.807381,0.956565,1.022148,3.955557,8.774525,-44.335207,0.275179
0.020000,0.887176,0.974362,1.103904,4.087794,6.611822,-108.135159,0.162714
0.020000,0.969490,0.982931,1.186663,4.137964,2.508495,-205.166345,0.044225
0.020000,1.051088,0.981705,1.268270,4.080350,-2.880660,-269.457715,6.208870
0.020000,1.128772,0.971479,1.346624,3.917699,-8.132568,-262.595413,6.096097
0.020000,1.200274,0.954070,1.420216,3.679569,-11.906480,-188.695581,5.993272
0.020000,1.264580,0.931629,1.488324,3.405407,-13.708119,-90.081953,5.902383
0.020000,1.321687,0.906085,1.550884,3.128010,-13.869857,-8.086933,5.823606
0.020000,1.372181,0.878908,1.608227,2.867137,-13.043628,41.311473,5.756021
0.020000,1.416867,0.851115,1.660851,2.631223,-11.795706,62.396086,5.698245
0.020000,1.456566,0.823371,1.709284,2.421639,-10.479188,65.825887,5.648820
0.020000,1.492014,0.796097,1.754010,2.236297,-9.267147,60.602045,5.606404
0.020000,1.523832,0.769552,1.795447,2.071853,-8.222193,52.247744,5.569841
0.020000,1.552535,0.743898,1.833944,1.924832,-7.351011,43.559101,5.538166
0.020000,1.578540,0.719233,1.869786,1.792099,-6.636682,35.716402,5.510590
0.020000,1.602187,0.695616,1.903206,1.670997,-6.055108,29.078720,5.486471
0.020000,1.623748,0.673084,1.934393,1.559350,-5.582356,23.637592,5.465284
0.020000,1.643450,0.651656,1.963501,1.455401,-5.197429,19.246357,5.446605
0.020000,1.661475,0.631347,1.990655,1.357742,-4.882922,15.725351,5.430085
0.020000,1.677976,0.612162,2.015960,1.265246,-4.624821,12.905051,5.415440
0.020000,1.693078,0.594104,2.039500,1.177006,-4.411995,10.641301,5.402434
0.020000,1.706886,0.577176,2.061346,1.092293,-4.235667,8.816384,5.390873
0.020000,1.719489,0.561376,2.081557,1.010514,-4.088927,7.337011,5.380594
0.020000,1.730960,0.546705,2.100180,0.931188,-3.966325,6.130090,5.371461
0.020000,1.741364,0.533161,2.117259,0.853917,-3.863561,5.138236,5.363361
0.020000,1.750752,0.520743,2.132826,0.778372,-3.777219,4.317083,5.356199
0.020000,1.759171,0.509451,2.146912,0.704280,-3.704591,3.631408,5.349894
0.020000,1.766659,0.499282,2.159540,0.631410,-3.643510,3.054044,5.344379
0.020000,1.773249,0.490237,2.170731,0.559565,-3.592249,2.563055,5.339597
0.020000,1.778968,0.482313,2.180503,0.488577,-3.549418,2.141524,5.335501
0.020000,1.783838,0.475511,2.188869,0.418299,-3.513915,1.775184,5.332051
0.020000,1.787879,0.469829,2.195841,0.348601,-3.484854,1.453034,5.329216
0.020000,1.791106,0.465268,2.201428,0.279371,-3.461540,1.165724,5.326970
0.020000,1.793531,0.461826,2.205638,0.210502,-3.443427,0.905625,5.325292
0.020000,1.795162,0.459504,2.208476,0.141900,-3.430108,0.665959,5.324168
0.020000,1.796061,0.458222,2.210042,0.078311,-3.179451,12.532851,5.323550
0.020000,1.796417,0.457713,2.210663,0.031032,-2.363945,40.775294,5.323306
0.020000,1.796492,0.457606,2.210794,0.006548,-1.224190,56.987743,5.323254
0.020000,1.796492,0.457606,2.210794,0.000000,-0.327412,44.838902,5.323254
