dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000412,-0.361950,0.000200,0.019974,0.998722,49.936085,0.000625
0.020000,0.002186,-0.361946,0.001974,0.088713,3.436934,121.910631,0.003319
0.020000,0.006177,-0.361921,0.005966,0.199579,5.543309,105.318709,0.009381
0.020000,0.012827,-0.361825,0.012616,0.332521,6.647108,55.189985,0.019477
0.020000,0.022127,-0.361578,0.021920,0.465187,6.633265,-0.692165,0.033593
0.020000,0.034061,-0.361069,0.033865,0.597244,6.602881,-1.519192,0.051694
0.020000,0.048596,-0.360156,0.048428,0.728150,6.545262,-2.880972,0.073719
0.020000,0.065673,-0.358673,0.065570,0.857098,6.447401,-4.893016,0.099558
0.020000,0.085205,-0.356430,0.085230,0.982998,6.295033,-7.618431,0.129043
0.020000,0.107061,-0.353227,0.107319,1.104485,6.074316,-11.035841,0.161931
0.020000,0.131067,-0.348860,0.131719,1.219968,5.774183,-15.006632,0.197889
0.020000,0.156998,-0.343137,0.158274,1.327750,5.389090,-19.254658,0.236494
0.020000,0.184585,-0.335889,0.186797,1.426182,4.921609,-23.374041,0.277226
0.020000,0.213524,-0.326986,0.217075,1.513863,4.384051,-26.877921,0.319494
0.020000,0.243488,-0.316347,0.248871,1.589829,3.798297,-29.287674,0.362648
0.020000,0.274147,-0.303942,0.281945,1.653698,3.193448,-30.242456,0.406021
0.020000,0.305189,-0.289793,0.316060,1.705730,2.601593,-29.592765,0.448958
0.020000,0.336336,-0.273969,0.350995,1.746785,2.052763,-27.441515,0.490852
0.020000,0.367353,-0.256570,0.386559,1.778194,1.570455,-24.115397,0.531170
0.020000,0.398060,-0.237720,0.422591,1.801572,1.168863,-20.079586,0.569468
0.020000,0.428331,-0.217554,0.458963,1.818617,0.852264,-15.829951,0.605397
0.020000,0.458085,-0.196209,0.495582,1.830942,0.616253,-11.800570,0.638694
0.020000,0.487287,-0.173817,0.532381,1.839943,0.450063,-8.309483,0.669177
0.020000,0.515931,-0.150501,0.569315,1.846726,0.339134,-5.546422,0.696723
0.020000,0.544040,-0.126377,0.606357,1.852072,0.267310,-3.591197,0.721252
0.020000,0.571652,-0.101555,0.643485,1.856439,0.218351,-2.447991,0.742711
0.020000,0.598816,-0.076140,0.680685,1.859973,0.176709,-2.082080,0.761054
0.020000,0.625587,-0.050238,0.717935,1.862527,0.127666,-2.452163,0.776226
0.020000,0.652020,-0.023959,0.755209,1.863666,0.056944,-3.536084,0.788149
0.020000,0.678169,0.002575,0.792462,1.862664,-0.050084,-5.351411,0.796706
0.020000,0.704078,0.029226,0.829632,1.858472,-0.209570,-7.974286,0.801720
