dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500183,5.430000,0.000198,0.019751,0.987540,49.376978,6.283021
0.020000,1.500973,5.430000,0.000988,0.059252,1.975079,49.376978,6.282309
0.020000,1.502751,5.429997,0.002765,0.118505,2.962619,49.376978,6.280704
0.020000,1.505713,5.429985,0.005728,0.177757,2.962619,0.000000,6.278020
0.020000,1.509861,5.429956,0.009875,0.237009,2.962619,-0.000000,6.274241
0.020000,1.515193,5.429895,0.015208,0.296262,2.962619,0.000000,6.269346
0.020000,1.521710,5.429785,0.021726,0.355514,2.962619,0.000000,6.263309
0.020000,1.529411,5.429605,0.029429,0.414767,2.962619,-0.000000,6.256095
0.020000,1.538294,5.429327,0.038317,0.474019,2.962619,0.000000,6.247664
0.020000,1.548359,5.428920,0.048389,0.533271,2.962619,0.000000,6.237972
0.020000,1.559602,5.428350,0.059647,0.592524,2.962619,0.000000,6.226965
0.020000,1.572021,5.427574,0.072090,0.651776,2.962619,-0.000000,6.214585
0.020000,1.585610,5.426546,0.085718,0.711028,2.962619,0.000000,6.200768
0.020000,1.600363,5.425214,0.100532,0.770281,2.962619,-0.000000,6.185443
0.020000,1.616271,5.423519,0.116530,0.829533,2.962619,0.000000,6.168537
0.020000,1.633322,5.421395,0.133713,0.888786,2.962619,0.000000,6.149972
0.020000,1.651502,5.418772,0.152081,0.948038,2.962619,-0.000000,6.129667
0.020000,1.670791,5.415569,0.171634,1.007290,2.962619,0.000000,6.107545
0.020000,1.691164,5.411701,0.192373,1.066543,2.962619,-0.000000,6.083531
0.020000,1.712594,5.407076,0.214296,1.125795,2.962619,0.000000,6.057557
0.020000,1.735041,5.401593,0.237405,1.185047,2.962619,0.000000,6.029569
0.020000,1.758463,5.395146,0.261698,1.244300,2.962619,-0.000000,5.999533
0.020000,1.782805,5.387625,0.287177,1.303552,2.962619,0.000000,5.967440
0.020000,1.808005,5.378916,0.313840,1.362805,2.962619,0.000000,5.933314
0.020000,1.833989,5.368901,0.341689,1.422057,2.962619,0.000000,5.897223
0.020000,1.860673,5.357464,0.370722,1.481309,2.962619,-0.000000,5.859281
0.020000,1.887964,5.344492,0.400941,1.540562,2.962619,0.000000,5.819660
0.020000,1.915757,5.329878,0.432345,1.599814,2.962619,0.000000,5.778586
0.020000,1.943942,5.313524,0.464934,1.659066,2.962619,0.000000,5.736342
0.020000,1.972403,5.295344,0.498707,1.718319,2.962619,0.000000,5.693262
0.020000,2.001018,5.275267,0.533666,1.777571,2.962619,-0.000000,5.649719
0.020000,2.029517,5.253364,0.569613,1.817073,1.975079,-49.376978,5.606345
0.020000,2.057504,5.229877,0.606152,1.836824,0.987540,-49.376978,5.563962
0.020000,2.084511,5.205236,0.642713,1.819319,-0.875231,-93.138505,5.523475
0.020000,2.110142,5.179940,0.678727,1.782064,-1.862770,-49.376978,5.485612
0.020000,2.134191,5.154415,0.713798,1.725057,-2.850310,-49.376978,5.450744
0.020000,2.156607,5.128975,0.747707,1.665805,-2.962619,-5.615450,5.418947
0.020000,2.177486,5.103778,0.780430,1.606553,-2.962619,0.000000,5.390047
0.020000,2.196932,5.078950,0.811969,1.547300,-2.962619,0.000000,5.363833
0.020000,2.215045,5.054594,0.842322,1.488048,-2.962619,-0.000000,5.340094
0.020000,2.231918,5.030802,0.871491,1.428795,-2.962619,0.000000,5.318620
0.020000,2.247636,5.007650,0.899474,1.369543,-2.962619,-0.000000,5.299216
0.020000,2.262277,4.985205,0.926273,1.310291,-2.962619,0.000000,5.281694
0.020000,2.275911,4.963522,0.951886,1.251038,-2.962619,0.000000,5.265885
0.020000,2.288602,4.942650,0.976314,1.191786,-2.962619,0.000000,5.251631
0.020000,2.300407,4.922628,0.999557,1.132534,-2.962619,-0.000000,5.238789
0.020000,2.311378,4.903492,1.021615,1.073281,-2.962619,0.000000,5.227230
0.020000,2.321561,4.885271,1.042489,1.014029,-2.962619,-0.000000,5.216837
0.020000,2.330995,4.867991,1.062177,0.954777,-2.962619,0.000000,5.207504
0.020000,2.339718,4.851673,1.080680,0.895524,-2.962619,0.000000,5.199137
0.020000,2.347761,4.836336,1.097998,0.836272,-2.962619,-0.000000,5.191651
0.020000,2.355152,4.821996,1.114131,0.777019,-2.962619,0.000000,5.184969
0.020000,2.361916,4.808666,1.129078,0.717767,-2.962619,0.000000,5.179024
0.020000,2.368075,4.796358,1.142841,0.658515,-2.962619,-0.000000,5.173754
0.020000,2.373648,4.785082,1.155419,0.599262,-2.962619,0.000000,5.169105
0.020000,2.378651,4.774847,1.166812,0.540010,-2.962619,-0.000000,5.165030
0.020000,2.383099,4.765659,1.177019,0.480758,-2.962619,0.000000,5.161487
0.020000,2.387004,4.757526,1.186042,0.421505,-2.962619,-0.000000,5.158439
0.020000,2.390376,4.750450,1.193880,0.362253,-2.962619,0.000000,5.155854
0.020000,2.393224,4.744438,1.200532,0.303000,-2.962619,0.000000,5.153706
0.020000,2.395555,4.739493,1.206000,0.243748,-2.962619,-0.000000,5.151970
0.020000,2.397375,4.735616,1.210282,0.184496,-2.962619,0.000000,5.150631
0.020000,2.398688,4.732811,1.213379,0.125243,-2.962619,-0.000000,5.149672
0.020000,2.399497,4.731078,1.215292,0.065991,-2.962619,0.000000,5.149085
0.020000,2.399879,4.730260,1.216194,0.024243,-2.087388,43.761528,5.148809
0.020000,2.399991,4.730020,1.216459,0.002246,-1.099849,49.376978,5.148728
0.020000,2.400000,4.730000,1.216481,0.000000,-0.112309,49.376978,5.148721
0.020000,2.400000,4.730000,1.216481,0.000000,0.000000,5.615450,5.148721
