dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.828088,5.982859,0.000199,0.019907,0.995337,49.766849,5.148900
0.020000,2.828307,5.982392,0.000715,0.025777,0.293495,-35.092116,5.149676
0.020000,2.828798,5.981343,0.001873,0.057919,1.607109,65.680701,5.151425
0.020000,2.829619,5.979601,0.003799,0.096289,1.918502,15.569660,5.154354
0.020000,2.830773,5.977175,0.006485,0.134293,1.900215,-0.914345,5.158484
0.020000,2.832263,5.974080,0.009920,0.171782,1.874420,-1.289747,5.163841
0.020000,2.834096,5.970332,0.014092,0.208600,1.840938,-1.674110,5.170464
0.020000,2.836277,5.965953,0.018984,0.244591,1.799560,-2.068891,5.178398
0.020000,2.838812,5.960969,0.024576,0.279593,1.750070,-2.474507,5.187698
0.020000,2.841711,5.955411,0.030845,0.313438,1.692273,-2.889855,5.198428
0.020000,2.844980,5.949313,0.037764,0.345959,1.626039,-3.311703,5.210661
0.020000,2.848629,5.942714,0.045304,0.376986,1.551363,-3.733770,5.224479
0.020000,2.852665,5.935661,0.053431,0.406355,1.468450,-4.145654,5.239974
0.020000,2.857098,5.928200,0.062109,0.433912,1.377824,-4.531307,5.257246
0.020000,2.861936,5.920386,0.071299,0.459521,1.280477,-4.867336,5.276403
0.020000,2.867187,5.912276,0.080961,0.483083,1.178060,-5.120859,5.297558
0.020000,2.872857,5.903928,0.091052,0.504545,1.073114,-5.247321,5.320827
0.020000,2.878954,5.895407,0.101531,0.523932,0.969343,-5.188519,5.346325
0.020000,2.885487,5.886772,0.112358,0.541370,0.871915,-4.871431,5.374158
0.020000,2.892466,5.878086,0.123500,0.557125,0.787734,-4.209031,5.404421
0.020000,2.899903,5.869402,0.134933,0.571638,0.725643,-3.104539,5.437181
0.020000,2.907820,5.860772,0.146645,0.585566,0.696424,-1.460949,5.472471
0.020000,2.916246,5.852234,0.158641,0.599815,0.712470,0.802276,5.510274
0.020000,2.925230,5.843816,0.170952,0.615555,0.786963,3.724676,5.550507
0.020000,2.934837,5.835534,0.183636,0.634204,0.932449,7.274276,5.593008
0.020000,2.945159,5.827391,0.196784,0.657380,1.158790,11.317058,5.637529
0.020000,2.956318,5.819382,0.210520,0.686794,1.470741,15.597525,5.683724
0.020000,2.968467,5.811499,0.225002,0.724107,1.865626,19.744266,5.731156
0.020000,2.981785,5.803737,0.240417,0.770744,2.331862,23.311801,5.779311
0.020000,2.996473,5.796101,0.256971,0.827725,2.849041,25.858933,5.827618
0.020000,3.012744,5.788614,0.274882,0.895524,3.389976,27.046757,5.875477
0.020000,3.030704,5.781357,0.294253,0.968550,3.651262,13.064306,5.922051
0.020000,3.050307,5.774456,0.315034,1.039082,3.526606,-6.232796,5.966378
0.020000,3.071338,5.768048,0.337020,1.099305,3.011148,-25.772889,6.007573
0.020000,3.093473,5.762244,0.359904,1.144189,2.244232,-38.345809,6.045030
0.020000,3.116369,5.757099,0.383370,1.173319,1.456478,-39.387684,6.078519
0.020000,3.139702,5.752623,0.407129,1.187942,0.731131,-36.267363,6.108095
0.020000,3.163261,5.748777,0.431000,1.193537,0.279775,-22.567814,6.134064
0.020000,3.186887,5.745507,0.454851,1.192575,-0.048087,-16.393089,6.156786
0.020000,3.210436,5.742757,0.478560,1.185446,-0.356486,-15.419972,6.176602
0.020000,3.233777,5.740467,0.502013,1.172632,-0.640667,-14.209004,6.193827
0.020000,3.256793,5.738582,0.525106,1.154649,-0.899148,-12.924098,6.208746
0.020000,3.279381,5.737046,0.547746,1.132001,-1.132422,-11.663677,6.221616
0.020000,3.301449,5.735811,0.569849,1.105160,-1.342058,-10.481804,6.232670
0.020000,3.322918,5.734829,0.591340,1.074557,-1.530136,-9.403883,6.242115
0.020000,3.343715,5.734060,0.612152,1.040579,-1.698889,-8.437648,6.250138
0.020000,3.363778,5.733466,0.632223,1.003569,-1.850499,-7.580491,6.256906
0.020000,3.383049,5.733015,0.651500,0.963830,-1.986982,-6.824191,6.262569
0.020000,3.401479,5.732680,0.669932,0.921627,-2.110139,-6.157856,6.267265
0.020000,3.419021,5.732435,0.687476,0.877196,-2.221534,-5.569721,6.271116
0.020000,3.435635,5.732261,0.704091,0.830746,-2.322497,-5.048174,6.274234
0.020000,3.451284,5.732141,0.719741,0.782463,-2.414144,-4.582326,6.276720
0.020000,3.465934,5.732061,0.734391,0.732516,-2.497390,-4.162300,6.278666
0.020000,3.479555,5.732010,0.748012,0.681056,-2.572977,-3.779333,6.280155
0.020000,3.492119,5.731979,0.760577,0.628226,-2.641493,-3.425803,6.281264
0.020000,3.503603,5.731962,0.772060,0.574158,-2.703396,-3.095178,6.282060
0.020000,3.513982,5.731953,0.782439,0.518977,-2.759035,-2.781958,6.282605
0.020000,3.523238,5.731950,0.791695,0.462804,-2.808667,-2.481586,6.282955
0.020000,3.531353,5.731949,0.799810,0.405755,-2.852474,-2.190367,6.283157
0.020000,3.538312,5.731949,0.806769,0.347943,-2.890582,-1.905373,0.000068
0.020000,3.544102,5.731949,0.812559,0.289482,-2.923069,-1.624360,0.000095
0.020000,3.548711,5.731950,0.817169,0.230482,-2.949983,-1.345676,0.000082
0.020000,3.552133,5.731950,0.820590,0.171055,-2.971346,-1.068174,0.000053
0.020000,3.554359,5.731950,0.822816,0.111312,-2.987169,-0.791129,0.000025
0.020000,3.555515,5.731950,0.823972,0.057815,-2.674854,15.615743,0.000008
0.020000,3.555929,5.731950,0.824386,0.020687,-1.856389,40.923214,0.000001
0.020000,3.556000,5.731950,0.824457,0.003559,-0.856395,49.999712,0.000000
0.020000,3.556000,5.731950,0.824457,0.000000,-0.177947,33.922412,0.000000
