dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.296385,-0.207758,0.000197,0.019732,0.986616,49.330782,5.323250
0.020000,-0.295936,-0.208400,0.000981,0.039171,0.971955,-0.733044,5.323234
0.020000,-0.294925,-0.209844,0.002743,0.088137,2.448298,73.817153,5.323198
0.020000,-0.293240,-0.212251,0.005682,0.146901,2.938173,24.493766,5.323137
0.020000,-0.290881,-0.215621,0.009795,0.205672,2.938565,0.019574,5.323054
0.020000,-0.287849,-0.219954,0.015084,0.264454,2.939113,0.027404,5.322947
0.020000,-0.284142,-0.225251,0.021549,0.323251,2.939817,0.035235,5.322818
0.020000,-0.279763,-0.231513,0.029190,0.382064,2.940679,0.043065,5.322668
0.020000,-0.274710,-0.238740,0.038008,0.440898,2.941697,0.050896,5.322498
0.020000,-0.268984,-0.246932,0.048003,0.499756,2.942871,0.058727,5.322309
0.020000,-0.262585,-0.256091,0.059176,0.558640,2.944202,0.066558,5.322103
0.020000,-0.255514,-0.266217,0.071527,0.617554,2.945690,0.074389,5.321881
0.020000,-0.247770,-0.277312,0.085057,0.676500,2.947335,0.082221,5.321645
0.020000,-0.239353,-0.289376,0.099767,0.735483,2.949136,0.090052,5.321398
0.020000,-0.230265,-0.302410,0.115657,0.794505,2.951093,0.097884,5.321141
0.020000,-0.220505,-0.316417,0.132728,0.853569,2.953208,0.105716,5.320876
0.020000,-0.210073,-0.331395,0.150982,0.912678,2.955479,0.113547,5.320607
0.020000,-0.198968,-0.347348,0.170419,0.971837,2.957906,0.121379,5.320335
0.020000,-0.187192,-0.364276,0.191040,1.031046,2.960490,0.129210,5.320065
0.020000,-0.174744,-0.382180,0.212846,1.090311,2.963231,0.137041,5.319798
0.020000,-0.161624,-0.401061,0.235839,1.149634,2.966129,0.144872,5.319538
0.020000,-0.147831,-0.420922,0.260019,1.209017,2.969183,0.152702,5.319288
0.020000,-0.133365,-0.441763,0.285388,1.268465,2.972393,0.160532,5.319052
0.020000,-0.118225,-0.463584,0.311948,1.327980,2.975760,0.168362,5.318834
0.020000,-0.102410,-0.486389,0.339699,1.387566,2.979284,0.176191,5.318637
0.020000,-0.085920,-0.510177,0.368644,1.447225,2.982965,0.184021,5.318466
0.020000,-0.068753,-0.534949,0.398783,1.506961,2.986802,0.191851,5.318324
0.020000,-0.050908,-0.560707,0.430118,1.566777,2.990795,0.199680,5.318217
0.020000,-0.032495,-0.587289,0.462455,1.616815,2.501894,-24.445043,5.318149
0.020000,-0.013738,-0.614371,0.495399,1.647193,1.518874,-49.151034,5.318123
0.020000,0.005042,-0.641488,0.528383,1.649238,0.102252,-70.831090,5.318143
0.020000,0.023524,-0.668170,0.560841,1.622895,-1.317144,-70.969776,5.318206
0.020000,0.041482,-0.694092,0.592376,1.576752,-2.307122,-49.498925,5.318308
0.020000,0.058791,-0.719069,0.622765,1.519421,-2.866545,-27.971144,5.318446
0.020000,0.075435,-0.743080,0.651980,1.460774,-2.932397,-3.292619,5.318613
0.020000,0.091414,-0.766123,0.680021,1.402048,-2.936254,-0.192831,5.318807
0.020000,0.106727,-0.788196,0.706886,1.343249,-2.939954,-0.185001,5.319023
0.020000,0.121374,-0.809299,0.732574,1.284379,-2.943497,-0.177171,5.319257
0.020000,0.135354,-0.829429,0.757083,1.225442,-2.946884,-0.169342,5.319505
0.020000,0.148666,-0.848588,0.780411,1.166439,-2.950114,-0.161512,5.319764
0.020000,0.161308,-0.866772,0.802559,1.107376,-2.953188,-0.153682,5.320030
0.020000,0.173280,-0.883983,0.823524,1.048254,-2.956105,-0.145852,5.320300
0.020000,0.184580,-0.900219,0.843305,0.989076,-2.958866,-0.138021,5.320572
0.020000,0.195208,-0.915480,0.861902,0.929847,-2.961469,-0.130190,5.320842
0.020000,0.205162,-0.929765,0.879314,0.870569,-2.963917,-0.122359,5.321107
0.020000,0.214442,-0.943075,0.895539,0.811244,-2.966207,-0.114528,5.321365
0.020000,0.223045,-0.955408,0.910576,0.751878,-2.968341,-0.106697,5.321614
0.020000,0.230972,-0.966765,0.924426,0.692471,-2.970318,-0.098865,5.321851
0.020000,0.238220,-0.977145,0.937086,0.633028,-2.972139,-0.091033,5.322074
0.020000,0.244789,-0.986549,0.948557,0.573552,-2.973803,-0.083202,5.322283
0.020000,0.250679,-0.994975,0.958838,0.514046,-2.975310,-0.075370,5.322474
0.020000,0.255888,-1.002425,0.967928,0.454513,-2.976661,-0.067539,5.322646
0.020000,0.260415,-1.008898,0.975828,0.394956,-2.977855,-0.059708,5.322799
0.020000,0.264260,-1.014394,0.982535,0.335378,-2.978893,-0.051877,5.322930
0.020000,0.267423,-1.018913,0.988051,0.275782,-2.979774,-0.044046,5.323040
0.020000,0.269902,-1.022455,0.992374,0.216173,-2.980498,-0.036215,5.323127
0.020000,0.271698,-1.025020,0.995505,0.156551,-2.981066,-0.028385,5.323190
0.020000,0.272809,-1.026608,0.997444,0.096922,-2.981477,-0.020555,5.323229
0.020000,0.273337,-1.027362,0.998363,0.045982,-2.546997,21.723996,5.323248
0.020000,0.273494,-1.027586,0.998637,0.013674,-1.615389,46.580408,5.323254
0.020000,0.273508,-1.027606,0.998662,0.001245,-0.621457,49.696614,5.323254
0.020000,0.273508,-1.027606,0.998662,0.000000,-0.062240,27.960808,5.323254
