dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.500078,5.829834,0.000199,0.019907,0.995337,49.766849,5.148900
0.020000,2.500415,5.829112,0.000995,0.059720,1.990674,49.766849,5.149676
0.020000,2.501175,5.827490,0.002787,0.119440,2.986011,49.766849,5.151425
0.020000,2.502448,5.824789,0.005773,0.179161,2.986011,0.000000,5.154354
0.020000,2.504244,5.821014,0.009953,0.238881,2.986011,-0.000000,5.158484
0.020000,2.506576,5.816171,0.015328,0.298601,2.986011,0.000000,5.163841
0.020000,2.509461,5.810270,0.021897,0.358321,2.986011,0.000000,5.170464
0.020000,2.512922,5.803320,0.029661,0.418042,2.986011,-0.000000,5.178398
0.020000,2.516984,5.795336,0.038619,0.477762,2.986011,0.000000,5.187698
0.020000,2.521678,5.786334,0.048772,0.537482,2.986011,0.000000,5.198428
0.020000,2.527040,5.776334,0.060118,0.597202,2.986011,-0.000000,5.210661
0.020000,2.533109,5.765359,0.072660,0.656922,2.986011,0.000000,5.224479
0.020000,2.539931,5.753438,0.086395,0.716643,2.986011,0.000000,5.239974
0.020000,2.547558,5.740603,0.101325,0.776363,2.986011,-0.000000,5.257246
0.020000,2.556047,5.726894,0.117450,0.836083,2.986011,0.000000,5.276403
0.020000,2.565458,5.712356,0.134769,0.895803,2.986011,0.000000,5.297558
0.020000,2.575862,5.697043,0.153282,0.955523,2.986011,-0.000000,5.320827
0.020000,2.587330,5.681016,0.172990,1.015244,2.986011,0.000000,5.346325
0.020000,2.599943,5.664349,0.193892,1.074964,2.986011,-0.000000,5.374158
0.020000,2.613782,5.647124,0.215988,1.134684,2.986011,0.000000,5.404421
0.020000,2.628934,5.629437,0.239279,1.194404,2.986011,-0.000000,5.437181
0.020000,2.645486,5.611395,0.263764,1.254125,2.986011,0.000000,5.472471
0.020000,2.663525,5.593121,0.289444,1.313845,2.986011,0.000000,5.510274
0.020000,2.683135,5.574748,0.316318,1.373565,2.986011,-0.000000,5.550507
0.020000,2.704393,5.556422,0.344387,1.433285,2.986011,0.000000,5.593008
0.020000,2.727365,5.538300,0.373650,1.493005,2.986011,-0.000000,5.637529
0.020000,2.752107,5.520542,0.404107,1.552726,2.986011,-0.000000,5.683724
0.020000,2.778655,5.503312,0.435759,1.612446,2.986011,0.000000,5.731156
0.020000,2.807028,5.486770,0.468605,1.672166,2.986011,-0.000000,5.779311
0.020000,2.837225,5.471066,0.502645,1.731886,2.986011,0.000000,5.827618
0.020000,2.869228,5.456332,0.537880,1.791607,2.986011,0.000000,5.875477
0.020000,2.902814,5.442754,0.574110,1.831420,1.990674,-49.766849,5.922051
0.020000,2.937547,5.430519,0.610938,1.851327,0.995337,-49.766849,5.966378
0.020000,2.972838,5.419759,0.647836,1.838496,-0.641548,-81.844253,6.007573
0.020000,3.008086,5.410510,0.684279,1.805758,-1.636885,-49.766849,6.045030
0.020000,3.042806,5.402703,0.719867,1.753114,-2.632222,-49.766849,6.078519
0.020000,3.076652,5.396207,0.754332,1.693393,-2.986011,-17.689445,6.108095
0.020000,3.109486,5.390844,0.787603,1.633673,-2.986011,-0.000000,6.134064
0.020000,3.141259,5.386445,0.819679,1.573953,-2.986011,0.000000,6.156786
0.020000,3.171932,5.382861,0.850561,1.514233,-2.986011,0.000000,6.176602
0.020000,3.201477,5.379961,0.880249,1.454513,-2.986011,-0.000000,6.193827
0.020000,3.229874,5.377634,0.908742,1.394792,-2.986011,0.000000,6.208746
0.020000,3.257110,5.375782,0.936040,1.335072,-2.986011,0.000000,6.221616
0.020000,3.283173,5.374322,0.962145,1.275352,-2.986011,-0.000000,6.232670
0.020000,3.308057,5.373184,0.987054,1.215632,-2.986011,0.000000,6.242115
0.020000,3.331756,5.372308,1.010770,1.155911,-2.986011,0.000000,6.250138
0.020000,3.354267,5.371641,1.033291,1.096191,-2.986011,-0.000000,6.256906
0.020000,3.375588,5.371142,1.054617,1.036471,-2.986011,0.000000,6.262569
0.020000,3.395717,5.370776,1.074750,0.976751,-2.986011,0.000000,6.267265
0.020000,3.414653,5.370512,1.093688,0.917031,-2.986011,0.000000,6.271116
0.020000,3.432395,5.370326,1.111431,0.857310,-2.986011,0.000000,6.274234
0.020000,3.448944,5.370199,1.127980,0.797590,-2.986011,0.000000,6.276720
0.020000,3.464298,5.370115,1.143335,0.737870,-2.986011,0.000000,6.278666
0.020000,3.478458,5.370062,1.157495,0.678150,-2.986011,-0.000000,6.280155
0.020000,3.491424,5.370030,1.170461,0.618430,-2.986011,0.000000,6.281264
0.020000,3.503195,5.370012,1.182232,0.558709,-2.986011,0.000000,6.282060
0.020000,3.513772,5.370003,1.192809,0.498989,-2.986011,-0.000000,6.282605
0.020000,3.523155,5.370000,1.202191,0.439269,-2.986011,0.000000,6.282955
0.020000,3.531343,5.369999,1.210380,0.379549,-2.986011,-0.000000,6.283157
0.020000,3.538337,5.369999,1.217373,0.319828,-2.986011,0.000000,0.000068
0.020000,3.544136,5.369999,1.223173,0.260108,-2.986011,-0.000000,0.000095
0.020000,3.548741,5.370000,1.227778,0.200388,-2.986011,0.000000,0.000082
0.020000,3.552152,5.370000,1.231188,0.140668,-2.986011,0.000000,0.000053
0.020000,3.554368,5.370000,1.233404,0.080948,-2.986011,0.000000,0.000025
0.020000,3.555518,5.370000,1.234555,0.034058,-2.344463,32.077404,0.000008
0.020000,3.555929,5.370000,1.234966,0.007076,-1.349126,49.766849,0.000001
0.020000,3.556000,5.370000,1.235037,0.000000,-0.353789,49.766849,0.000000
0.020000,3.556000,5.370000,1.235037,0.000000,0.000000,17.689445,0.000000
