dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.296514,-0.207575,0.000195,0.019506,0.975314,48.765696,5.322644
0.020000,-0.296604,-0.207445,0.000354,0.007945,-0.578077,-77.669569,5.320049
0.020000,-0.296805,-0.207154,0.000707,0.017662,0.485872,53.197494,5.314223
0.020000,-0.297129,-0.206679,0.001282,0.028751,0.554447,3.428707,5.304550
0.020000,-0.297556,-0.206033,0.002057,0.038715,0.498215,-2.811587,5.291093
0.020000,-0.298063,-0.205243,0.002995,0.046921,0.410303,-4.395614,5.273950
0.020000,-0.298614,-0.204348,0.004046,0.052572,0.282521,-6.389070,5.253260
0.020000,-0.299166,-0.203404,0.005140,0.054690,0.105922,-8.829976,5.229220
0.020000,-0.299669,-0.202490,0.006183,0.052133,-0.127847,-11.688407,5.202088
0.020000,-0.300069,-0.201715,0.007056,0.043636,-0.424858,-14.850589,5.172192
0.020000,-0.300309,-0.201211,0.007613,0.027894,-0.787128,-18.113493,5.139932
0.020000,-0.300340,-0.201145,0.007687,0.003673,-1.211050,-21.196100,5.105777
0.020000,-0.300122,-0.201705,0.008288,0.030064,1.319591,126.532042,5.070253
0.020000,-0.299631,-0.203102,0.009769,0.074029,2.198240,43.932456,5.033924
0.020000,-0.298867,-0.205556,0.012339,0.128529,2.724989,26.337464,4.997374
0.020000,-0.297851,-0.209289,0.016208,0.193426,3.244844,25.992735,4.961176
0.020000,-0.296627,-0.214511,0.021571,0.268166,3.737001,24.607854,4.925875
0.020000,-0.295259,-0.221414,0.028608,0.351864,4.184907,22.395293,4.891966
0.020000,-0.293822,-0.230165,0.037477,0.443428,4.578195,19.664424,4.859882
0.020000,-0.292397,-0.240905,0.048311,0.541696,4.913406,16.760521,4.829995
0.020000,-0.291065,-0.253747,0.061222,0.645568,5.193580,14.008701,4.802614
0.020000,-0.289900,-0.268784,0.076305,0.754110,5.427121,11.677073,4.777997
0.020000,-0.288959,-0.286092,0.093637,0.866638,5.626396,9.963729,4.756364
0.020000,-0.288285,-0.305735,0.113293,0.982768,5.806487,9.004572,4.737914
0.020000,-0.287898,-0.327781,0.135342,1.102455,5.984387,8.894991,4.722844
0.020000,-0.287792,-0.352301,0.159862,1.226031,6.178759,9.718583,4.711369
0.020000,-0.287934,-0.379386,0.186947,1.354237,6.410331,11.578616,4.703744
0.020000,-0.288254,-0.409150,0.216713,1.488296,6.702951,14.631024,4.700294
0.020000,-0.288642,-0.441748,0.249313,1.630003,7.085348,19.119821,4.701439
0.020000,-0.288935,-0.477384,0.284951,1.781877,7.593684,25.416818,4.707744
0.020000,-0.288895,-0.516332,0.323898,1.947376,8.274976,34.064576,4.719960
0.020000,-0.288185,-0.558950,0.366522,2.131200,9.191191,45.810762,4.739101
0.020000,-0.286319,-0.605706,0.413315,2.339660,10.422978,61.589356,4.766530
0.020000,-0.282616,-0.656919,0.464662,2.567337,11.383839,48.043058,4.803849
0.020000,-0.276179,-0.712561,0.520676,2.800681,11.667195,14.167769,4.852621
0.020000,-0.265944,-0.772122,0.581110,3.021714,11.051651,-30.777170,4.913957
0.020000,-0.250755,-0.834728,0.645532,3.221093,9.968960,-54.134546,4.988280
0.020000,-0.229461,-0.899262,0.713488,3.397822,8.836452,-56.625401,5.075252
0.020000,-0.201143,-0.964172,0.784306,3.540905,7.154167,-84.114272,5.173382
0.020000,-0.165449,-1.027420,0.856931,3.631245,4.517018,-131.857425,5.279754
