dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000192,-0.361950,0.000200,0.019956,0.997803,49.890136,0.000000
0.020000,0.000990,-0.361950,0.000998,0.039912,0.997803,-0.000000,0.000000
0.020000,0.002786,-0.361950,0.002794,0.089802,2.494507,74.835203,0.000000
0.020000,0.005780,-0.361950,0.005787,0.149670,2.993408,24.945068,0.000000
0.020000,0.009970,-0.361950,0.009978,0.209539,2.993408,-0.000000,0.000000
0.020000,0.015359,-0.361950,0.015366,0.269407,2.993408,-0.000000,0.000000
0.020000,0.021944,-0.361950,0.021952,0.329275,2.993408,0.000000,0.000000
0.020000,0.029727,-0.361950,0.029735,0.389143,2.993408,-0.000000,0.000000
0.020000,0.038707,-0.361950,0.038715,0.449011,2.993408,0.000000,0.000000
0.020000,0.048885,-0.361950,0.048892,0.508879,2.993408,0.000000,0.000000
0.020000,0.060260,-0.361950,0.060267,0.568748,2.993408,0.000000,0.000000
0.020000,0.072832,-0.361950,0.072840,0.628616,2.993408,-0.000000,0.000000
0.020000,0.086602,-0.361950,0.086609,0.688484,2.993408,-0.000000,0.000000
0.020000,0.101569,-0.361950,0.101576,0.748352,2.993408,-0.000000,0.000000
0.020000,0.117733,-0.361950,0.117741,0.808220,2.993408,-0.000000,0.000000
0.020000,0.135095,-0.361950,0.135102,0.868088,2.993408,0.000000,0.000000
0.020000,0.153654,-0.361950,0.153662,0.927957,2.993408,0.000000,0.000000
0.020000,0.173411,-0.361950,0.173418,0.987825,2.993408,-0.000000,0.000000
0.020000,0.194364,-0.361950,0.194372,1.047693,2.993408,0.000000,0.000000
0.020000,0.216516,-0.361950,0.216523,1.107561,2.993408,0.000000,0.000000
0.020000,0.239864,-0.361950,0.239872,1.167429,2.993408,0.000000,0.000000
0.020000,0.264410,-0.361950,0.264418,1.227297,2.993408,-0.000000,0.000000
0.020000,0.290153,-0.361950,0.290161,1.287165,2.993408,0.000000,0.000000
0.020000,0.317094,-0.361950,0.317102,1.347034,2.993408,-0.000000,0.000000
0.020000,0.345033,-0.361950,0.345040,1.396924,2.494507,-24.945068,0.000000
0.020000,0.373570,-0.361950,0.373577,1.426858,1.496704,-49.890136,0.000000
0.020000,0.402196,-0.361950,0.402204,1.431321,0.223141,-63.678146,0.000000
0.020000,0.430402,-0.361950,0.430410,1.410312,-1.050422,-63.678146,0.000000
0.020000,0.457789,-0.361950,0.457797,1.369348,-2.048224,-49.890136,0.000000
0.020000,0.484068,-0.361950,0.484076,1.313942,-2.770267,-36.102125,0.000000
0.020000,0.509150,-0.361950,0.509157,1.254074,-2.993408,-11.157057,0.000000
0.020000,0.533034,-0.361950,0.533041,1.194206,-2.993408,-0.000000,0.000000
0.020000,0.555721,-0.361950,0.555728,1.134338,-2.993408,-0.000000,0.000000
0.020000,0.577210,-0.361950,0.577218,1.074470,-2.993408,0.000000,0.000000
0.020000,0.597502,-0.361950,0.597510,1.014602,-2.993408,0.000000,0.000000
0.020000,0.616597,-0.361950,0.616604,0.954733,-2.993408,-0.000000,0.000000
0.020000,0.634494,-0.361950,0.634502,0.894865,-2.993408,0.000000,0.000000
0.020000,0.651194,-0.361950,0.651202,0.834997,-2.993408,-0.000000,0.000000
0.020000,0.666696,-0.361950,0.666704,0.775129,-2.993408,0.000000,0.000000
0.020000,0.681002,-0.361950,0.681009,0.715261,-2.993408,0.000000,0.000000
0.020000,0.694110,-0.361950,0.694117,0.655393,-2.993408,-0.000000,0.000000
0.020000,0.706020,-0.361950,0.706028,0.595524,-2.993408,0.000000,0.000000
0.020000,0.716733,-0.361950,0.716741,0.535656,-2.993408,-0.000000,0.000000
0.020000,0.726249,-0.361950,0.726257,0.475788,-2.993408,0.000000,0.000000
0.020000,0.734567,-0.361950,0.734575,0.415920,-2.993408,-0.000000,0.000000
0.020000,0.741688,-0.361950,0.741696,0.356052,-2.993408,0.000000,0.000000
0.020000,0.747612,-0.361950,0.747620,0.296184,-2.993408,-0.000000,0.000000
0.020000,0.752338,-0.361950,0.752346,0.236316,-2.993408,0.000000,0.000000
0.020000,0.755867,-0.361950,0.755875,0.176447,-2.993408,-0.000000,0.000000
0.020000,0.758199,-0.361950,0.758206,0.116579,-2.993408,0.000000,0.000000
0.020000,0.759443,-0.361950,0.759451,0.062226,-2.717648,13.788010,0.000000
0.020000,0.759911,-0.361950,0.759918,0.023366,-1.942986,38.733078,0.000000
0.020000,0.760000,-0.361950,0.760008,0.004463,-0.945184,49.890136,0.000000
0.020000,0.760000,-0.361950,0.760008,0.000000,-0.223141,36.102125,0.000000
