dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000002,0.361950,0.000197,0.019665,0.983267,49.163361,0.000533
0.020000,-0.000010,0.361950,0.000204,0.000370,-0.964756,-97.401159,0.002727
0.020000,-0.000015,0.361950,0.000209,0.000257,-0.005661,47.954732,0.007631
0.020000,0.000012,0.361950,0.000236,0.001358,0.055052,3.035652,0.015705
0.020000,0.000126,0.361953,0.000350,0.005696,0.216908,8.092818,0.026800
0.020000,0.000404,0.361962,0.000629,0.013921,0.411239,9.716546,0.040701
0.020000,0.000949,0.361989,0.001174,0.027241,0.666025,12.739302,0.057125
0.020000,0.001884,0.362052,0.002111,0.046889,0.982369,15.817177,0.075723
0.020000,0.003360,0.362180,0.003593,0.074073,1.359228,18.842959,0.096079
0.020000,0.005546,0.362416,0.005791,0.109928,1.792711,21.674141,0.117714
0.020000,0.008629,0.362817,0.008900,0.155445,2.275875,24.158214,0.140094
0.020000,0.012809,0.363457,0.013129,0.211429,2.799215,26.167004,0.162640
0.020000,0.018294,0.364423,0.018698,0.278467,3.351876,27.633073,0.184741
0.020000,0.025296,0.365812,0.025837,0.356936,3.923461,28.579232,0.205767
0.020000,0.034030,0.367727,0.034778,0.447059,4.506134,29.133670,0.225072
0.020000,0.044710,0.370274,0.045758,0.548993,5.096691,29.527810,0.242005
0.020000,0.057559,0.373547,0.059017,0.662958,5.698289,30.079938,0.255901
0.020000,0.072810,0.377628,0.074805,0.789393,6.321726,31.171850,0.266070
0.020000,0.090722,0.382574,0.093387,0.929118,6.986244,33.225856,0.271778
0.020000,0.111593,0.388406,0.115058,1.083516,7.719930,36.684343,0.272216
0.020000,0.135779,0.395095,0.140152,1.254708,8.559587,41.982851,0.266453
0.020000,0.163718,0.402540,0.169066,1.445695,9.549338,49.487529,0.253397
0.020000,0.195688,0.410472,0.202005,1.646959,10.063177,25.691949,0.231935
0.020000,0.231690,0.418414,0.238872,1.843364,9.820280,-12.144866,0.201248
0.020000,0.271306,0.425694,0.279151,2.013961,8.529830,-64.522471,0.161203
0.020000,0.313773,0.431562,0.322022,2.143531,6.478497,-102.566653,0.112507
0.020000,0.358195,0.435343,0.366604,2.229111,4.279003,-109.974697,0.056505
0.020000,0.403606,0.436528,0.412031,2.271338,2.111372,-108.381543,6.278162
0.020000,0.449165,0.434823,0.457622,2.279544,0.410273,-85.054968,6.212919
0.020000,0.493963,0.430166,0.502661,2.251982,-1.378083,-89.417805,6.145938
0.020000,0.537090,0.422741,0.546423,2.188083,-3.194945,-90.843070,6.079228
0.020000,0.577753,0.412953,0.588247,2.091218,-4.843243,-82.414940,6.014614
0.020000,0.615364,0.401356,0.627606,1.967901,-6.165850,-66.130332,5.953557
0.020000,0.649573,0.388561,0.664129,1.826164,-7.086859,-46.050473,5.897075
0.020000,0.680251,0.375161,0.697606,1.673877,-7.614332,-26.373637,5.845751
0.020000,0.707442,0.361674,0.727958,1.517597,-7.814040,-9.985406,5.799806
0.020000,0.731300,0.348524,0.755200,1.362089,-7.775357,1.934176,5.759195
0.020000,0.752041,0.336041,0.779408,1.210388,-7.585051,9.515279,5.723709
0.020000,0.769903,0.324470,0.800690,1.064113,-7.313748,13.565157,5.693047
0.020000,0.785118,0.313987,0.819167,0.923863,-7.012501,15.062346,5.666876
0.020000,0.797903,0.304717,0.834959,0.789564,-6.714947,14.877708,5.644866
0.020000,0.808444,0.296747,0.848173,0.660736,-6.441447,13.674985,5.626715
0.020000,0.816898,0.290135,0.858907,0.536671,-6.203229,11.910907,5.612160
0.020000,0.823394,0.284918,0.867238,0.416556,-6.005732,9.874878,5.600982
0.020000,0.828029,0.281122,0.873229,0.299536,-5.851025,7.735335,5.593010
0.020000,0.830872,0.278763,0.876924,0.184747,-5.739437,5.579392,5.588121
0.020000,0.832217,0.277639,0.878677,0.087654,-4.854664,44.238673,5.585809
0.020000,0.832619,0.277302,0.879201,0.026222,-3.071578,89.154257,5.585119
0.020000,0.832657,0.277270,0.879251,0.002477,-1.187260,94.215939,5.585054
0.020000,0.832657,0.277270,0.879251,0.000000,-0.123853,53.170339,5.585054
