dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000384,-0.361950,0.000197,0.019665,0.983267,49.163361,0.000533
0.020000,0.001964,-0.361947,0.001777,0.079032,2.968312,99.252247,0.002727
0.020000,0.005509,-0.361929,0.005322,0.177245,4.910667,97.117728,0.007631
0.020000,0.011381,-0.361860,0.011195,0.293621,5.818821,45.407690,0.015705
0.020000,0.019525,-0.361687,0.019340,0.407274,5.682629,-6.809554,0.026800
0.020000,0.029860,-0.361338,0.029681,0.517039,5.488257,-9.718644,0.040701
0.020000,0.042279,-0.360730,0.042115,0.621708,5.233427,-12.741458,0.057125
0.020000,0.056648,-0.359773,0.056516,0.720049,4.917047,-15.819026,0.075723
0.020000,0.072805,-0.358381,0.072733,0.810852,4.540164,-18.844122,0.096079
0.020000,0.090563,-0.356474,0.090593,0.892985,4.106679,-21.674280,0.117714
0.020000,0.109712,-0.353990,0.109902,0.965456,3.623537,-24.157093,0.140094
0.020000,0.130025,-0.350890,0.130451,1.027461,3.100246,-26.164546,0.162640
0.020000,0.151269,-0.347159,0.152019,1.078414,2.547658,-27.629400,0.184741
0.020000,0.173202,-0.342818,0.174378,1.117938,1.976165,-28.574667,0.205767
0.020000,0.195587,-0.337915,0.197294,1.145809,1.393590,-29.128725,0.225072
0.020000,0.218193,-0.332531,0.220532,1.161872,0.803127,-29.523151,0.242005
0.020000,0.240790,-0.326780,0.243850,1.165904,0.201600,-30.076372,0.255901
0.020000,0.263154,-0.320799,0.266999,1.157468,-0.421807,-31.170358,0.266070
0.020000,0.285050,-0.314755,0.289714,1.135740,-1.086362,-33.227711,0.271778
0.020000,0.306225,-0.308839,0.311701,1.099337,-1.820188,-36.691341,0.272216
0.020000,0.326391,-0.303259,0.332623,1.046134,-2.660143,-41.997724,0.266453
0.020000,0.345195,-0.298243,0.352086,0.973125,-3.650434,-49.514576,0.253397
0.020000,0.362085,-0.294045,0.369489,0.870157,-5.148396,-74.898057,0.231935
0.020000,0.376392,-0.290877,0.384143,0.732695,-6.873111,-86.235787,0.201248
0.020000,0.387496,-0.288821,0.395435,0.564621,-8.403709,-76.529872,0.161203
0.020000,0.395045,-0.287761,0.403059,0.381165,-9.172794,-38.454279,0.112507
0.020000,0.399076,-0.287401,0.407106,0.202378,-8.939373,11.671048,0.056505
0.020000,0.399970,-0.287363,0.408000,0.044708,-7.883465,52.795404,6.278162
0.020000,0.398341,-0.287290,0.409631,0.081522,1.840695,486.208024,6.212919
0.020000,0.394921,-0.286927,0.413070,0.171950,4.521387,134.034569,6.145938
0.020000,0.390467,-0.286155,0.417590,0.226018,2.703386,-90.900014,6.079228
0.020000,0.385663,-0.284996,0.422532,0.247102,1.054200,-82.459297,6.014614
0.020000,0.381043,-0.283571,0.427367,0.241724,-0.268885,-66.154260,5.953557
0.020000,0.376961,-0.282046,0.431725,0.217924,-1.189977,-46.054583,5.897075
0.020000,0.373595,-0.280578,0.435397,0.183580,-1.717241,-26.363216,5.845751
0.020000,0.370992,-0.279288,0.438302,0.145248,-1.916581,-9.967010,5.799806
0.020000,0.369105,-0.278250,0.440456,0.107698,-1.877480,1.955064,5.759195
0.020000,0.367837,-0.277488,0.441935,0.073963,-1.686777,9.535141,5.723709
0.020000,0.367070,-0.276993,0.442848,0.045660,-1.415132,13.582268,5.693047
0.020000,0.366684,-0.276728,0.443316,0.023388,-1.113608,15.076188,5.666876
0.020000,0.366569,-0.276645,0.443457,0.007071,-0.815838,14.888473,5.644866
0.020000,0.366629,-0.276691,0.443533,0.003772,-0.164940,32.544895,5.626715
0.020000,0.366784,-0.276812,0.443730,0.009849,0.303840,23.439000,5.612160
0.020000,0.366971,-0.276962,0.443969,0.011974,0.106258,-9.879089,5.600982
0.020000,0.367141,-0.277102,0.444189,0.011004,-0.048508,-7.738297,5.593010
0.020000,0.367261,-0.277202,0.444345,0.007801,-0.160135,-5.581329,5.588121
0.020000,0.367322,-0.277253,0.444425,0.003975,-0.191336,-1.560074,5.585809
0.020000,0.367341,-0.277268,0.444449,0.001223,-0.137567,2.688475,5.585119
0.020000,0.367343,-0.277270,0.444452,0.000116,-0.055352,4.110738,5.585054
0.020000,0.367343,-0.277270,0.444452,0.000000,-0.005819,2.476626,5.585054
