dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.232799,0.277150,0.000198,0.019759,0.987955,49.397765,5.585059
0.020000,0.233399,0.276648,0.000980,0.039118,0.967955,-0.999998,5.585081
0.020000,0.234747,0.275516,0.002740,0.088018,2.445004,73.852426,5.585131
0.020000,0.236995,0.273630,0.005674,0.146704,2.934299,24.464735,5.585213
0.020000,0.240142,0.270990,0.009782,0.205401,2.934832,0.026667,5.585327
0.020000,0.244190,0.267596,0.015065,0.264112,2.935579,0.037335,5.585473
0.020000,0.249138,0.263449,0.021522,0.322843,2.936539,0.048003,5.585649
0.020000,0.254988,0.258547,0.029153,0.381597,2.937712,0.058671,5.585853
0.020000,0.261740,0.252892,0.037961,0.440379,2.939099,0.069340,5.586085
0.020000,0.269396,0.246483,0.047945,0.499193,2.940699,0.080010,5.586343
0.020000,0.277956,0.239321,0.059106,0.558044,2.942513,0.090681,5.586624
0.020000,0.287422,0.231406,0.071445,0.616934,2.944540,0.101352,5.586927
0.020000,0.297794,0.222739,0.084962,0.675870,2.946780,0.112023,5.587249
0.020000,0.309075,0.213318,0.099659,0.734855,2.949234,0.122695,5.587586
0.020000,0.321266,0.203145,0.115537,0.793893,2.951901,0.133366,5.587937
0.020000,0.334368,0.192219,0.132597,0.852988,2.954782,0.144038,5.588298
0.020000,0.348383,0.180541,0.150840,0.912146,2.957876,0.154710,5.588666
0.020000,0.363313,0.168110,0.170267,0.971370,2.961184,0.165381,5.589036
0.020000,0.379158,0.154926,0.190880,1.030664,2.964705,0.176051,5.589406
0.020000,0.395922,0.140989,0.212681,1.090033,2.968439,0.186721,5.589771
0.020000,0.413605,0.126298,0.235670,1.149480,2.972387,0.197390,5.590126
0.020000,0.432210,0.110852,0.259851,1.209011,2.976548,0.208058,5.590467
0.020000,0.451737,0.094652,0.285223,1.268630,2.980923,0.218726,5.590789
0.020000,0.472188,0.077695,0.311790,1.328340,2.985511,0.229393,5.591088
0.020000,0.493566,0.059981,0.339553,1.388146,2.990312,0.240059,5.591357
0.020000,0.515870,0.041508,0.368514,1.448053,2.995326,0.250726,5.591591
0.020000,0.539103,0.022275,0.398675,1.508064,3.000554,0.261392,5.591785
0.020000,0.563266,0.002279,0.430039,1.568184,3.005996,0.272060,5.591932
0.020000,0.588207,-0.018357,0.462410,1.618544,2.518028,-24.398353,5.592026
0.020000,0.613623,-0.039382,0.495395,1.649244,1.534984,-49.152241,5.592062
0.020000,0.639080,-0.060441,0.528434,1.651955,0.135546,-69.971882,5.592036
0.020000,0.664146,-0.081179,0.560966,1.626602,-1.267622,-70.158400,5.591952
0.020000,0.688513,-0.101343,0.592594,1.581401,-2.260077,-49.622735,5.591813
0.020000,0.712001,-0.120786,0.623086,1.524594,-2.840329,-29.012613,5.591626
0.020000,0.734584,-0.139488,0.652407,1.466068,-2.926301,-4.298608,5.591398
0.020000,0.756259,-0.157447,0.680556,1.407437,-2.931564,-0.263128,5.591134
0.020000,0.777025,-0.174663,0.707530,1.348705,-2.936613,-0.252461,5.590841
0.020000,0.796880,-0.191134,0.733328,1.289876,-2.941449,-0.241794,5.590522
0.020000,0.815823,-0.206858,0.757947,1.230954,-2.946071,-0.231128,5.590184
0.020000,0.833853,-0.221835,0.781386,1.171945,-2.950481,-0.220461,5.589831
0.020000,0.850968,-0.236063,0.803643,1.112851,-2.954676,-0.209794,5.589467
0.020000,0.867169,-0.249541,0.824716,1.053678,-2.958659,-0.199126,5.589098
0.020000,0.882454,-0.262266,0.844605,0.994429,-2.962428,-0.188457,5.588728
0.020000,0.896822,-0.274238,0.863307,0.935110,-2.965984,-0.177787,5.588360
0.020000,0.910274,-0.285454,0.880821,0.875723,-2.969326,-0.167117,5.587997
0.020000,0.922809,-0.295913,0.897147,0.816274,-2.972455,-0.156446,5.587645
0.020000,0.934427,-0.305613,0.912282,0.756767,-2.975371,-0.145775,5.587305
0.020000,0.945128,-0.314554,0.926226,0.697205,-2.978073,-0.135103,5.586980
0.020000,0.954911,-0.322734,0.938978,0.637594,-2.980561,-0.124432,5.586675
0.020000,0.963776,-0.330150,0.950537,0.577937,-2.982836,-0.113760,5.586390
0.020000,0.971724,-0.336803,0.960902,0.518239,-2.984898,-0.103089,5.586128
0.020000,0.978754,-0.342691,0.970072,0.458504,-2.986747,-0.092418,5.585892
0.020000,0.984867,-0.347812,0.978047,0.398737,-2.988382,-0.081747,5.585682
0.020000,0.990062,-0.352167,0.984825,0.338941,-2.989803,-0.071077,5.585502
0.020000,0.994340,-0.355754,0.990408,0.279121,-2.991011,-0.060408,5.585351
0.020000,0.997700,-0.358572,0.994793,0.219280,-2.992006,-0.049739,5.585232
0.020000,1.000143,-0.360621,0.997982,0.159425,-2.992787,-0.039071,5.585144
0.020000,1.001669,-0.361901,0.999973,0.099558,-2.993356,-0.028404,5.585089
0.020000,1.002405,-0.362518,1.000934,0.048039,-2.575939,20.870830,5.585063
0.020000,1.002632,-0.362709,1.001231,0.014852,-1.659332,45.830351,5.585055
0.020000,1.002657,-0.362730,1.001263,0.001624,-0.661398,49.896683,5.585054
0.020000,1.002657,-0.362730,1.001263,0.000000,-0.081209,29.009478,5.585054
