dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.232512,-0.277392,0.000198,0.019759,0.987955,49.397765,5.585059
0.020000,-0.231900,-0.277905,0.000996,0.039918,1.007955,0.999998,5.585081
0.020000,-0.230524,-0.279059,0.002792,0.089814,2.494773,74.340869,5.585131
0.020000,-0.228231,-0.280983,0.005786,0.149682,2.993433,24.933030,5.585213
0.020000,-0.225020,-0.283676,0.009977,0.209540,2.992900,-0.026668,5.585327
0.020000,-0.220891,-0.287138,0.015364,0.269383,2.992153,-0.037335,5.585473
0.020000,-0.215845,-0.291368,0.021948,0.329207,2.991193,-0.048003,5.585649
0.020000,-0.209882,-0.296365,0.029729,0.389008,2.990020,-0.058672,5.585853
0.020000,-0.203001,-0.302128,0.038704,0.448780,2.988633,-0.069341,5.586085
0.020000,-0.195202,-0.308656,0.048875,0.508521,2.987033,-0.080011,5.586343
0.020000,-0.186486,-0.315949,0.060239,0.568225,2.985219,-0.090681,5.586624
0.020000,-0.176853,-0.324004,0.072797,0.627889,2.983192,-0.101352,5.586927
0.020000,-0.166301,-0.332821,0.086547,0.687508,2.980952,-0.112023,5.587249
0.020000,-0.154833,-0.342398,0.101489,0.747078,2.978498,-0.122695,5.587586
0.020000,-0.142447,-0.352734,0.117621,0.806595,2.975830,-0.133366,5.587937
0.020000,-0.129144,-0.363827,0.134942,0.866054,2.972950,-0.144038,5.588298
0.020000,-0.114925,-0.375676,0.153451,0.925451,2.969855,-0.154709,5.588666
0.020000,-0.099789,-0.388278,0.173146,0.984782,2.966548,-0.165380,5.589036
0.020000,-0.083738,-0.401633,0.194027,1.044042,2.963027,-0.176051,5.589406
0.020000,-0.066771,-0.415739,0.216092,1.103228,2.959292,-0.186720,5.589771
0.020000,-0.048890,-0.430595,0.239338,1.162335,2.955345,-0.197389,5.590126
0.020000,-0.030096,-0.446198,0.263766,1.221359,2.951183,-0.208057,5.590467
0.020000,-0.010389,-0.462547,0.289372,1.280295,2.946809,-0.218725,5.590789
0.020000,0.010229,-0.479642,0.316154,1.339139,2.942221,-0.229392,5.591088
0.020000,0.031756,-0.497480,0.344112,1.397888,2.937420,-0.240058,5.591357
0.020000,0.054192,-0.516061,0.373243,1.456536,2.932405,-0.250725,5.591591
0.020000,0.077533,-0.535384,0.403544,1.515079,2.927178,-0.261392,5.591785
0.020000,0.101778,-0.555448,0.435015,1.573514,2.921736,-0.272060,5.591932
0.020000,0.126771,-0.576127,0.467454,1.621949,2.421748,-24.999413,5.592026
0.020000,0.152207,-0.597168,0.500464,1.650527,1.428882,-49.643291,5.592062
0.020000,0.177650,-0.618216,0.533485,1.651032,0.025242,-70.182012,5.592036
0.020000,0.202668,-0.638915,0.565956,1.623538,-1.374668,-69.995494,5.591952
0.020000,0.226958,-0.659015,0.597483,1.576376,-2.358124,-49.172797,5.591813
0.020000,0.250342,-0.678372,0.627840,1.517843,-2.926615,-28.424555,5.591626
0.020000,0.272798,-0.696969,0.656996,1.457815,-3.001431,-3.740795,5.591398
0.020000,0.294326,-0.714806,0.684954,1.397891,-2.996168,0.263128,5.591134
0.020000,0.314928,-0.731886,0.711715,1.338069,-2.991119,0.252462,5.590841
0.020000,0.334606,-0.748210,0.737282,1.278343,-2.986283,0.241795,5.590522
0.020000,0.353360,-0.763778,0.761657,1.218710,-2.981660,0.231129,5.590184
0.020000,0.371193,-0.778592,0.784840,1.159165,-2.977251,0.220462,5.589831
0.020000,0.388107,-0.792651,0.806834,1.099704,-2.973055,0.209794,5.589467
0.020000,0.404102,-0.805958,0.827640,1.040323,-2.969073,0.199126,5.589098
0.020000,0.419180,-0.818512,0.847261,0.981017,-2.965304,0.188458,5.588728
0.020000,0.433344,-0.830312,0.865696,0.921782,-2.961748,0.177788,5.588360
0.020000,0.446595,-0.841361,0.882949,0.862614,-2.958406,0.167117,5.587997
0.020000,0.458934,-0.851656,0.899019,0.803508,-2.955277,0.156446,5.587645
0.020000,0.470363,-0.861199,0.913908,0.744461,-2.952361,0.145775,5.587305
0.020000,0.480883,-0.869989,0.927617,0.685468,-2.949659,0.135103,5.586980
0.020000,0.490496,-0.878027,0.940148,0.626524,-2.947170,0.124431,5.586675
0.020000,0.499204,-0.885311,0.951500,0.567626,-2.944895,0.113760,5.586390
0.020000,0.507006,-0.891842,0.961676,0.508770,-2.942833,0.103088,5.586128
0.020000,0.513905,-0.897620,0.970675,0.449950,-2.940985,0.092417,5.585892
0.020000,0.519902,-0.902644,0.978498,0.391163,-2.939350,0.081747,5.585682
0.020000,0.524997,-0.906915,0.985146,0.332404,-2.937929,0.071077,5.585502
0.020000,0.529191,-0.910432,0.990619,0.273670,-2.936721,0.060408,5.585351
0.020000,0.532485,-0.913194,0.994919,0.214955,-2.935726,0.049739,5.585232
0.020000,0.534879,-0.915203,0.998044,0.156256,-2.934944,0.039071,5.585144
0.020000,0.536374,-0.916457,0.999995,0.097569,-2.934376,0.028403,5.585089
0.020000,0.537096,-0.917062,1.000937,0.047076,-2.524626,20.487532,5.585063
0.020000,0.537319,-0.917249,1.001228,0.014554,-1.626110,44.925776,5.585055
0.020000,0.537343,-0.917270,1.001260,0.001592,-0.648133,48.898847,5.585054
0.020000,0.537343,-0.917270,1.001260,0.000000,-0.079579,28.427689,5.585054
