dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.232665,-0.277263,0.000198,0.019773,0.988655,49.432750,5.584503
0.020000,-0.232698,-0.277235,0.000241,0.002143,-0.881492,-93.507334,5.582199
0.020000,-0.232767,-0.277176,0.000332,0.004572,0.121415,50.145353,5.577030
0.020000,-0.232871,-0.277087,0.000469,0.006825,0.112651,-0.438199,5.568459
0.020000,-0.232988,-0.276984,0.000625,0.007810,0.049254,-3.169888,5.556555
0.020000,-0.233090,-0.276892,0.000762,0.006875,-0.046742,-4.799766,5.541425
0.020000,-0.233138,-0.276848,0.000827,0.003241,-0.181708,-6.748297,5.523218
0.020000,-0.233081,-0.276904,0.000907,0.004010,0.038460,11.008399,5.502134
0.020000,-0.232858,-0.277131,0.001226,0.015921,0.595531,27.853524,5.478431
0.020000,-0.232398,-0.277623,0.001898,0.033626,0.885255,14.486212,5.452428
0.020000,-0.231625,-0.278495,0.003064,0.058289,1.233151,17.394799,5.424510
0.020000,-0.230457,-0.279891,0.004884,0.091019,1.636540,20.169455,5.395123
0.020000,-0.228815,-0.281978,0.007540,0.132781,2.088102,22.578102,5.364766
0.020000,-0.226625,-0.284943,0.011226,0.184305,2.576175,24.403653,5.333979
0.020000,-0.223824,-0.288989,0.016147,0.246024,3.085968,25.489633,5.303324
0.020000,-0.220363,-0.294326,0.022508,0.318055,3.601545,25.778862,5.273371
0.020000,-0.216207,-0.301167,0.030512,0.400220,4.108214,25.333449,5.244681
0.020000,-0.211331,-0.309717,0.040354,0.492116,4.594818,24.330200,5.217792
0.020000,-0.205721,-0.320171,0.052219,0.593226,5.055502,23.034193,5.193211
0.020000,-0.199361,-0.332711,0.066280,0.703040,5.490717,21.760765,5.171421
0.020000,-0.192228,-0.347505,0.082703,0.821190,5.907495,20.838904,5.152881
0.020000,-0.184284,-0.364711,0.101655,0.947575,6.319227,20.586606,5.138047
0.020000,-0.175459,-0.384481,0.123305,1.082480,6.745288,21.303042,5.127389
0.020000,-0.165645,-0.406966,0.147839,1.226697,7.210814,23.276260,5.121422
0.020000,-0.154675,-0.432328,0.175471,1.381633,7.746810,26.799810,5.120738
0.020000,-0.142308,-0.460742,0.206460,1.549444,8.390534,32.186219,5.126050
0.020000,-0.128198,-0.492403,0.241123,1.733156,9.185642,39.755385,5.138235
0.020000,-0.111969,-0.527297,0.279606,1.924142,9.549276,18.181734,5.158243
0.020000,-0.093250,-0.565114,0.321802,2.109813,9.283553,-13.286160,5.186874
0.020000,-0.071730,-0.605194,0.367294,2.274593,8.238978,-52.228778,5.224508
0.020000,-0.047179,-0.646637,0.415463,2.408461,6.693417,-77.278021,5.270971
0.020000,-0.019432,-0.688491,0.465680,2.510812,5.117540,-78.793860,5.325614
0.020000,0.011556,-0.729793,0.517314,2.581736,3.546202,-78.566892,5.387354
0.020000,0.045742,-0.769697,0.569860,2.627269,2.276678,-63.476192,5.454892
0.020000,0.082836,-0.807339,0.622707,2.642365,0.754756,-76.096126,5.526546
0.020000,0.122244,-0.841899,0.675122,2.620764,-1.080021,-91.738862,5.600286
0.020000,0.163124,-0.872729,0.726325,2.560145,-3.030953,-97.546583,5.673953
0.020000,0.204505,-0.899456,0.775587,2.463082,-4.853146,-91.109661,5.745532
0.020000,0.245429,-0.922010,0.822314,2.336355,-6.336379,-74.161647,5.813381
0.020000,0.285072,-0.940588,0.866094,2.189010,-7.367245,-51.543316,5.876362
0.020000,0.322809,-0.955573,0.906698,2.030192,-7.940902,-28.682803,5.933840
0.020000,0.358225,-0.967442,0.944050,1.867588,-8.130202,-9.465041,5.985607
0.020000,0.391084,-0.976692,0.978185,1.706768,-8.041000,4.460130,6.031763
0.020000,0.421285,-0.983792,1.009210,1.551228,-7.776983,13.200848,6.072599
0.020000,0.448822,-0.989161,1.037265,1.402795,-7.421629,17.767671,6.108510
0.020000,0.473746,-0.993155,1.062508,1.262118,-7.033875,19.387722,6.139923
0.020000,0.496139,-0.996072,1.085090,1.129095,-6.651137,19.136897,6.167264
0.020000,0.516095,-0.998155,1.105154,1.003200,-6.294767,17.818511,6.190924
0.020000,0.533709,-0.999604,1.122828,0.883694,-5.975307,15.972969,6.211259
0.020000,0.549074,-1.000577,1.138223,0.769761,-5.696606,13.935048,6.228576
0.020000,0.562271,-1.001202,1.151435,0.660588,-5.458692,11.895739,6.243137
0.020000,0.573372,-1.001579,1.162542,0.555395,-5.259639,9.952627,6.255164
0.020000,0.582439,-1.001790,1.171612,0.453460,-5.096722,8.145842,6.264836
0.020000,0.589520,-1.001893,1.178694,0.354119,-4.967087,6.481752,6.272296
0.020000,0.594655,-1.001935,1.183829,0.256756,-4.868128,4.947964,6.277654
0.020000,0.597871,-1.001948,1.187045,0.160802,-4.797685,3.522133,6.280988
0.020000,0.599440,-1.001950,1.188614,0.078442,-4.118033,33.982639,6.282608
0.020000,0.599939,-1.001950,1.189113,0.024937,-2.675213,72.140998,6.283122
0.020000,0.600000,-1.001950,1.189174,0.003054,-1.094167,79.052291,0.000000
0.020000,0.600000,-1.001950,1.189174,0.000000,-0.152706,47.073034,0.000000
