dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.860208,4.291950,0.000199,0.019894,0.994679,49.733938,6.283071
0.020000,0.861200,4.291950,0.001191,0.049618,1.486226,24.577349,6.282528
0.020000,0.863433,4.291947,0.003424,0.111648,3.101504,80.763913,6.281306
0.020000,0.867155,4.291936,0.007146,0.186103,3.722738,31.061692,6.279267
0.020000,0.872367,4.291908,0.012358,0.260591,3.724383,0.082241,6.276409
0.020000,0.879069,4.291850,0.019061,0.335122,3.726576,0.109687,6.272732
0.020000,0.887263,4.291746,0.027255,0.409706,3.729209,0.131637,6.268230
0.020000,0.896948,4.291576,0.036942,0.484349,3.732135,0.146286,6.262902
0.020000,0.908126,4.291314,0.048123,0.559052,3.735172,0.151845,6.256744
0.020000,0.920797,4.290935,0.060799,0.633814,3.738099,0.146340,6.249752
0.020000,0.934960,4.290406,0.074972,0.708627,3.740652,0.127695,6.241925
0.020000,0.950613,4.289692,0.090641,0.783478,3.742528,0.093771,6.233259
0.020000,0.967754,4.288753,0.107808,0.858345,3.743374,0.042284,6.223753
0.020000,0.986379,4.287549,0.126472,0.933201,3.742793,-0.029033,6.213410
0.020000,1.006482,4.286031,0.146632,1.008008,3.740343,-0.122475,6.202230
0.020000,1.028055,4.284150,0.168287,1.082719,3.735541,-0.240137,6.190220
0.020000,1.051086,4.281853,0.191432,1.157276,3.727861,-0.383996,6.177387
0.020000,1.075562,4.279085,0.216064,1.231611,3.716749,-0.555564,6.163745
0.020000,1.101466,4.275787,0.242177,1.305644,3.701632,-0.755862,6.149310
0.020000,1.128776,4.271897,0.269763,1.379282,3.681928,-0.985208,6.134103
0.020000,1.157467,4.267353,0.298811,1.452424,3.657069,-1.242964,6.118153
0.020000,1.187509,4.262092,0.329310,1.524954,3.626520,-1.527443,6.101492
0.020000,1.218867,4.256049,0.361245,1.596750,3.589807,-1.835659,6.084162
0.020000,1.251501,4.249161,0.394599,1.667681,3.546541,-2.163290,6.066210
0.020000,1.285368,4.241365,0.429351,1.737610,3.496450,-2.504562,6.047691
0.020000,1.320417,4.232601,0.465479,1.806398,3.439402,-2.852364,6.028670
0.020000,1.356594,4.222812,0.502957,1.873907,3.375434,-3.198430,6.009215
0.020000,1.393841,4.211944,0.541757,1.940002,3.304762,-3.533569,5.989406
0.020000,1.432095,4.199948,0.581849,2.004558,3.227798,-3.848224,5.969327
0.020000,1.471293,4.186783,0.623198,2.067461,3.145140,-4.132891,5.949071
0.020000,1.511366,4.172413,0.665770,2.128612,3.057563,-4.378836,5.928733
0.020000,1.552247,4.156807,0.709529,2.187932,2.965990,-4.578654,5.908415
0.020000,1.593869,4.139944,0.754436,2.245361,2.871452,-4.726897,5.888221
0.020000,1.636163,4.121812,0.800453,2.300862,2.775042,-4.820524,5.868258
0.020000,1.679066,4.102405,0.847542,2.354419,2.677857,-4.859225,5.848634
0.020000,1.722517,4.081725,0.895662,2.406038,2.580947,-4.845522,5.829455
0.020000,1.766458,4.059783,0.944777,2.455743,2.485254,-4.784666,5.810827
0.020000,1.810838,4.036598,0.994849,2.503574,2.391567,-4.684340,5.792854
0.020000,1.855611,4.012194,1.045840,2.549584,2.300483,-4.554194,5.775637
0.020000,1.900737,3.986606,1.097717,2.593832,2.212377,-4.405288,5.759273
0.020000,1.946185,3.959872,1.150445,2.636379,2.127387,-4.249502,5.743855
0.020000,1.991928,3.932038,1.203990,2.677287,2.045408,-4.098965,5.729476
0.020000,2.037949,3.903157,1.258322,2.716609,1.966097,-3.965547,5.716221
0.020000,2.084234,3.873286,1.313410,2.754387,1.888887,-3.860485,5.704176
0.020000,2.130782,3.842489,1.369223,2.790647,1.813005,-3.794108,5.693426
0.020000,2.177592,3.810836,1.425731,2.825397,1.737492,-3.775672,5.684054
0.020000,2.224674,3.778402,1.482904,2.858622,1.661225,-3.813309,5.676144
0.020000,2.272043,3.745270,1.540709,2.890280,1.582945,-3.913998,5.669782
0.020000,2.319717,3.711529,1.599115,2.920306,1.501274,-4.083561,5.665059
0.020000,2.367557,3.677393,1.657886,2.938525,0.910967,-29.515343,5.662077
0.020000,2.415273,3.643194,1.716592,2.935314,-0.160543,-53.575507,5.660922
0.020000,2.462473,3.609351,1.774671,2.903970,-1.567219,-70.333790,5.661631
0.020000,2.508779,3.576262,1.831584,2.845627,-2.917132,-67.495659,5.664177
0.020000,2.553943,3.544222,1.886959,2.768737,-3.844506,-46.368701,5.668486
0.020000,2.597841,3.513420,1.940585,2.681321,-4.370828,-26.316123,5.674460
0.020000,2.640496,3.483917,1.992450,2.593229,-4.404572,-1.687173,5.682004
0.020000,2.681964,3.455741,2.042584,2.506717,-4.325630,3.947058,5.691029
0.020000,2.722289,3.428911,2.091019,2.421736,-4.249016,3.830736,5.701453
0.020000,2.761508,3.403439,2.137784,2.338268,-4.173438,3.778908,5.713191
0.020000,2.799654,3.379329,2.182910,2.256313,-4.097740,3.784880,5.726160
0.020000,2.836752,3.356579,2.226428,2.175894,-4.020924,3.840816,5.740274
0.020000,2.872822,3.335179,2.268369,2.097051,-3.942169,3.937723,5.755447
0.020000,2.907884,3.315114,2.308766,2.019834,-3.860859,4.065528,5.771590
0.020000,2.941949,3.296362,2.347652,1.944302,-3.776595,4.213195,5.788607
0.020000,2.975031,3.278894,2.385062,1.870518,-3.689215,4.368970,5.806405
0.020000,3.007140,3.262679,2.421033,1.798542,-3.598800,4.520747,5.824881
0.020000,3.038284,3.247678,2.455602,1.728428,-3.505670,4.656534,5.843934
0.020000,3.068471,3.233848,2.488806,1.660221,-3.410369,4.765022,5.863458
0.020000,3.097710,3.221144,2.520685,1.593948,-3.313646,4.836163,5.883346
0.020000,3.126006,3.209518,2.551278,1.529620,-3.216411,4.861758,5.903491
0.020000,3.153369,3.198916,2.580622,1.467226,-3.119692,4.835940,5.923786
0.020000,3.179805,3.189288,2.608757,1.406734,-3.024582,4.755516,5.944126
0.020000,3.205321,3.180577,2.635719,1.348091,-2.932179,4.620122,5.964409
0.020000,3.229924,3.172729,2.661543,1.291220,-2.843536,4.432169,5.984537
0.020000,3.253621,3.165690,2.686264,1.236028,-2.759605,4.196574,6.004416
0.020000,3.276418,3.159404,2.709912,1.182404,-2.681198,3.920317,6.023961
0.020000,3.298322,3.153818,2.732516,1.130225,-2.608960,3.611893,6.043092
0.020000,3.319337,3.148880,2.754103,1.079358,-2.543347,3.280665,6.061735
0.020000,3.339467,3.144538,2.774697,1.029665,-2.484622,2.936252,6.079827
0.020000,3.358717,3.140744,2.794317,0.981008,-2.432863,2.587958,6.097310
0.020000,3.377088,3.137448,2.812982,0.933248,-2.387976,2.244334,6.114134
0.020000,3.394584,3.134607,2.830707,0.886254,-2.349721,1.912771,6.130257
0.020000,3.411205,3.132176,2.847505,0.839899,-2.317733,1.599376,6.145644
0.020000,3.426952,3.130113,2.863386,0.794068,-2.291557,1.308829,6.160266
0.020000,3.441825,3.128380,2.878359,0.748655,-2.270668,1.044412,6.174099
0.020000,3.455822,3.126939,2.892431,0.703565,-2.254506,0.808132,6.187126
0.020000,3.468943,3.125756,2.905605,0.658715,-2.242489,0.600830,6.199334
0.020000,3.481186,3.124797,2.917885,0.614034,-2.234041,0.422430,6.210713
0.020000,3.492550,3.124032,2.929275,0.569462,-2.228600,0.272043,6.221257
0.020000,3.503032,3.123433,2.939774,0.524950,-2.225635,0.148257,6.230963
0.020000,3.512630,3.122974,2.949383,0.480457,-2.224650,0.049201,6.239830
0.020000,3.521342,3.122631,2.958102,0.435953,-2.225195,-0.027209,6.247859
0.020000,3.529167,3.122383,2.965930,0.391415,-2.226859,-0.083234,6.255050
0.020000,3.536101,3.122210,2.972867,0.346830,-2.229282,-0.121156,6.261408
0.020000,3.542144,3.122095,2.978911,0.302187,-2.232147,-0.143241,6.266934
0.020000,3.547293,3.122023,2.984060,0.257483,-2.235181,-0.151691,6.271633
0.020000,3.551547,3.121982,2.988315,0.212720,-2.238153,-0.148595,6.275508
0.020000,3.554905,3.121962,2.991673,0.167903,-2.240872,-0.135925,6.278561
0.020000,3.557366,3.121953,2.994133,0.123039,-2.243183,-0.115562,6.280796
0.020000,3.558929,3.121951,2.995696,0.078140,-2.244968,-0.089259,6.282214
0.020000,3.559707,3.121950,2.996475,0.038914,-1.961277,14.184533,6.282920
0.020000,3.559964,3.121950,2.996732,0.012865,-1.302464,32.940680,6.283153
0.020000,3.560000,3.121950,2.996768,0.001792,-0.553650,37.440698,0.000000
0.020000,3.560000,3.121950,2.996768,0.000000,-0.089595,23.202717,0.000000
