dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.860127,3.568050,0.000197,0.019731,0.986543,49.327163,6.283076
0.020000,0.860728,3.568050,0.000799,0.030065,0.516723,-23.491016,6.282557
0.020000,0.862081,3.568048,0.002151,0.067643,1.878894,68.108536,6.281388
0.020000,0.864335,3.568042,0.004406,0.112727,2.254206,18.765635,6.279440
0.020000,0.867491,3.568026,0.007562,0.157795,2.253407,-0.039973,6.276712
0.020000,0.871548,3.567992,0.011619,0.202843,2.252390,-0.050849,6.273202
0.020000,0.876505,3.567932,0.016576,0.247868,2.251259,-0.056548,6.268909
0.020000,0.882361,3.567834,0.022434,0.292871,2.250149,-0.055492,6.263832
0.020000,0.889117,3.567683,0.029191,0.337856,2.249228,-0.046062,6.257970
0.020000,0.896770,3.567465,0.036847,0.382830,2.248697,-0.026567,6.251322
0.020000,0.905321,3.567160,0.045403,0.427806,2.248791,0.004725,6.243889
0.020000,0.914768,3.566750,0.054859,0.472801,2.249783,0.049575,6.235671
0.020000,0.925111,3.566212,0.065216,0.517841,2.251978,0.109778,6.226672
0.020000,0.936349,3.565521,0.076475,0.562955,2.255719,0.187037,6.216894
0.020000,0.948481,3.564651,0.088639,0.608183,2.261379,0.283017,6.206345
0.020000,0.961508,3.563574,0.101710,0.653570,2.269363,0.399169,6.195033
0.020000,0.975430,3.562259,0.115694,0.699172,2.280097,0.536705,6.182970
0.020000,0.990246,3.560673,0.130595,0.745053,2.294026,0.696443,6.170172
0.020000,1.005959,3.558782,0.146421,0.791285,2.311601,0.878752,6.156657
0.020000,1.022568,3.556549,0.163180,0.837950,2.333267,1.083344,6.142450
0.020000,1.040077,3.553935,0.180882,0.885139,2.359452,1.309223,6.127580
0.020000,1.058487,3.550900,0.199541,0.932950,2.390542,1.554527,6.112082
0.020000,1.077803,3.547402,0.219171,0.981487,2.426872,1.816477,6.095994
0.020000,1.098027,3.543397,0.239788,1.030861,2.468698,2.091292,6.079364
0.020000,1.119165,3.538838,0.261412,1.081185,2.516183,2.374249,6.062244
0.020000,1.141221,3.533679,0.284064,1.132572,2.569377,2.659728,6.044693
0.020000,1.164202,3.527873,0.307766,1.185137,2.628205,2.941388,6.026776
0.020000,1.188113,3.521369,0.332546,1.238986,2.692453,3.212418,6.008563
0.020000,1.212961,3.514119,0.358430,1.294221,2.761771,3.465852,5.990132
0.020000,1.238754,3.506073,0.385449,1.350934,2.835669,3.694935,5.971564
0.020000,1.265498,3.497181,0.413633,1.409205,2.913541,3.893570,5.952945
0.020000,1.293202,3.487393,0.443015,1.469099,2.994675,4.056705,5.934365
0.020000,1.321873,3.476663,0.473628,1.530664,3.078289,4.180715,5.915916
0.020000,1.351520,3.464943,0.505507,1.593936,3.163563,4.263718,5.897692
0.020000,1.382149,3.452190,0.538686,1.658929,3.249678,4.305746,5.879789
0.020000,1.413771,3.438362,0.573199,1.725646,3.335855,4.308832,5.862302
0.020000,1.446394,3.423421,0.609080,1.794074,3.421393,4.276927,5.845325
0.020000,1.480028,3.407333,0.646364,1.864188,3.505708,4.215721,5.828952
0.020000,1.514685,3.390068,0.685083,1.935956,3.588355,4.132344,5.813273
0.020000,1.550377,3.371601,0.725270,2.009337,3.669055,4.035011,5.798378
0.020000,1.587120,3.351911,0.766956,2.084291,3.747708,3.932628,5.784354
0.020000,1.624931,3.330985,0.810171,2.160779,3.824396,3.834408,5.771285
0.020000,1.663831,3.308813,0.854946,2.238766,3.899386,3.749534,5.759255
0.020000,1.703846,3.285394,0.901311,2.318229,3.973123,3.686848,5.748345
0.020000,1.745006,3.260731,0.949294,2.399153,4.046216,3.654653,5.738636
0.020000,1.787346,3.234836,0.998925,2.481542,4.119427,3.660537,5.730208
0.020000,1.830909,3.207728,1.050233,2.565415,4.193653,3.711279,5.723144
0.020000,1.875742,3.179432,1.103250,2.650813,4.269908,3.812759,5.717528
0.020000,1.921905,3.149984,1.158006,2.737799,4.349305,3.969875,5.713447
0.020000,1.969299,3.119532,1.214339,2.816693,3.944714,-20.229584,5.711001
0.020000,2.017637,3.088365,1.271854,2.875724,2.951546,-49.658370,5.710267
0.020000,2.066456,3.056897,1.329936,2.904091,1.418316,-76.661537,5.711275
0.020000,2.115300,3.025541,1.387979,2.902149,-0.097102,-75.770856,5.713984
0.020000,2.163890,2.994590,1.445589,2.880539,-1.080469,-49.168388,5.718312
0.020000,2.212102,2.964224,1.502567,2.848879,-1.583004,-25.126746,5.724162
