dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.863767,3.929126,0.000199,0.019870,0.993521,49.676067,6.283071
0.020000,0.864562,3.929126,0.000994,0.059611,1.987043,49.676067,6.282526
0.020000,0.866350,3.929123,0.002782,0.119223,2.980564,49.676067,6.281300
0.020000,0.869330,3.929115,0.005762,0.178834,2.980564,0.000000,6.279256
0.020000,0.873503,3.929092,0.009935,0.238445,2.980564,-0.000000,6.276391
0.020000,0.878868,3.929046,0.015300,0.298056,2.980564,0.000000,6.272703
0.020000,0.885425,3.928963,0.021857,0.357668,2.980564,0.000000,6.268189
0.020000,0.893173,3.928826,0.029607,0.417279,2.980564,-0.000000,6.262846
0.020000,0.902112,3.928616,0.038549,0.476890,2.980564,0.000000,6.256671
0.020000,0.912241,3.928312,0.048683,0.536502,2.980564,-0.000000,6.249659
0.020000,0.923560,3.927888,0.060009,0.596113,2.980564,0.000000,6.241808
0.020000,0.936065,3.927316,0.072527,0.655724,2.980564,-0.000000,6.233117
0.020000,0.949755,3.926564,0.086238,0.715335,2.980564,0.000000,6.223583
0.020000,0.964626,3.925599,0.101140,0.774947,2.980564,-0.000000,6.213207
0.020000,0.980675,3.924384,0.117236,0.834558,2.980564,0.000000,6.201993
0.020000,0.997897,3.922878,0.134523,0.894169,2.980564,0.000000,6.189944
0.020000,1.016284,3.921039,0.153002,0.953780,2.980564,-0.000000,6.177070
0.020000,1.035831,3.918822,0.172674,1.013392,2.980564,0.000000,6.163383
0.020000,1.056526,3.916178,0.193538,1.073003,2.980564,-0.000000,6.148899
0.020000,1.078360,3.913059,0.215594,1.132614,2.980564,0.000000,6.133641
0.020000,1.101321,3.909411,0.238843,1.192226,2.980564,0.000000,6.117635
0.020000,1.125392,3.905182,0.263283,1.251837,2.980564,0.000000,6.100916
0.020000,1.150559,3.900316,0.288916,1.311448,2.980564,-0.000000,6.083525
0.020000,1.176801,3.894759,0.315741,1.371059,2.980564,0.000000,6.065508
0.020000,1.204100,3.888454,0.343758,1.430671,2.980564,0.000000,6.046923
0.020000,1.232431,3.881345,0.372968,1.490282,2.980564,-0.000000,6.027833
0.020000,1.261769,3.873379,0.403370,1.549893,2.980564,0.000000,6.008308
0.020000,1.292090,3.864500,0.434964,1.609505,2.980564,0.000000,5.988427
0.020000,1.323364,3.854659,0.467750,1.669116,2.980564,-0.000000,5.968277
0.020000,1.355561,3.843805,0.501728,1.728727,2.980564,0.000000,5.947948
0.020000,1.388653,3.831895,0.536899,1.788338,2.980564,0.000000,5.927539
0.020000,1.422608,3.818884,0.573262,1.847950,2.980564,0.000000,5.907151
0.020000,1.457396,3.804738,0.610817,1.907561,2.980564,-0.000000,5.886889
0.020000,1.492987,3.789421,0.649564,1.967172,2.980564,0.000000,5.866861
0.020000,1.529352,3.772908,0.689504,2.026784,2.980564,0.000000,5.847176
0.020000,1.566465,3.755176,0.730636,2.086395,2.980564,-0.000000,5.827939
0.020000,1.604301,3.736210,0.772960,2.146006,2.980564,0.000000,5.809259
0.020000,1.642838,3.715998,0.816476,2.205617,2.980564,0.000000,5.791238
0.020000,1.682058,3.694537,0.861184,2.265229,2.980564,-0.000000,5.773979
0.020000,1.721948,3.671829,0.907085,2.324840,2.980564,0.000000,5.757579
0.020000,1.762497,3.647883,0.954178,2.384451,2.980564,-0.000000,5.742131
0.020000,1.803702,3.622712,1.002463,2.444062,2.980564,0.000000,5.727728
