dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000379,0.361950,0.000195,0.019526,0.976288,48.814386,6.282635
0.020000,0.002026,0.361947,0.001842,0.082333,3.140375,108.204344,6.280243
0.020000,0.005730,0.361926,0.005546,0.185210,5.143816,100.172084,6.274864
0.020000,0.011900,0.361847,0.011717,0.308536,6.166300,51.124201,6.265907
0.020000,0.020529,0.361644,0.020348,0.431563,6.151384,-0.745839,6.253389
0.020000,0.031602,0.361225,0.031428,0.554019,6.122798,-1.429276,6.237341
0.020000,0.045090,0.360474,0.044938,0.675481,6.073086,-2.485601,6.217818
0.020000,0.060950,0.359253,0.060845,0.795344,5.993174,-3.995600,6.194909
0.020000,0.079113,0.357406,0.079101,0.912805,5.873024,-6.007507,6.168745
0.020000,0.099479,0.354762,0.099638,1.026858,5.702656,-8.518395,6.139515
0.020000,0.121916,0.351148,0.122365,1.136329,5.473560,-11.454806,6.107472
0.020000,0.146254,0.346391,0.147164,1.239937,5.180390,-14.658467,6.072940
0.020000,0.172287,0.340334,0.173891,1.336391,4.822681,-17.885471,6.036315
0.020000,0.199775,0.332842,0.202382,1.424514,4.406155,-20.826288,5.998057
0.020000,0.228455,0.323816,0.232449,1.503377,3.943165,-23.149531,5.958676
0.020000,0.258055,0.313192,0.263897,1.572415,3.451901,-24.563201,5.918718
0.020000,0.288301,0.300950,0.296528,1.631502,2.954343,-24.877888,5.878731
0.020000,0.318939,0.287108,0.330147,1.680968,2.473311,-24.051613,5.839248
0.020000,0.349739,0.271719,0.364578,1.721554,2.029307,-22.200202,5.800758
0.020000,0.380511,0.254862,0.399664,1.754313,1.637919,-19.569367,5.763696
0.020000,0.411103,0.236636,0.435274,1.780479,1.308325,-16.479731,5.728425
0.020000,0.441403,0.217147,0.471301,1.801340,1.043063,-13.263075,5.695239
0.020000,0.471340,0.196507,0.507663,1.818118,0.838862,-10.210047,5.664363
0.020000,0.500874,0.174827,0.544301,1.831879,0.688086,-7.538834,5.635964
0.020000,0.529993,0.152211,0.581170,1.843486,0.580332,-5.387667,5.610161
0.020000,0.558706,0.128762,0.618242,1.853563,0.503843,-3.824453,5.587038
0.020000,0.587038,0.104578,0.655491,1.862493,0.446514,-2.866441,5.566659
0.020000,0.615024,0.079756,0.692900,1.870422,0.396465,-2.502474,5.549080
0.020000,0.642707,0.054392,0.730445,1.877266,0.342193,-2.713593,5.534359
0.020000,0.670130,0.028589,0.768099,1.882714,0.272382,-3.490530,5.522574
0.020000,0.697337,0.002456,0.805824,1.886222,0.175416,-4.848299,5.513833
0.020000,0.724368,-0.023881,0.843564,1.886995,0.038625,-6.839566,5.508285
0.020000,0.751253,-0.050279,0.881243,1.883940,-0.152756,-9.569069,5.506144
0.020000,0.778011,-0.076569,0.918755,1.875600,-0.416992,-13.211802,5.507700
0.020000,0.804639,-0.102547,0.955955,1.860045,-0.777747,-18.037757,5.513352
0.020000,0.831107,-0.127962,0.992650,1.834712,-1.266667,-24.445958,5.523641
0.020000,0.857337,-0.152508,1.028573,1.796175,-1.926833,-33.008314,5.539295
0.020000,0.883184,-0.175804,1.063370,1.739832,-2.817149,-44.515807,5.561298
0.020000,0.908400,-0.197385,1.096560,1.659491,-4.017031,-59.994086,5.590976
0.020000,0.932476,-0.216613,1.127372,1.540603,-5.944394,-96.368146,5.629918
0.020000,0.954593,-0.232736,1.154742,1.368508,-8.604787,-133.019669,5.679757
0.020000,0.973702,-0.245109,1.177507,1.138236,-11.513564,-145.438847,5.741859
0.020000,0.988766,-0.253475,1.194738,0.861562,-13.833741,-116.008855,5.817171
0.020000,0.998999,-0.258127,1.205979,0.562036,-14.976269,-57.126417,5.906109
0.020000,1.004079,-0.259900,1.211359,0.268999,-14.651848,16.221049,6.008006
0.020000,1.004446,-0.260023,1.211746,0.019365,-12.481725,108.506174,6.120471
0.020000,1.001494,-0.259739,1.214711,0.148240,6.443788,946.275628,6.238960
0.020000,0.997341,-0.259804,1.218865,0.207711,2.973511,-173.513825,0.074315
0.020000,0.994128,-0.260211,1.222104,0.161937,-2.288667,-263.108893,0.187088
0.020000,0.993334,-0.260379,1.222915,0.040591,-6.067332,-188.933249,0.289914
0.020000,0.995531,-0.259584,1.225252,0.116835,3.812218,493.977508,0.380802
0.020000,1.000586,-0.257298,1.230800,0.277405,8.028507,210.814446,0.459580
0.020000,1.007998,-0.253287,1.239228,0.421377,7.198583,-41.496222,0.527164
0.020000,1.017166,-0.247567,1.250034,0.540321,5.947195,-62.569381,0.584940
0.020000,1.027535,-0.240308,1.262692,0.632880,4.627963,-65.961619,0.634365
0.020000,1.038644,-0.231750,1.276715,0.701159,3.413950,-60.700626,0.676781
0.020000,1.050136,-0.222155,1.291685,0.748511,2.367619,-52.316591,0.713345
0.020000,1.061741,-0.211778,1.307254,0.778421,1.495488,-43.606533,0.745019
0.020000,1.073261,-0.200847,1.323134,0.794031,0.780508,-35.748983,0.772595
0.020000,1.084552,-0.189567,1.339094,0.798001,0.198486,-29.101124,0.796715
0.020000,1.095509,-0.178114,1.354944,0.792510,-0.274577,-23.653150,0.817901
0.020000,1.106058,-0.166640,1.370531,0.779315,-0.659723,-19.257275,0.836581
0.020000,1.116145,-0.155274,1.385727,0.759827,-0.974383,-15.733016,0.853100
0.020000,1.125732,-0.144126,1.400431,0.735175,-1.232596,-12.910650,0.867745
0.020000,1.134794,-0.133290,1.414556,0.706265,-1.445501,-10.645264,0.880751
0.020000,1.143312,-0.122847,1.428033,0.673828,-1.621887,-8.819267,0.892312
0.020000,1.151274,-0.112864,1.440802,0.638454,-1.768671,-7.339197,0.902592
0.020000,1.158673,-0.103401,1.452814,0.600628,-1.891304,-6.131651,0.911725
0.020000,1.165505,-0.094507,1.464029,0.560746,-1.994094,-5.139507,0.919824
0.020000,1.171766,-0.086225,1.474412,0.519137,-2.080452,-4.317917,0.926987
0.020000,1.177457,-0.078591,1.483934,0.476075,-2.153095,-3.632133,0.933291
0.020000,1.182578,-0.071637,1.492569,0.431792,-2.214185,-3.054525,0.938806
0.020000,1.187129,-0.065390,1.500299,0.386483,-2.265457,-2.563563,0.943588
0.020000,1.191113,-0.059870,1.507105,0.340317,-2.308291,-2.141736,0.947685
0.020000,1.194529,-0.055099,1.512974,0.293441,-2.343800,-1.775438,0.951134
0.020000,1.197381,-0.051090,1.517894,0.245983,-2.372865,-1.453230,0.953969
0.020000,1.199668,-0.047856,1.521855,0.198060,-2.396183,-1.165908,0.956216
0.020000,1.201394,-0.045407,1.524851,0.149774,-2.414296,-0.905661,0.957894
0.020000,1.202557,-0.043750,1.526875,0.101222,-2.427617,-0.666041,0.959017
0.020000,1.203200,-0.042834,1.527994,0.055950,-2.263568,8.202421,0.959635
0.020000,1.203454,-0.042471,1.528438,0.022189,-1.688081,28.774393,0.959880
0.020000,1.203508,-0.042394,1.528531,0.004683,-0.875260,40.641037,0.959931
0.020000,1.203508,-0.042394,1.528531,0.000000,-0.234170,32.054507,0.959931
