dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500243,2.438050,0.000198,0.019751,0.987540,49.376978,0.000165
0.020000,1.501290,2.438051,0.001245,0.052382,1.631559,32.200948,0.000877
0.020000,1.503649,2.438055,0.003604,0.117918,3.276796,82.261871,0.002481
0.020000,1.507583,2.438070,0.007538,0.196710,3.939603,33.140361,0.005165
0.020000,1.513098,2.438108,0.013053,0.275773,3.953155,0.677585,0.008944
0.020000,1.520202,2.438189,0.020158,0.355217,3.972205,0.952509,0.013839
0.020000,1.528904,2.438336,0.028861,0.435154,3.996820,1.230767,0.019877
0.020000,1.539215,2.438578,0.039174,0.515695,4.027071,1.512556,0.027091
0.020000,1.551148,2.438952,0.051114,0.596955,4.063017,1.797288,0.035521
0.020000,1.564718,2.439500,0.064695,0.679049,4.104686,2.083451,0.045213
0.020000,1.579940,2.440272,0.079936,0.762090,4.152050,2.368212,0.056220
0.020000,1.596831,2.441328,0.096860,0.846190,4.204990,2.646955,0.068600
0.020000,1.615407,2.442733,0.115489,0.931455,4.263246,2.912830,0.082417
0.020000,1.635684,2.444564,0.135849,1.017982,4.326367,3.156020,0.097742
0.020000,1.657677,2.446908,0.157966,1.105855,4.393627,3.363038,0.114648
0.020000,1.681396,2.449862,0.181869,1.195134,4.463945,3.515894,0.133214
0.020000,1.706850,2.453535,0.207586,1.285849,4.535772,3.591316,0.153518
0.020000,1.734037,2.458050,0.235145,1.377988,4.606971,3.559995,0.175640
0.020000,1.762950,2.463539,0.264575,1.471482,4.674699,3.386361,0.199655
0.020000,1.793569,2.470148,0.295899,1.566188,4.735277,3.028913,0.225629
0.020000,1.825857,2.478036,0.329136,1.661870,4.784114,2.441845,0.253616
0.020000,1.859760,2.487368,0.364300,1.758184,4.815679,1.578280,0.283652
0.020000,1.895200,2.498317,0.401393,1.854656,4.823597,0.395871,0.315745
0.020000,1.932073,2.511062,0.440406,1.950674,4.800897,-1.135006,0.349871
0.020000,1.970245,2.525775,0.481316,2.045483,4.740484,-3.020641,0.385962
0.020000,2.009551,2.542622,0.524080,2.138200,4.635843,-5.232068,0.423904
0.020000,2.049793,2.561750,0.568637,2.227839,4.481959,-7.694186,0.463525
0.020000,2.090744,2.583282,0.614904,2.313367,4.276365,-10.279711,0.504600
0.020000,2.132154,2.607309,0.662780,2.393769,4.020125,-12.812007,0.546843
0.020000,2.173754,2.633882,0.712142,2.468140,3.718520,-15.080210,0.589923
0.020000,2.215272,2.663008,0.762858,2.535763,3.381181,-16.866942,0.633466
0.020000,2.256218,2.694476,0.814499,2.582087,2.316214,-53.248374,0.676841
0.020000,2.295957,2.727822,0.866375,2.593781,0.584680,-86.576684,0.719224
0.020000,2.333790,2.762338,0.917587,2.560612,-1.658476,-112.157791,0.759711
0.020000,2.369177,2.797258,0.967303,2.485766,-3.742276,-104.190009,0.797574
0.020000,2.401880,2.831967,1.014992,2.384450,-5.065822,-66.177320,0.832441
0.020000,2.431907,2.866040,1.060407,2.270784,-5.683288,-30.873296,0.864238
0.020000,2.459460,2.899290,1.103590,2.159127,-5.582845,5.022155,0.893138
0.020000,2.484758,2.931587,1.144615,2.051269,-5.392922,9.496165,0.919352
0.020000,2.507999,2.962837,1.183560,1.947256,-5.200612,9.615456,0.943092
0.020000,2.529369,2.992968,1.220500,1.847000,-5.012827,9.389271,0.964565
0.020000,2.549032,3.021930,1.255507,1.750321,-4.833944,8.944161,0.983970
0.020000,2.567138,3.049687,1.288647,1.656991,-4.666476,8.373381,1.001491
0.020000,2.583819,3.076213,1.319982,1.566759,-4.511625,7.742572,1.017301
0.020000,2.599190,3.101494,1.349569,1.479365,-4.369706,7.095933,1.031555
0.020000,2.613357,3.125520,1.377460,1.394555,-4.240470,6.461789,1.044397
0.020000,2.626409,3.148285,1.403702,1.312089,-4.123328,5.857113,1.055956
0.020000,2.638427,3.169790,1.428337,1.231739,-4.017507,5.291059,1.066349
0.020000,2.649480,3.190035,1.451403,1.153295,-3.922156,4.767525,1.075681
0.020000,2.659631,3.209023,1.472934,1.076567,-3.836416,4.287029,1.084048
0.020000,2.668932,3.226760,1.492962,1.001378,-3.759456,3.847984,1.091534
0.020000,2.677431,3.243250,1.511513,0.927568,-3.690504,3.447613,1.098216
0.020000,2.685169,3.258499,1.528613,0.854991,-3.628854,3.082500,1.104162
0.020000,2.692182,3.272512,1.544283,0.783513,-3.573874,2.749009,1.109432
0.020000,2.698500,3.285297,1.558543,0.713013,-3.525004,2.443503,1.114080
0.020000,2.704151,3.296857,1.571411,0.643378,-3.481754,2.162496,1.118155
0.020000,2.709158,3.307199,1.582901,0.574504,-3.443699,1.902725,1.121698
0.020000,2.713540,3.316327,1.593027,0.506295,-3.410475,1.661195,1.124746
0.020000,2.717315,3.324247,1.601800,0.438659,-3.381772,1.435175,1.127331
0.020000,2.720495,3.330962,1.609230,0.371513,-3.357328,1.222203,1.129480
0.020000,2.723094,3.336476,1.615326,0.304774,-3.336927,1.020048,1.131215
0.020000,2.725120,3.340791,1.620093,0.238366,-3.320393,0.826701,1.132555
0.020000,2.726580,3.343911,1.623537,0.172215,-3.307586,0.640335,1.133513
0.020000,2.727479,3.345836,1.625662,0.106247,-3.298401,0.459272,1.134100
0.020000,2.727903,3.346744,1.626665,0.050112,-2.806754,24.582349,1.134376
0.020000,2.728028,3.347011,1.626959,0.014708,-1.770164,51.829489,1.134457
0.020000,2.728038,3.347033,1.626984,0.001247,-0.673059,54.855234,1.134464
0.020000,2.728038,3.347033,1.626984,0.000000,-0.062357,30.535084,1.134464
