dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500183,2.800000,0.000198,0.019751,0.987540,49.376978,0.000165
0.020000,1.500973,2.800000,0.000988,0.059252,1.975079,49.376978,0.000877
0.020000,1.502751,2.800003,0.002765,0.118505,2.962619,49.376978,0.002481
0.020000,1.505713,2.800015,0.005728,0.177757,2.962619,0.000000,0.005165
0.020000,1.509861,2.800044,0.009875,0.237009,2.962619,-0.000000,0.008944
0.020000,1.515193,2.800105,0.015208,0.296262,2.962619,0.000000,0.013839
0.020000,1.521710,2.800215,0.021726,0.355514,2.962619,0.000000,0.019877
0.020000,1.529411,2.800395,0.029429,0.414767,2.962619,-0.000000,0.027091
0.020000,1.538294,2.800673,0.038317,0.474019,2.962619,0.000000,0.035521
0.020000,1.548359,2.801080,0.048389,0.533271,2.962619,0.000000,0.045213
0.020000,1.559602,2.801650,0.059647,0.592524,2.962619,-0.000000,0.056220
0.020000,1.572021,2.802426,0.072090,0.651776,2.962619,0.000000,0.068600
0.020000,1.585610,2.803454,0.085718,0.711028,2.962619,0.000000,0.082417
0.020000,1.600363,2.804786,0.100532,0.770281,2.962619,-0.000000,0.097742
0.020000,1.616271,2.806481,0.116530,0.829533,2.962619,0.000000,0.114648
0.020000,1.633322,2.808605,0.133713,0.888786,2.962619,0.000000,0.133214
0.020000,1.651502,2.811228,0.152081,0.948038,2.962619,-0.000000,0.153518
0.020000,1.670791,2.814431,0.171634,1.007290,2.962619,0.000000,0.175640
0.020000,1.691164,2.818299,0.192373,1.066543,2.962619,-0.000000,0.199655
0.020000,1.712594,2.822924,0.214296,1.125795,2.962619,0.000000,0.225629
0.020000,1.735041,2.828407,0.237405,1.185047,2.962619,0.000000,0.253616
0.020000,1.758463,2.834854,0.261698,1.244300,2.962619,0.000000,0.283652
0.020000,1.782805,2.842375,0.287177,1.303552,2.962619,0.000000,0.315745
0.020000,1.808005,2.851084,0.313840,1.362805,2.962619,-0.000000,0.349871
0.020000,1.833989,2.861099,0.341689,1.422057,2.962619,0.000000,0.385962
0.020000,1.860673,2.872536,0.370722,1.481309,2.962619,-0.000000,0.423904
0.020000,1.887964,2.885508,0.400941,1.540562,2.962619,0.000000,0.463525
0.020000,1.915757,2.900122,0.432345,1.599814,2.962619,0.000000,0.504600
0.020000,1.943942,2.916476,0.464934,1.659066,2.962619,0.000000,0.546843
0.020000,1.972403,2.934656,0.498707,1.718319,2.962619,0.000000,0.589923
0.020000,2.001018,2.954733,0.533666,1.777571,2.962619,-0.000000,0.633466
0.020000,2.029517,2.976636,0.569613,1.817073,1.975079,-49.376978,0.676841
0.020000,2.057504,3.000123,0.606152,1.836824,0.987540,-49.376978,0.719224
0.020000,2.084511,3.024764,0.642713,1.819319,-0.875231,-93.138505,0.759711
0.020000,2.110142,3.050060,0.678727,1.782064,-1.862770,-49.376978,0.797574
0.020000,2.134191,3.075585,0.713798,1.725057,-2.850310,-49.376978,0.832441
0.020000,2.156607,3.101025,0.747707,1.665805,-2.962619,-5.615450,0.864238
0.020000,2.177486,3.126222,0.780430,1.606553,-2.962619,0.000000,0.893138
0.020000,2.196932,3.151050,0.811969,1.547300,-2.962619,-0.000000,0.919352
0.020000,2.215045,3.175406,0.842322,1.488048,-2.962619,0.000000,0.943092
0.020000,2.231918,3.199198,0.871491,1.428795,-2.962619,0.000000,0.964565
0.020000,2.247636,3.222350,0.899474,1.369543,-2.962619,0.000000,0.983970
0.020000,2.262277,3.244795,0.926273,1.310291,-2.962619,-0.000000,1.001491
0.020000,2.275911,3.266478,0.951886,1.251038,-2.962619,0.000000,1.017301
