dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.172067,2.553192,0.000199,0.019904,0.995217,49.760839,1.134285
0.020000,2.172523,2.554168,0.001276,0.053857,1.697635,35.120898,1.133509
0.020000,2.173552,2.556364,0.003701,0.121257,3.370007,83.618610,1.131758
0.020000,2.175277,2.560024,0.007748,0.202338,4.054067,34.202980,1.128826
0.020000,2.177715,2.565150,0.013424,0.283787,4.072408,0.917082,1.124694
0.020000,2.180889,2.571740,0.020739,0.365752,4.098282,1.293667,1.119331
0.020000,2.184828,2.579797,0.029707,0.448390,4.131867,1.679268,1.112702
0.020000,2.189570,2.589318,0.040344,0.531857,4.173375,2.075411,1.104761
0.020000,2.195160,2.600304,0.052670,0.616318,4.223025,2.482491,1.095451
0.020000,2.201652,2.612752,0.066709,0.701938,4.281013,2.899428,1.084711
0.020000,2.209108,2.626657,0.082487,0.788887,4.347473,3.322996,1.072465
0.020000,2.217600,2.642011,0.100033,0.877336,4.422411,3.746880,1.058631
0.020000,2.227213,2.658804,0.119382,0.967448,4.505624,4.160652,1.043117
0.020000,2.238039,2.677017,0.140570,1.059380,4.596588,4.548188,1.025823
0.020000,2.250184,2.696626,0.163635,1.153266,4.694307,4.885942,1.006641
0.020000,2.263765,2.717596,0.188619,1.249208,4.797124,5.140853,0.985456
0.020000,2.278912,2.739881,0.215565,1.347258,4.902485,5.268055,0.962152
0.020000,2.295764,2.763418,0.244512,1.447391,5.006663,5.208934,0.936615
0.020000,2.314471,2.788124,0.275502,1.549481,5.104461,4.889893,0.908735
0.020000,2.335189,2.813894,0.308567,1.653259,5.188927,4.223297,0.878420
0.020000,2.358078,2.840591,0.343733,1.758282,5.251158,3.111529,0.845600
0.020000,2.383291,2.868048,0.381011,1.863888,5.280297,1.456940,0.810243
0.020000,2.410973,2.896061,0.420394,1.969166,5.263865,-0.821561,0.772367
0.020000,2.441245,2.924389,0.461853,2.072937,5.188596,-3.763471,0.732056
0.020000,2.474193,2.952754,0.505328,2.173775,5.041877,-7.335959,0.689471
0.020000,2.509859,2.980846,0.550729,2.270051,4.813816,-11.403059,0.644864
0.020000,2.548228,3.008337,0.597930,2.360045,4.499693,-15.706119,0.598583
0.020000,2.589221,3.034890,0.646772,2.442091,4.102297,-19.869836,0.551067
0.020000,2.632695,3.060180,0.697067,2.514759,3.633400,-23.444852,0.502834
0.020000,2.678446,3.083914,0.748608,2.577032,3.113652,-25.987368,0.454459
0.020000,2.726222,3.105846,0.801177,2.628442,2.570489,-27.158154,0.406543
0.020000,2.775467,3.125691,0.854270,2.654689,1.312339,-62.907522,0.359927
0.020000,2.825355,3.143202,0.907143,2.643607,-0.554087,-93.321265,0.315574
0.020000,2.874924,3.158252,0.958946,2.590155,-2.672616,-105.926466,0.274370
0.020000,2.923290,3.170883,1.008933,2.499384,-4.538558,-93.297091,0.236921
0.020000,2.969832,3.181291,1.056625,2.384601,-5.739106,-60.027387,0.203454
0.020000,3.014181,3.189751,1.101774,2.257437,-6.358195,-30.954483,0.173908
0.020000,3.056277,3.196579,1.144420,2.132305,-6.256600,5.079768,0.147979
0.020000,3.096178,3.202059,1.184695,2.013754,-5.927563,16.451829,0.125302
0.020000,3.133953,3.206433,1.222723,1.901390,-5.618209,15.467713,0.105535
0.020000,3.169679,3.209903,1.258618,1.794725,-5.333257,14.247582,0.088362
0.020000,3.203434,3.212637,1.292482,1.693242,-5.074149,12.955407,0.073499
0.020000,3.235291,3.214775,1.324411,1.596435,-4.840360,11.689445,0.060685
0.020000,3.265322,3.216431,1.354488,1.503829,-4.630291,10.503483,0.049688
0.020000,3.293593,3.217702,1.382788,1.414992,-4.441838,9.422646,0.040302
0.020000,3.320166,3.218665,1.409378,1.329537,-4.272750,8.454405,0.032337
0.020000,3.345098,3.219387,1.434321,1.247121,-4.120831,7.595930,0.025627
0.020000,3.368441,3.219918,1.457669,1.167439,-3.984055,6.838809,0.020021
0.020000,3.390242,3.220303,1.479474,1.090227,-3.860615,6.172001,0.015382
0.020000,3.410545,3.220576,1.499779,1.015248,-3.748943,5.583618,0.011586
0.020000,3.429390,3.220765,1.518625,0.942294,-3.647704,5.061945,0.008522
0.020000,3.446813,3.220892,1.536048,0.871179,-3.555783,4.596017,0.006088
0.020000,3.462848,3.220974,1.552083,0.801733,-3.472265,4.175892,0.004191
0.020000,3.477524,3.221024,1.566759,0.733805,-3.396410,3.792758,0.002749
0.020000,3.490869,3.221053,1.580104,0.667252,-3.327631,3.438954,0.001684
0.020000,3.502908,3.221069,1.592143,0.601943,-3.265473,3.107922,0.000929
0.020000,3.513663,3.221076,1.602898,0.537751,-3.209590,2.794140,0.000422
0.020000,3.523154,3.221078,1.612389,0.474557,-3.159729,2.493043,0.000106
0.020000,3.531399,3.221079,1.620634,0.412242,-3.115710,2.200929,6.283120
0.020000,3.538412,3.221078,1.627648,0.350694,-3.077413,1.914874,6.283050
0.020000,3.544208,3.221077,1.633444,0.289799,-3.044760,1.632643,6.283045
0.020000,3.548797,3.221076,1.638033,0.229445,-3.017708,1.352597,6.283075
0.020000,3.552188,3.221076,1.641423,0.169520,-2.996236,1.073608,6.283118
0.020000,3.554386,3.221076,1.643622,0.109913,-2.980337,0.794972,6.283154
0.020000,3.555524,3.221076,1.644760,0.056919,-2.649710,16.531342,6.283176
0.020000,3.555931,3.221076,1.645166,0.020305,-1.830689,40.951014,6.283184
0.020000,3.556000,3.221076,1.645235,0.003475,-0.841534,49.457764,6.283185
0.020000,3.556000,3.221076,1.645235,0.000000,-0.173731,33.390183,6.283185
