dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.828089,2.247141,0.000199,0.019941,0.997055,49.852743,1.134285
0.020000,2.828307,2.247610,0.000716,0.025848,0.295351,-35.085209,1.133510
0.020000,2.828800,2.248662,0.001878,0.058079,1.611565,65.810721,1.131761
0.020000,2.829624,2.250408,0.003809,0.096556,1.923822,15.612826,1.128832
0.020000,2.830780,2.252841,0.006502,0.134665,1.905482,-0.916963,1.124703
0.020000,2.832275,2.255945,0.009948,0.172258,1.879611,-1.293544,1.119347
0.020000,2.834113,2.259703,0.014131,0.209178,1.846027,-1.679239,1.112724
0.020000,2.836299,2.264094,0.019036,0.245269,1.804516,-2.075546,1.104790
0.020000,2.838842,2.269092,0.024644,0.280366,1.754857,-2.482923,1.095490
0.020000,2.841748,2.274666,0.030930,0.314303,1.696851,-2.900329,1.084760
0.020000,2.845027,2.280780,0.037868,0.346910,1.630359,-3.324581,1.072526
0.020000,2.848685,2.287397,0.045428,0.378017,1.555370,-3.749451,1.058705
0.020000,2.852733,2.294469,0.053578,0.407459,1.472079,-4.164546,1.043205
0.020000,2.857178,2.301950,0.062279,0.435079,1.381002,-4.553870,1.025926
0.020000,2.862029,2.309785,0.071494,0.460741,1.283122,-4.893967,1.006759
0.020000,2.867293,2.317916,0.081181,0.484343,1.180085,-5.151861,0.985592
0.020000,2.872978,2.326284,0.091297,0.505832,1.074429,-5.282795,0.962306
0.020000,2.879091,2.334827,0.101802,0.525229,0.969865,-5.228192,0.936786
0.020000,2.885641,2.343481,0.112655,0.542660,0.871576,-4.914460,0.908924
0.020000,2.892636,2.352187,0.123823,0.558391,0.786501,-4.253752,0.878626
0.020000,2.900090,2.360887,0.135280,0.572861,0.723538,-3.148172,0.845822
0.020000,2.908025,2.369533,0.147015,0.586732,0.693550,-1.499364,0.810480
0.020000,2.916469,2.378085,0.159033,0.600913,0.709044,0.774656,0.772615
0.020000,2.925471,2.386514,0.171365,0.616580,0.783337,3.714687,0.732311
0.020000,2.935095,2.394804,0.184068,0.635162,0.929124,7.289350,0.689729
0.020000,2.945436,2.402954,0.197234,0.658290,1.156404,11.364008,0.645119
0.020000,2.956614,2.410967,0.210988,0.687691,1.470021,15.680848,0.598828
0.020000,2.968784,2.418852,0.225488,0.725037,1.867307,19.864293,0.551296
