dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.296497,0.207599,0.000195,0.019522,0.976113,48.805669,0.960467
0.020000,-0.296518,0.207569,0.000231,0.001794,-0.886399,-93.125644,0.962724
0.020000,-0.296560,0.207509,0.000305,0.003687,0.094624,49.051197,0.967782
0.020000,-0.296617,0.207425,0.000406,0.005051,0.068195,-1.321463,0.976151
0.020000,-0.296669,0.207347,0.000500,0.004722,-0.016410,-4.230278,0.987739
0.020000,-0.296690,0.207314,0.000539,0.001932,-0.139538,-6.156357,1.002408
0.020000,-0.296646,0.207385,0.000622,0.004165,0.111679,12.560842,1.019977
0.020000,-0.296497,0.207634,0.000912,0.014478,0.515646,20.198324,1.040212
0.020000,-0.296201,0.208154,0.001511,0.029957,0.773934,12.914396,1.062828
0.020000,-0.295711,0.209061,0.002542,0.051547,1.079497,15.278145,1.087488
0.020000,-0.294986,0.210491,0.004144,0.080130,1.429150,17.482673,1.113804
0.020000,-0.293989,0.212595,0.006474,0.116457,1.816382,19.361576,1.141348
0.020000,-0.292691,0.215544,0.009695,0.161088,2.231541,20.757977,1.169663
0.020000,-0.291076,0.219515,0.013982,0.214341,2.662642,21.555028,1.198271
0.020000,-0.289142,0.224691,0.019508,0.276275,3.096681,21.701964,1.226693
0.020000,-0.286897,0.231252,0.026442,0.346700,3.521252,21.228526,1.254460
0.020000,-0.284364,0.239370,0.034946,0.425222,3.926126,20.243743,1.281124
0.020000,-0.281571,0.249208,0.045172,0.511313,4.304529,18.920120,1.306267
0.020000,-0.278552,0.260912,0.057260,0.604391,4.653904,17.468747,1.329503
0.020000,-0.275338,0.274619,0.071339,0.703914,4.976168,16.113207,1.350476
0.020000,-0.271952,0.290450,0.087528,0.809465,5.277555,15.069345,1.368853
0.020000,-0.268405,0.308522,0.105944,0.920831,5.568262,14.535379,1.384312
0.020000,-0.264689,0.328948,0.126706,1.038073,5.862131,14.693426,1.396530
0.020000,-0.260768,0.351847,0.149938,1.161604,6.176557,15.721329,1.405158
0.020000,-0.256576,0.377350,0.175783,1.292260,6.532803,17.812301,1.409803
0.020000,-0.252001,0.405610,0.204411,1.431396,6.956798,21.199726,1.409995
0.020000,-0.246876,0.436812,0.236031,1.581006,7.480470,26.183607,1.405158
0.020000,-0.240957,0.471184,0.270909,1.743876,8.143503,33.151654,1.394556
0.020000,-0.233902,0.509007,0.309384,1.923777,8.995049,42.577301,1.377249
0.020000,-0.225220,0.550624,0.351897,2.125657,10.094030,54.949044,1.352021
0.020000,-0.214293,0.596171,0.398737,2.341962,10.815211,36.059020,1.317535
0.020000,-0.200397,0.645398,0.449888,2.557547,10.779289,-1.796084,1.272632
0.020000,-0.182799,0.697542,0.504921,2.751692,9.707229,-53.603006,1.216759
0.020000,-0.160829,0.751488,0.563169,2.912371,8.033952,-83.663831,1.150147
0.020000,-0.133937,0.805995,0.623949,3.039013,6.332113,-85.091972,1.073711
0.020000,-0.101833,0.859681,0.686502,3.127657,4.432207,-94.995273,0.989131
0.020000,-0.064619,0.911094,0.749970,3.173384,2.286349,-107.292914,0.898780
0.020000,-0.023004,0.958704,0.813204,3.161677,-0.585353,-143.585075,0.805836
0.020000,0.021752,1.001231,0.874942,3.086916,-3.738066,-157.635670,0.713790
0.020000,0.068087,1.037920,0.934044,2.955101,-6.590736,-142.633499,0.625799
0.020000,0.114468,1.068630,0.989670,2.781324,-8.688867,-104.906550,0.544184
0.020000,0.159645,1.093724,1.041349,2.583916,-9.870381,-59.075682,0.470251
0.020000,0.202752,1.113868,1.088931,2.379099,-10.240893,-18.525632,0.404408
0.020000,0.243288,1.129834,1.132498,2.178343,-10.037775,10.155915,0.346428
0.020000,0.281024,1.142376,1.172263,1.988256,-9.504362,26.670645,0.295722
0.020000,0.315911,1.152162,1.208497,1.811713,-8.827150,33.860592,0.251537
0.020000,0.348011,1.159751,1.241481,1.649209,-8.125166,35.099201,0.213098
0.020000,0.377433,1.165601,1.271480,1.499940,-7.463498,33.083394,0.179673
0.020000,0.404313,1.170078,1.298730,1.362508,-6.871563,29.596788,0.150607
0.020000,0.428786,1.173474,1.323437,1.235349,-6.357982,25.679046,0.125332
0.020000,0.450979,1.176021,1.345776,1.116938,-5.920555,21.871310,0.103365
0.020000,0.471008,1.177905,1.365894,1.005893,-5.552223,18.416609,0.084297
0.020000,0.488976,1.179273,1.383914,0.901006,-5.244336,15.394343,0.067789
0.020000,0.504972,1.180244,1.399939,0.801240,-4.988314,12.801101,0.053558
0.020000,0.519070,1.180914,1.414053,0.705712,-4.776393,10.596057,0.041369
0.020000,0.531336,1.181358,1.426326,0.613674,-4.601886,8.725377,0.031030
0.020000,0.541822,1.181637,1.436816,0.524490,-4.459207,7.133918,0.022383
0.020000,0.550572,1.181802,1.445568,0.437614,-4.343799,5.770397,0.015300
0.020000,0.557623,1.181890,1.452620,0.352574,-4.252007,4.589638,0.009680
0.020000,0.563002,1.181931,1.457999,0.268955,-4.180962,3.552208,0.005444
0.020000,0.566730,1.181946,1.461727,0.186385,-4.128479,2.624150,0.002535
0.020000,0.568879,1.181950,1.463876,0.107464,-3.946078,9.120058,0.000867
0.020000,0.569788,1.181950,1.464784,0.045422,-3.102089,42.199467,0.000164
0.020000,0.570000,1.181950,1.464997,0.010617,-1.740260,68.091462,6.283185
0.020000,0.570000,1.181950,1.464997,0.000000,-0.530841,60.470927,6.283185
