dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000002,-0.361950,0.000197,0.019665,0.983267,49.163361,6.282652
0.020000,-0.000010,-0.361950,0.000204,0.000370,-0.964756,-97.401159,6.280459
0.020000,-0.000015,-0.361950,0.000209,0.000257,-0.005661,47.954732,6.275555
0.020000,0.000012,-0.361950,0.000236,0.001358,0.055052,3.035652,6.267480
0.020000,0.000126,-0.361953,0.000350,0.005696,0.216908,8.092818,6.256385
0.020000,0.000404,-0.361962,0.000629,0.013921,0.411239,9.716546,6.242485
0.020000,0.000949,-0.361989,0.001174,0.027241,0.666025,12.739302,6.226060
0.020000,0.001884,-0.362052,0.002111,0.046889,0.982369,15.817177,6.207462
0.020000,0.003360,-0.362180,0.003593,0.074073,1.359228,18.842959,6.187106
0.020000,0.005546,-0.362416,0.005791,0.109928,1.792711,21.674141,6.165471
0.020000,0.008629,-0.362817,0.008900,0.155445,2.275875,24.158214,6.143091
0.020000,0.012809,-0.363457,0.013129,0.211429,2.799215,26.167004,6.120546
0.020000,0.018294,-0.364423,0.018698,0.278467,3.351876,27.633073,6.098444
0.020000,0.025296,-0.365812,0.025837,0.356936,3.923461,28.579232,6.077419
0.020000,0.034030,-0.367727,0.034778,0.447059,4.506134,29.133670,6.058113
0.020000,0.044710,-0.370274,0.045758,0.548993,5.096691,29.527810,6.041180
0.020000,0.057559,-0.373547,0.059017,0.662958,5.698289,30.079938,6.027285
0.020000,0.072810,-0.377628,0.074805,0.789393,6.321726,31.171850,6.017115
0.020000,0.090722,-0.382574,0.093387,0.929118,6.986244,33.225856,6.011407
0.020000,0.111593,-0.388406,0.115058,1.083516,7.719930,36.684343,6.010970
0.020000,0.135779,-0.395095,0.140152,1.254708,8.559587,41.982851,6.016732
0.020000,0.163718,-0.402540,0.169066,1.445695,9.549338,49.487529,6.029789
0.020000,0.195688,-0.410472,0.202005,1.646959,10.063177,25.691949,6.051251
0.020000,0.231690,-0.418414,0.238872,1.843364,9.820280,-12.144866,6.081938
0.020000,0.271306,-0.425694,0.279151,2.013961,8.529830,-64.522471,6.121983
0.020000,0.313773,-0.431562,0.322022,2.143531,6.478497,-102.566653,6.170678
0.020000,0.358195,-0.435343,0.366604,2.229111,4.279003,-109.974697,6.226681
0.020000,0.403606,-0.436528,0.412031,2.271338,2.111372,-108.381543,0.005023
0.020000,0.449165,-0.434823,0.457622,2.279544,0.410273,-85.054968,0.070266
0.020000,0.493963,-0.430166,0.502661,2.251982,-1.378083,-89.417805,0.137247
0.020000,0.537090,-0.422741,0.546423,2.188083,-3.194945,-90.843070,0.203957
0.020000,0.577753,-0.412953,0.588247,2.091218,-4.843243,-82.414940,0.268571
0.020000,0.615364,-0.401356,0.627606,1.967901,-6.165850,-66.130332,0.329629
0.020000,0.649573,-0.388561,0.664129,1.826164,-7.086859,-46.050473,0.386111
0.020000,0.680251,-0.375161,0.697606,1.673877,-7.614332,-26.373637,0.437434
0.020000,0.707442,-0.361674,0.727958,1.517597,-7.814040,-9.985406,0.483380
0.020000,0.731300,-0.348524,0.755200,1.362089,-7.775357,1.934176,0.523990
0.020000,0.752041,-0.336041,0.779408,1.210388,-7.585051,9.515279,0.559476
0.020000,0.769903,-0.324470,0.800690,1.064113,-7.313748,13.565157,0.590138
0.020000,0.785118,-0.313987,0.819167,0.923863,-7.012501,15.062346,0.616310
0.020000,0.797903,-0.304717,0.834959,0.789564,-6.714947,14.877708,0.638320
0.020000,0.808444,-0.296747,0.848173,0.660736,-6.441447,13.674985,0.656470
0.020000,0.816898,-0.290135,0.858907,0.536671,-6.203229,11.910907,0.671026
0.020000,0.823394,-0.284918,0.867238,0.416556,-6.005732,9.874878,0.682204
0.020000,0.828029,-0.281122,0.873229,0.299536,-5.851025,7.735335,0.690175
0.020000,0.830872,-0.278763,0.876924,0.184747,-5.739437,5.579392,0.695064
0.020000,0.832217,-0.277639,0.878677,0.087654,-4.854664,44.238673,0.697376
0.020000,0.832619,-0.277302,0.879201,0.026222,-3.071578,89.154257,0.698066
0.020000,0.832657,-0.277270,0.879251,0.002477,-1.187260,94.215939,0.698132
0.020000,0.832657,-0.277270,0.879251,0.000000,-0.123853,53.170339,0.698132
