dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.232512,0.277392,0.000198,0.019759,0.987955,49.397765,0.698126
0.020000,-0.231900,0.277905,0.000996,0.039918,1.007955,0.999998,0.698104
0.020000,-0.230524,0.279059,0.002792,0.089814,2.494773,74.340869,0.698055
0.020000,-0.228231,0.280983,0.005786,0.149682,2.993433,24.933030,0.697972
0.020000,-0.225020,0.283676,0.009977,0.209540,2.992900,-0.026668,0.697858
0.020000,-0.220891,0.287138,0.015364,0.269383,2.992153,-0.037335,0.697712
0.020000,-0.215845,0.291368,0.021948,0.329207,2.991193,-0.048003,0.697537
0.020000,-0.209882,0.296365,0.029729,0.389008,2.990020,-0.058672,0.697332
0.020000,-0.203001,0.302128,0.038704,0.448780,2.988633,-0.069341,0.697100
0.020000,-0.195202,0.308656,0.048875,0.508521,2.987033,-0.080011,0.696842
0.020000,-0.186486,0.315949,0.060239,0.568225,2.985219,-0.090681,0.696561
0.020000,-0.176853,0.324004,0.072797,0.627889,2.983192,-0.101352,0.696258
0.020000,-0.166301,0.332821,0.086547,0.687508,2.980952,-0.112023,0.695937
0.020000,-0.154833,0.342398,0.101489,0.747078,2.978498,-0.122695,0.695599
0.020000,-0.142447,0.352734,0.117621,0.806595,2.975830,-0.133366,0.695248
0.020000,-0.129144,0.363827,0.134942,0.866054,2.972950,-0.144038,0.694887
0.020000,-0.114925,0.375676,0.153451,0.925451,2.969855,-0.154709,0.694519
0.020000,-0.099789,0.388278,0.173146,0.984782,2.966548,-0.165380,0.694149
0.020000,-0.083738,0.401633,0.194027,1.044042,2.963027,-0.176051,0.693779
0.020000,-0.066771,0.415739,0.216092,1.103228,2.959292,-0.186720,0.693415
0.020000,-0.048890,0.430595,0.239338,1.162335,2.955345,-0.197389,0.693060
0.020000,-0.030096,0.446198,0.263766,1.221359,2.951183,-0.208057,0.692718
0.020000,-0.010389,0.462547,0.289372,1.280295,2.946809,-0.218725,0.692396
0.020000,0.010229,0.479642,0.316154,1.339139,2.942221,-0.229392,0.692098
0.020000,0.031756,0.497480,0.344112,1.397888,2.937420,-0.240058,0.691829
0.020000,0.054192,0.516061,0.373243,1.456536,2.932405,-0.250725,0.691594
0.020000,0.077533,0.535384,0.403544,1.515079,2.927178,-0.261392,0.691400
0.020000,0.101778,0.555448,0.435015,1.573514,2.921736,-0.272060,0.691253
0.020000,0.126771,0.576127,0.467454,1.621949,2.421748,-24.999413,0.691159
0.020000,0.152207,0.597168,0.500464,1.650527,1.428882,-49.643291,0.691124
0.020000,0.177650,0.618216,0.533485,1.651032,0.025242,-70.182012,0.691149
0.020000,0.202668,0.638915,0.565956,1.623538,-1.374668,-69.995494,0.691234
0.020000,0.226958,0.659015,0.597483,1.576376,-2.358124,-49.172797,0.691373
0.020000,0.250342,0.678372,0.627840,1.517843,-2.926615,-28.424555,0.691559
0.020000,0.272798,0.696969,0.656996,1.457815,-3.001431,-3.740795,0.691787
0.020000,0.294326,0.714806,0.684954,1.397891,-2.996168,0.263128,0.692051
0.020000,0.314928,0.731886,0.711715,1.338069,-2.991119,0.252462,0.692345
0.020000,0.334606,0.748210,0.737282,1.278343,-2.986283,0.241795,0.692663
0.020000,0.353360,0.763778,0.761657,1.218710,-2.981660,0.231129,0.693002
0.020000,0.371193,0.778592,0.784840,1.159165,-2.977251,0.220462,0.693355
0.020000,0.388107,0.792651,0.806834,1.099704,-2.973055,0.209794,0.693718
0.020000,0.404102,0.805958,0.827640,1.040323,-2.969073,0.199126,0.694087
0.020000,0.419180,0.818512,0.847261,0.981017,-2.965304,0.188458,0.694457
0.020000,0.433344,0.830312,0.865696,0.921782,-2.961748,0.177788,0.694826
0.020000,0.446595,0.841361,0.882949,0.862614,-2.958406,0.167117,0.695188
0.020000,0.458934,0.851656,0.899019,0.803508,-2.955277,0.156446,0.695541
0.020000,0.470363,0.861199,0.913908,0.744461,-2.952361,0.145775,0.695881
0.020000,0.480883,0.869989,0.927617,0.685468,-2.949659,0.135103,0.696205
0.020000,0.490496,0.878027,0.940148,0.626524,-2.947170,0.124431,0.696511
0.020000,0.499204,0.885311,0.951500,0.567626,-2.944895,0.113760,0.696796
0.020000,0.507006,0.891842,0.961676,0.508770,-2.942833,0.103088,0.697057
0.020000,0.513905,0.897620,0.970675,0.449950,-2.940985,0.092417,0.697294
0.020000,0.519902,0.902644,0.978498,0.391163,-2.939350,0.081747,0.697503
0.020000,0.524997,0.906915,0.985146,0.332404,-2.937929,0.071077,0.697683
0.020000,0.529191,0.910432,0.990619,0.273670,-2.936721,0.060408,0.697834
0.020000,0.532485,0.913194,0.994919,0.214955,-2.935726,0.049739,0.697954
0.020000,0.534879,0.915203,0.998044,0.156256,-2.934944,0.039071,0.698041
0.020000,0.536374,0.916457,0.999995,0.097569,-2.934376,0.028403,0.698096
0.020000,0.537096,0.917062,1.000937,0.047076,-2.524626,20.487532,0.698123
0.020000,0.537319,0.917249,1.001228,0.014554,-1.626110,44.925776,0.698131
0.020000,0.537343,0.917270,1.001260,0.001592,-0.648133,48.898847,0.698132
0.020000,0.537343,0.917270,1.001260,0.000000,-0.079579,28.427689,0.698132
